"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","5.14","5","832","3","4","6","7","5.03","5.25","5","5"
"2005","16-34 y.","higher education","5.49","6","521","4","5","6","7","5.39","5.59","5","6"
"2005","16-34 y.","higher vocational","5.24","5","206","3","4","7","7","5.04","5.44","5","6"
"2005","16-34 y.","in school","5","5","645","3","4","6","7","4.88","5.12","5","5"
"2005","16-34 y.","inadequately","4.96","5","59","1","4","6","7","4.45","5.47","5","6"
"2005","16-34 y.","middle vocational","5.13","5","2334","3","4","6","7","5.07","5.19","5","5"
"2005","16-34 y.","vocational + Abi","5.17","5","438","3","4","6","7","5.04","5.3","5","6"
"2005","35-65 y.","general elemantary","5.03","5","818","2","4","6","7","4.92","5.14","5","5"
"2005","35-65 y.","higher education","5.49","6","2978","4","5","6","7","5.44","5.54","6","6"
"2005","35-65 y.","higher vocational","5.3","5","1095","4","5","6","7","5.22","5.38","5","6"
"2005","35-65 y.","in school","","","","","","","","","","",""
"2005","35-65 y.","inadequately","4.76","5","125","1","3","7","7","4.42","5.1","5","6"
"2005","35-65 y.","middle vocational","5.29","6","5958","3","4","7","7","5.25","5.33","5","6"
"2005","35-65 y.","vocational + Abi","5.34","6","591","4","5","6","7","5.23","5.45","5","6"
"2005","66 and older","general elemantary","4.99","5","736","3","4","6","7","4.87","5.11","5","5"
"2005","66 and older","higher education","5.57","6","664","4","5","7","7","5.47","5.67","6","6"
"2005","66 and older","higher vocational","5.14","5","256","3","4","6","7","4.94","5.34","5","6"
"2005","66 and older","in school","","","","","","","","","","",""
"2005","66 and older","inadequately","5.17","5","48","3","4","7","7","4.69","5.65","4","6"
"2005","66 and older","middle vocational","5.27","6","1950","3","4","7","7","5.2","5.34","5","6"
"2005","66 and older","vocational + Abi","5.6","6","100","4","5","7","7","5.33","5.87","5","6"
"2006","16-34 y.","general elemantary","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","","","",""
