"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","direct migration background","5.78","6","265","4","5","7","7","7","5.6","5.96","1","7","6","6"
"2005","college entrance qualification","indirect migration background","5.45","6","197","4","5","7","7","7","5.27","5.63","1","7","5","6"
"2005","college entrance qualification","no migration background","5.41","6","4722","4","5","6","7","7","5.37","5.45","1","7","6","6"
"2005","lower secondary degree","direct migration background","5.23","5","593","3","4","7","7","7","5.1","5.36","1","7","5","6"
"2005","lower secondary degree","indirect migration background","5.37","6","252","4","4","7","7","7","5.17","5.57","1","7","5","6"
"2005","lower secondary degree","no migration background","5.16","5","6217","3","4","6","7","7","5.12","5.2","1","7","5","6"
"2005","no degree/no degree yet","direct migration background","5.28","6","215","3","4","7","7","7","5.06","5.5","1","7","5","6"
"2005","no degree/no degree yet","indirect migration background","4.87","5","97","4","4","6","7","7","4.58","5.16","1","7","5","5"
"2005","no degree/no degree yet","no migration background","4.89","5","580","2","4","6","7","7","4.76","5.02","1","7","5","5"
"2005","Other degree","direct migration background","5.3","5","987","3","4","7","7","7","5.21","5.39","1","7","6","6"
"2005","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2005","Other degree","no migration background","5.11","6","108","2","4","7","7","7","4.74","5.48","1","7","5","6"
"2005","secondary school degree","direct migration background","5.48","6","241","4","4","7","7","7","5.29","5.67","1","7","5","6"
"2005","secondary school degree","indirect migration background","5.49","6","203","4","4","7","7","7","5.3","5.68","1","7","5","6"
"2005","secondary school degree","no migration background","5.26","6","5574","3","4","6","7","7","5.22","5.3","1","7","5","6"
"2006","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","","","","","","",""
