"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","college entrance qualification","direct migration background","3.94","4","110","3","3","5","5","5","3.75","4.13","2","5","4","4"
"1985","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1985","college entrance qualification","no migration background","3.81","4","1098","2","3","5","5","5","3.75","3.87","2","5","4","4"
"1985","lower secondary degree","direct migration background","4.24","5","561","3","4","5","5","5","4.15","4.33","2","5","4","4"
"1985","lower secondary degree","indirect migration background","4.03","4","76","3","4","5","5","5","3.78","4.28","2","5","3","4"
"1985","lower secondary degree","no migration background","4.36","5","4792","3","4","5","5","5","4.34","4.38","2","5","5","5"
"1985","no degree/no degree yet","direct migration background","4.56","5","849","3","4","5","5","5","4.51","4.61","2","5","5","5"
"1985","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","no migration background","3.36","3","223","2","2","4","5","5","3.22","3.5","2","5","3","4"
"1985","Other degree","direct migration background","4.32","5","1172","3","4","5","5","5","4.27","4.37","2","5","5","5"
"1985","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1985","Other degree","no migration background","3.76","4","41","2","3","5","5","5","3.41","4.11","2","5","3","5"
"1985","secondary school degree","direct migration background","3.92","4","139","2","3","5","5","5","3.74","4.1","2","5","4","4"
"1985","secondary school degree","indirect migration background","3.51","3","30","2","2","5","5","5","3.12","3.9","2","5","2","3"
"1985","secondary school degree","no migration background","3.86","4","1696","2","3","5","5","5","3.81","3.91","2","5","4","4"
"1986","college entrance qualification","direct migration background","3.87","4","114","3","3","5","5","5","3.7","4.04","2","5","4","4"
"1986","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1986","college entrance qualification","no migration background","3.81","4","1124","2","3","5","5","5","3.75","3.87","2","5","4","4"
"1986","lower secondary degree","direct migration background","4.3","5","586","3","4","5","5","5","4.22","4.38","2","5","4","4"
"1986","lower secondary degree","indirect migration background","4.11","4","83","3","3","5","5","5","3.88","4.34","2","5","3","4"
"1986","lower secondary degree","no migration background","4.35","5","4469","3","4","5","5","5","4.32","4.38","2","5","5","5"
"1986","no degree/no degree yet","direct migration background","4.52","5","790","3","4","5","5","5","4.46","4.58","2","5","5","5"
"1986","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","no migration background","3.44","3","217","2","2","4","5","5","3.3","3.58","2","5","3","4"
"1986","Other degree","direct migration background","4.43","5","1119","3","4","5","5","5","4.38","4.48","2","5","5","5"
"1986","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1986","Other degree","no migration background","3.89","4","41","2","3","5","5","5","3.56","4.22","2","5","4","5"
"1986","secondary school degree","direct migration background","4.03","4","151","2","3","5","5","5","3.86","4.2","2","5","4","4"
"1986","secondary school degree","indirect migration background","3.32","3","31","2","2","4","5","5","2.96","3.68","2","5","2","4"
"1986","secondary school degree","no migration background","3.88","4","1652","2","3","5","5","5","3.83","3.93","2","5","4","4"
"1987","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"1987","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1987","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"1987","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"1987","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"1987","lower secondary degree","no migration background","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","direct migration background","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"1987","Other degree","direct migration background","","","","","","","","","","","","","",""
"1987","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1987","Other degree","no migration background","","","","","","","","","","","","","",""
