"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","direct migration background","East Germany","4.4","5","106","3","4","5","5","5","4.25","4.55","1","5","4","5"
"2003","direct migration background","West Germany","4.16","4","2501","3","3","5","5","5","4.12","4.2","1","5","4","5"
"2003","indirect migration background","East Germany","3.78","4","32","3","3","4","5","5","3.45","4.11","2","5","3","4"
"2003","indirect migration background","West Germany","3.79","4","752","2","3","5","5","5","3.72","3.86","1","5","4","4"
"2003","no migration background","East Germany","4.45","5","5202","3","4","5","5","5","4.43","4.47","1","5","5","5"
"2003","no migration background","West Germany","4.33","5","13522","3","4","5","5","5","4.32","4.34","1","5","4","5"
"2004","direct migration background","East Germany","","","","","","","","","","","","","",""
"2004","direct migration background","West Germany","","","","","","","","","","","","","",""
"2004","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2004","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2004","no migration background","East Germany","","","","","","","","","","","","","",""
"2004","no migration background","West Germany","","","","","","","","","","","","","",""
"2005","direct migration background","East Germany","","","","","","","","","","","","","",""
"2005","direct migration background","West Germany","","","","","","","","","","","","","",""
"2005","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2005","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2005","no migration background","East Germany","","","","","","","","","","","","","",""
"2005","no migration background","West Germany","","","","","","","","","","","","","",""
"2006","direct migration background","East Germany","","","","","","","","","","","","","",""
"2006","direct migration background","West Germany","","","","","","","","","","","","","",""
"2006","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2006","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2006","no migration background","East Germany","","","","","","","","","","","","","",""
"2006","no migration background","West Germany","","","","","","","","","","","","","",""
"2007","direct migration background","East Germany","","","","","","","","","","","","","",""
"2007","direct migration background","West Germany","","","","","","","","","","","","","",""
"2007","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2007","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2007","no migration background","East Germany","","","","","","","","","","","","","",""
"2007","no migration background","West Germany","","","","","","","","","","","","","",""
"2008","direct migration background","East Germany","4.25","4","77","3","4","5","5","5","4.09","4.41","1","5","4","5"
"2008","direct migration background","West Germany","4.25","4","1816","3","4","5","5","5","4.21","4.29","1","5","4","5"
"2008","indirect migration background","East Germany","3.74","4","43","2","3","5","5","5","3.44","4.04","1","5","4","4"
"2008","indirect migration background","West Germany","3.97","4","728","3","3","5","5","5","3.9","4.04","1","5","4","4"
"2008","no migration background","East Germany","4.43","5","4641","3","4","5","5","5","4.41","4.45","1","5","5","5"
"2008","no migration background","West Germany","4.35","5","11986","3","4","5","5","5","4.34","4.36","1","5","5","5"
"2009","direct migration background","East Germany","","","","","","","","","","","","","",""
"2009","direct migration background","West Germany","","","","","","","","","","","","","",""
"2009","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2009","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2009","no migration background","East Germany","","","","","","","","","","","","","",""
"2009","no migration background","West Germany","","","","","","","","","","","","","",""
"2010","direct migration background","East Germany","","","","","","","","","","","","","",""
"2010","direct migration background","West Germany","","","","","","","","","","","","","",""
"2010","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2010","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2010","no migration background","East Germany","","","","","","","","","","","","","",""
"2010","no migration background","West Germany","","","","","","","","","","","","","",""
"2011","direct migration background","East Germany","","","","","","","","","","","","","",""
"2011","direct migration background","West Germany","","","","","","","","","","","","","",""
"2011","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2011","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2011","no migration background","East Germany","","","","","","","","","","","","","",""
"2011","no migration background","West Germany","","","","","","","","","","","","","",""
"2012","direct migration background","East Germany","","","","","","","","","","","","","",""
"2012","direct migration background","West Germany","","","","","","","","","","","","","",""
"2012","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2012","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2012","no migration background","East Germany","","","","","","","","","","","","","",""
"2012","no migration background","West Germany","","","","","","","","","","","","","",""
"2013","direct migration background","East Germany","4.45","5","137","3","4","5","5","5","4.31","4.59","1","5","4","5"
"2013","direct migration background","West Germany","4.25","5","2511","3","4","5","5","5","4.21","4.29","1","5","4","5"
"2013","indirect migration background","East Germany","3.81","4","75","3","3","5","5","5","3.6","4.02","2","5","4","4"
"2013","indirect migration background","West Germany","4.02","4","1109","3","3","5","5","5","3.96","4.08","1","5","4","4"
"2013","no migration background","East Germany","4.48","5","5516","3","4","5","5","5","4.46","4.5","1","5","5","5"
"2013","no migration background","West Germany","4.34","5","16148","3","4","5","5","5","4.33","4.35","1","5","5","5"
"2014","direct migration background","East Germany","","","","","","","","","","","","","",""
"2014","direct migration background","West Germany","","","","","","","","","","","","","",""
"2014","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2014","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2014","no migration background","East Germany","","","","","","","","","","","","","",""
"2014","no migration background","West Germany","","","","","","","","","","","","","",""
"2015","direct migration background","East Germany","","","","","","","","","","","","","",""
"2015","direct migration background","West Germany","","","","","","","","","","","","","",""
"2015","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2015","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2015","no migration background","East Germany","","","","","","","","","","","","","",""
"2015","no migration background","West Germany","","","","","","","","","","","","","",""
"2016","direct migration background","East Germany","","","","","","","","","","","","","",""
"2016","direct migration background","West Germany","","","","","","","","","","","","","",""
"2016","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2016","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2016","no migration background","East Germany","","","","","","","","","","","","","",""
"2016","no migration background","West Germany","","","","","","","","","","","","","",""
"2017","direct migration background","East Germany","","","","","","","","","","","","","",""
"2017","direct migration background","West Germany","","","","","","","","","","","","","",""
"2017","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2017","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2017","no migration background","East Germany","","","","","","","","","","","","","",""
"2017","no migration background","West Germany","","","","","","","","","","","","","",""
"2018","direct migration background","East Germany","3.95","4","348","3","3","5","5","5","3.84","4.06","1","5","4","5"
"2018","direct migration background","West Germany","4.09","4","4067","3","3","5","5","5","4.06","4.12","1","5","4","4"
"2018","indirect migration background","East Germany","3.91","4","122","2","3","5","5","5","3.72","4.1","1","5","4","4"
"2018","indirect migration background","West Germany","3.71","4","1588","2","3","5","5","5","3.66","3.76","1","5","4","4"
"2018","no migration background","East Germany","4.38","5","5039","3","4","5","5","5","4.36","4.4","1","5","5","5"
"2018","no migration background","West Germany","4.2","4","14522","3","4","5","5","5","4.19","4.21","1","5","4","4"
