"year","bula_h","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Baden-Württemberg","Rural Area","4.31","4","231","4","4","5","5","5","4.21","4.41","2","5","4","5"
"2003","Baden-Württemberg","Urban Area","4.33","5","2464","3","4","5","5","5","4.3","4.36","1","5","4","5"
"2003","Bavaria","Rural Area","4.37","5","1561","3","4","5","5","5","4.33","4.41","1","5","4","5"
"2003","Bavaria","Urban Area","4.18","4","1573","3","4","5","5","5","4.14","4.22","1","5","4","4"
"2003","Berlin","Rural Area","","","","","","","","","","","","","",""
"2003","Berlin","Urban Area","4.2","4","824","3","4","5","5","5","4.14","4.26","1","5","4","4"
"2003","Brandenburg","Rural Area","4.46","5","873","3","4","5","5","5","4.41","4.51","1","5","5","5"
"2003","Brandenburg","Urban Area","4.19","4","69","3","4","5","5","5","3.97","4.41","1","5","4","5"
"2003","Bremen","Rural Area","","","","","","","","","","","","","",""
"2003","Bremen","Urban Area","4.31","5","174","3","4","5","5","5","4.19","4.43","2","5","4","5"
"2003","Hamburg","Rural Area","","","","","","","","","","","","","",""
"2003","Hamburg","Urban Area","4.19","4","295","3","4","5","5","5","4.09","4.29","1","5","4","4"
"2003","Hesse","Rural Area","4.41","5","271","3","4","5","5","5","4.31","4.51","1","5","4","5"
"2003","Hesse","Urban Area","4.24","5","1222","3","4","5","5","5","4.19","4.29","1","5","4","5"
"2003","Lower Saxony","Rural Area","4.34","5","929","3","4","5","5","5","4.29","4.39","1","5","4","5"
"2003","Lower Saxony","Urban Area","4.26","5","980","3","4","5","5","5","4.2","4.32","1","5","4","5"
"2003","Mecklenburg-Western Pomerania","Rural Area","4.4","5","455","3","4","5","5","5","4.33","4.47","2","5","4","5"
"2003","Mecklenburg-Western Pomerania","Urban Area","4.57","5","72","4","4","5","5","5","4.39","4.75","2","5","4","5"
"2003","North Rhine-Westphalia","Rural Area","4.62","5","107","4","4","5","5","5","4.5","4.74","2","5","5","5"
"2003","North Rhine-Westphalia","Urban Area","4.28","5","4536","3","4","5","5","5","4.25","4.31","1","5","4","5"
