"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","16-34 y.","college entrance qualification","3.77","4","1686","3","3","4","5","5","3.73","3.81","1","5","4","4"
"2003","16-34 y.","lower secondary degree","3.97","4","1154","3","3","5","5","5","3.91","4.03","1","5","4","4"
"2003","16-34 y.","no degree/no degree yet","3.53","3","667","2","3","4","5","5","3.45","3.61","1","5","3","4"
"2003","16-34 y.","Other degree","3.99","4","208","3","3","5","5","5","3.85","4.13","1","5","4","5"
"2003","16-34 y.","secondary school degree","3.92","4","1918","3","3","5","5","5","3.88","3.96","1","5","4","4"
"2003","35-65 y.","college entrance qualification","4.2","4","3238","3","4","5","5","5","4.17","4.23","1","5","4","4"
"2003","35-65 y.","lower secondary degree","4.45","5","4331","3","4","5","5","5","4.43","4.47","1","5","5","5"
"2003","35-65 y.","no degree/no degree yet","4.42","5","161","3","4","5","5","5","4.29","4.55","2","5","5","5"
"2003","35-65 y.","Other degree","4.25","5","855","3","4","5","5","5","4.19","4.31","1","5","5","5"
"2003","35-65 y.","secondary school degree","4.41","5","3997","3","4","5","5","5","4.39","4.43","1","5","5","5"
"2003","66 and older","college entrance qualification","4.6","5","496","4","4","5","5","5","4.54","4.66","2","5","5","5"
"2003","66 and older","lower secondary degree","4.74","5","2390","4","5","5","5","5","4.72","4.76","1","5","5","5"
"2003","66 and older","no degree/no degree yet","4.82","5","62","4","5","5","5","5","4.65","4.99","3","5","5","5"
"2003","66 and older","Other degree","4.66","5","168","4","4","5","5","5","4.56","4.76","2","5","5","5"
"2003","66 and older","secondary school degree","4.65","5","510","4","4","5","5","5","4.6","4.7","2","5","5","5"
"2004","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2004","16-34 y.","lower secondary degree","","","","","","","","","","","","","",""
"2004","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2004","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2004","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2004","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2004","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2004","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2004","35-65 y.","Other degree","","","","","","","","","","","","","",""
"2004","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2004","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2004","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2004","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2004","66 and older","Other degree","","","","","","","","","","","","","",""
"2004","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2005","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2005","16-34 y.","lower secondary degree","","","","","","","","","","","","","",""
"2005","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2005","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2005","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2005","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2005","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2005","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2005","35-65 y.","Other degree","","","","","","","","","","","","","",""
"2005","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2005","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2005","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2005","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2005","66 and older","Other degree","","","","","","","","","","","","","",""
"2005","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2006","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2006","16-34 y.","lower secondary degree","","","","","","","","","","","","","",""
"2006","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2006","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2006","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2006","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2006","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","35-65 y.","Other degree","","","","","","","","","","","","","",""
"2006","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2006","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2006","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2006","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","66 and older","Other degree","","","","","","","","","","","","","",""
"2006","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2007","16-34 y.","college entrance qualification","","","","","","","","","","","","","",""
"2007","16-34 y.","lower secondary degree","","","","","","","","","","","","","",""
"2007","16-34 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2007","16-34 y.","Other degree","","","","","","","","","","","","","",""
"2007","16-34 y.","secondary school degree","","","","","","","","","","","","","",""
"2007","35-65 y.","college entrance qualification","","","","","","","","","","","","","",""
"2007","35-65 y.","lower secondary degree","","","","","","","","","","","","","",""
"2007","35-65 y.","no degree/no degree yet","","","","","","","","","","","","","",""
"2007","35-65 y.","Other degree","","","","","","","","","","","","","",""
"2007","35-65 y.","secondary school degree","","","","","","","","","","","","","",""
"2007","66 and older","college entrance qualification","","","","","","","","","","","","","",""
"2007","66 and older","lower secondary degree","","","","","","","","","","","","","",""
"2007","66 and older","no degree/no degree yet","","","","","","","","","","","","","",""
"2007","66 and older","Other degree","","","","","","","","","","","","","",""
"2007","66 and older","secondary school degree","","","","","","","","","","","","","",""
"2008","16-34 y.","college entrance qualification","3.82","4","1443","3","3","4","5","5","3.77","3.87","1","5","4","4"
"2008","16-34 y.","lower secondary degree","3.92","4","671","2","3","5","5","5","3.85","3.99","1","5","4","4"
"2008","16-34 y.","no degree/no degree yet","3.38","3","391","2","3","4","5","5","3.27","3.49","1","5","3","3"
"2008","16-34 y.","Other degree","4","4","118","3","4","5","5","5","3.84","4.16","1","5","4","5"
"2008","16-34 y.","secondary school degree","4.03","4","1296","3","3","5","5","5","3.98","4.08","1","5","4","4"
"2008","35-65 y.","college entrance qualification","4.27","4","2957","3","4","5","5","5","4.24","4.3","1","5","4","4"
"2008","35-65 y.","lower secondary degree","4.47","5","3157","3","4","5","5","5","4.44","4.5","1","5","5","5"
"2008","35-65 y.","no degree/no degree yet","4.4","5","98","3","4","5","5","5","4.23","4.57","2","5","5","5"
"2008","35-65 y.","Other degree","4.28","5","619","3","4","5","5","5","4.21","4.35","1","5","4","5"
"2008","35-65 y.","secondary school degree","4.44","5","3752","3","4","5","5","5","4.42","4.46","1","5","5","5"
"2008","66 and older","college entrance qualification","4.54","5","727","4","4","5","5","5","4.49","4.59","2","5","5","5"
"2008","66 and older","lower secondary degree","4.71","5","2612","4","5","5","5","5","4.69","4.73","1","5","5","5"
"2008","66 and older","no degree/no degree yet","4.82","5","55","4","5","5","5","5","4.67","4.97","3","5","5","5"
"2008","66 and older","Other degree","4.46","5","203","3","4","5","5","5","4.35","4.57","1","5","5","5"
