"year","pgisced97","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","general elemantary","Female","4.45","5","1823","3","4","5","5","5","4.41","4.49","1","5","5","5"
"2003","general elemantary","Male","4.15","5","908","3","4","5","5","5","4.08","4.22","1","5","4","4"
"2003","higher education","Female","4.22","4","1894","3","4","5","5","5","4.18","4.26","1","5","4","4"
"2003","higher education","Male","4.28","4","2445","3","4","5","5","5","4.25","4.31","1","5","4","4"
"2003","higher vocational","Female","4.33","5","710","3","4","5","5","5","4.27","4.39","1","5","4","5"
"2003","higher vocational","Male","4.34","4","970","3","4","5","5","5","4.29","4.39","1","5","4","5"
"2003","in school","Female","3.53","4","315","2","3","4","5","5","3.41","3.65","1","5","3","4"
"2003","in school","Male","3.41","3","301","2","3","4","5","5","3.29","3.53","1","5","3","3"
"2003","inadequately","Female","4.46","5","153","3","4","5","5","5","4.33","4.59","2","5","5","5"
"2003","inadequately","Male","4.43","5","108","3","4","5","5","5","4.26","4.6","2","5","4","5"
"2003","middle vocational","Female","4.44","5","5788","3","4","5","5","5","4.42","4.46","1","5","5","5"
"2003","middle vocational","Male","4.3","5","5305","3","4","5","5","5","4.28","4.32","1","5","5","5"
"2003","vocational + Abi","Female","4.21","4","675","3","4","5","5","5","4.15","4.27","1","5","4","4"
"2003","vocational + Abi","Male","4.1","4","484","3","4","5","5","5","4.02","4.18","1","5","4","4"
"2004","general elemantary","Female","","","","","","","","","","","","","",""
"2004","general elemantary","Male","","","","","","","","","","","","","",""
"2004","higher education","Female","","","","","","","","","","","","","",""
"2004","higher education","Male","","","","","","","","","","","","","",""
"2004","higher vocational","Female","","","","","","","","","","","","","",""
"2004","higher vocational","Male","","","","","","","","","","","","","",""
"2004","in school","Female","","","","","","","","","","","","","",""
"2004","in school","Male","","","","","","","","","","","","","",""
"2004","inadequately","Female","","","","","","","","","","","","","",""
"2004","inadequately","Male","","","","","","","","","","","","","",""
"2004","middle vocational","Female","","","","","","","","","","","","","",""
"2004","middle vocational","Male","","","","","","","","","","","","","",""
"2004","vocational + Abi","Female","","","","","","","","","","","","","",""
"2004","vocational + Abi","Male","","","","","","","","","","","","","",""
"2005","general elemantary","Female","","","","","","","","","","","","","",""
"2005","general elemantary","Male","","","","","","","","","","","","","",""
"2005","higher education","Female","","","","","","","","","","","","","",""
"2005","higher education","Male","","","","","","","","","","","","","",""
"2005","higher vocational","Female","","","","","","","","","","","","","",""
"2005","higher vocational","Male","","","","","","","","","","","","","",""
"2005","in school","Female","","","","","","","","","","","","","",""
"2005","in school","Male","","","","","","","","","","","","","",""
"2005","inadequately","Female","","","","","","","","","","","","","",""
"2005","inadequately","Male","","","","","","","","","","","","","",""
"2005","middle vocational","Female","","","","","","","","","","","","","",""
"2005","middle vocational","Male","","","","","","","","","","","","","",""
"2005","vocational + Abi","Female","","","","","","","","","","","","","",""
"2005","vocational + Abi","Male","","","","","","","","","","","","","",""
"2006","general elemantary","Female","","","","","","","","","","","","","",""
"2006","general elemantary","Male","","","","","","","","","","","","","",""
"2006","higher education","Female","","","","","","","","","","","","","",""
"2006","higher education","Male","","","","","","","","","","","","","",""
"2006","higher vocational","Female","","","","","","","","","","","","","",""
"2006","higher vocational","Male","","","","","","","","","","","","","",""
"2006","in school","Female","","","","","","","","","","","","","",""
"2006","in school","Male","","","","","","","","","","","","","",""
"2006","inadequately","Female","","","","","","","","","","","","","",""
"2006","inadequately","Male","","","","","","","","","","","","","",""
"2006","middle vocational","Female","","","","","","","","","","","","","",""
"2006","middle vocational","Male","","","","","","","","","","","","","",""
"2006","vocational + Abi","Female","","","","","","","","","","","","","",""
"2006","vocational + Abi","Male","","","","","","","","","","","","","",""
"2007","general elemantary","Female","","","","","","","","","","","","","",""
"2007","general elemantary","Male","","","","","","","","","","","","","",""
"2007","higher education","Female","","","","","","","","","","","","","",""
"2007","higher education","Male","","","","","","","","","","","","","",""
"2007","higher vocational","Female","","","","","","","","","","","","","",""
"2007","higher vocational","Male","","","","","","","","","","","","","",""
"2007","in school","Female","","","","","","","","","","","","","",""
"2007","in school","Male","","","","","","","","","","","","","",""
"2007","inadequately","Female","","","","","","","","","","","","","",""
"2007","inadequately","Male","","","","","","","","","","","","","",""
"2007","middle vocational","Female","","","","","","","","","","","","","",""
"2007","middle vocational","Male","","","","","","","","","","","","","",""
"2007","vocational + Abi","Female","","","","","","","","","","","","","",""
"2007","vocational + Abi","Male","","","","","","","","","","","","","",""
"2008","general elemantary","Female","4.49","5","1383","3","4","5","5","5","4.45","4.53","1","5","5","5"
"2008","general elemantary","Male","4.16","4","633","3","3","5","5","5","4.09","4.23","1","5","4","4"
"2008","higher education","Female","4.24","4","1897","3","4","5","5","5","4.2","4.28","1","5","4","5"
"2008","higher education","Male","4.31","4","2292","3","4","5","5","5","4.28","4.34","1","5","4","4"
"2008","higher vocational","Female","4.43","5","581","3","4","5","5","5","4.37","4.49","1","5","5","5"
"2008","higher vocational","Male","4.37","5","829","3","4","5","5","5","4.32","4.42","1","5","5","5"
"2008","in school","Female","3.32","3","183","2","3","4","5","5","3.17","3.47","1","5","3","4"
