"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","direct migration background","(0) in school","","","","","","","","","","","","","",""
"2007","direct migration background","(1a) inadequately completed","2.9","3","128","1","2","4","4","5","2.7","3.1","1","5","3","3"
"2007","direct migration background","(1b) general elementary school","2.82","3","441","1","2","3","4","5","2.72","2.92","1","5","3","3"
"2007","direct migration background","(1c) basic vocational qualification","2.79","3","588","1","2","3","4","5","2.7","2.88","1","5","3","3"
"2007","direct migration background","(2a) intermediate vocational","3.09","3","144","2","2","4","5","5","2.91","3.27","1","5","3","3"
"2007","direct migration background","(2b) intermediate general qualification","2.97","3","34","1","2","4","4","5","2.56","3.38","1","5","2","4"
"2007","direct migration background","(2c_gen) general maturity certificate","2.88","3","113","1","2","4","4","4","2.69","3.07","1","5","3","3"
"2007","direct migration background","(2c_voc) vocational maturity certificate","3.07","3","261","1","2","4","4","5","2.94","3.2","1","5","3","3"
"2007","direct migration background","(3a) lower tertiary education","2.99","3","75","2","2","4","4","5","2.73","3.25","1","5","3","3"
"2007","direct migration background","(3b) higher tertiary education","2.88","3","271","1","2","4","4","5","2.76","3","1","5","3","3"
"2007","indirect migration background","(0) in school","2.98","3","47","1","2","4","5","5","2.65","3.31","1","5","3","3"
"2007","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","indirect migration background","(1b) general elementary school","2.99","3","101","1","2","4","4","5","2.78","3.2","1","5","3","3"
"2007","indirect migration background","(1c) basic vocational qualification","3.08","3","136","2","2","4","4","5","2.9","3.26","1","5","3","3"
"2007","indirect migration background","(2a) intermediate vocational","3.07","3","131","2","2","4","4","5","2.88","3.26","1","5","3","3"
"2007","indirect migration background","(2b) intermediate general qualification","3.3","3","62","2","3","4","4","5","3.05","3.55","1","5","3","3"
"2007","indirect migration background","(2c_gen) general maturity certificate","2.97","3","79","1","2","4","4","5","2.73","3.21","1","5","3","3"
"2007","indirect migration background","(2c_voc) vocational maturity certificate","3.14","3","61","2","3","4","4","5","2.9","3.38","1","5","3","4"
"2007","indirect migration background","(3a) lower tertiary education","3.06","3","30","2","3","3","4","5","2.74","3.38","1","5","3","3"
"2007","indirect migration background","(3b) higher tertiary education","3.17","3","56","2","3","4","4","5","2.9","3.44","1","5","3","3"
"2007","no migration background","(0) in school","2.89","3","276","2","2","4","4","5","2.77","3.01","1","5","3","3"
"2007","no migration background","(1a) inadequately completed","3.03","3","82","1","2","4","5","5","2.78","3.28","1","5","3","3"
"2007","no migration background","(1b) general elementary school","2.68","3","1200","1","2","3","4","5","2.62","2.74","1","5","3","3"
"2007","no migration background","(1c) basic vocational qualification","2.78","3","4908","1","2","3","4","5","2.75","2.81","1","5","3","3"
"2007","no migration background","(2a) intermediate vocational","3","3","4605","2","2","4","4","5","2.97","3.03","1","5","3","3"
"2007","no migration background","(2b) intermediate general qualification","3.07","3","426","2","2","4","4","5","2.98","3.16","1","5","3","3"
"2007","no migration background","(2c_gen) general maturity certificate","2.96","3","622","2","2","4","4","5","2.88","3.04","1","5","3","3"
"2007","no migration background","(2c_voc) vocational maturity certificate","2.98","3","1237","2","2","4","4","5","2.92","3.04","1","5","3","3"
"2007","no migration background","(3a) lower tertiary education","2.96","3","1605","2","2","4","4","5","2.91","3.01","1","5","3","3"
"2007","no migration background","(3b) higher tertiary education","2.97","3","2359","2","2","4","4","5","2.93","3.01","1","5","3","3"
"2008","direct migration background","(0) in school","","","","","","","","","","","","","",""
"2008","direct migration background","(1a) inadequately completed","2.66","3","109","1","2","3","4","4","2.46","2.86","1","5","2","3"
"2008","direct migration background","(1b) general elementary school","2.71","3","398","1","2","3","4","5","2.61","2.81","1","5","3","3"
"2008","direct migration background","(1c) basic vocational qualification","2.82","3","518","2","2","3","4","5","2.74","2.9","1","5","3","3"
"2008","direct migration background","(2a) intermediate vocational","3","3","135","2","2","4","4","5","2.83","3.17","1","5","3","3"
"2008","direct migration background","(2b) intermediate general qualification","3.27","3","30","2","2","4","4","5","2.92","3.62","1","5","2","3"
"2008","direct migration background","(2c_gen) general maturity certificate","2.72","3","101","1","2","3","4","5","2.53","2.91","1","5","3","3"
"2008","direct migration background","(2c_voc) vocational maturity certificate","2.89","3","241","1","2","4","4","5","2.77","3.01","1","5","3","3"
"2008","direct migration background","(3a) lower tertiary education","2.76","3","73","1","2","3","4","5","2.53","2.99","1","5","2","3"
"2008","direct migration background","(3b) higher tertiary education","2.82","3","240","2","2","3","4","5","2.7","2.94","1","5","3","3"
"2008","indirect migration background","(0) in school","2.6","2","53","1","2","3","4","5","2.33","2.87","1","5","2","3"
"2008","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"2008","indirect migration background","(1b) general elementary school","3.05","3","99","2","3","4","4","5","2.85","3.25","1","5","3","3"
"2008","indirect migration background","(1c) basic vocational qualification","2.98","3","133","2","2","3","4","5","2.8","3.16","1","5","3","3"
"2008","indirect migration background","(2a) intermediate vocational","3.11","3","123","2","2","4","5","5","2.92","3.3","1","5","3","3"
"2008","indirect migration background","(2b) intermediate general qualification","3.11","3","64","2","2","4","4","5","2.84","3.38","1","5","2","3"
"2008","indirect migration background","(2c_gen) general maturity certificate","3.1","3","76","2","3","4","4","5","2.88","3.32","1","5","3","3"
"2008","indirect migration background","(2c_voc) vocational maturity certificate","3.26","3","52","2","3","4","5","5","2.98","3.54","1","5","3","3"
"2008","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2008","indirect migration background","(3b) higher tertiary education","2.94","3","62","2","2","4","4","5","2.72","3.16","1","5","3","3"
"2008","no migration background","(0) in school","2.9","3","294","2","2","4","4","5","2.79","3.01","1","5","3","3"
"2008","no migration background","(1a) inadequately completed","3.13","3","72","2","3","4","4","5","2.91","3.35","1","5","3","3"
"2008","no migration background","(1b) general elementary school","2.66","3","1089","1","2","3","4","5","2.6","2.72","1","5","3","3"
"2008","no migration background","(1c) basic vocational qualification","2.75","3","4610","1","2","3","4","5","2.72","2.78","1","5","3","3"
"2008","no migration background","(2a) intermediate vocational","2.93","3","4386","2","2","4","4","5","2.9","2.96","1","5","3","3"
"2008","no migration background","(2b) intermediate general qualification","2.96","3","389","2","2","4","4","5","2.86","3.06","1","5","3","3"
"2008","no migration background","(2c_gen) general maturity certificate","2.92","3","561","2","2","4","4","5","2.84","3","1","5","3","3"
"2008","no migration background","(2c_voc) vocational maturity certificate","2.95","3","1155","2","2","4","4","5","2.89","3.01","1","5","3","3"
"2008","no migration background","(3a) lower tertiary education","2.84","3","1551","2","2","3","4","5","2.79","2.89","1","5","3","3"
"2008","no migration background","(3b) higher tertiary education","2.78","3","2249","1","2","3","4","5","2.74","2.82","1","5","3","3"
"2009","direct migration background","(0) in school","","","","","","","","","","","","","",""
"2009","direct migration background","(1a) inadequately completed","3","3","102","2","2","4","4","5","2.79","3.21","1","5","3","3"
"2009","direct migration background","(1b) general elementary school","2.8","3","339","1","2","3","4","5","2.69","2.91","1","5","3","3"
"2009","direct migration background","(1c) basic vocational qualification","2.87","3","437","1","2","4","4","5","2.77","2.97","1","5","3","3"
"2009","direct migration background","(2a) intermediate vocational","3.11","3","118","2","3","4","4","5","2.93","3.29","1","5","3","3"
"2009","direct migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2009","direct migration background","(2c_gen) general maturity certificate","2.65","3","90","1","2","3","4","5","2.45","2.85","1","5","2","3"
"2009","direct migration background","(2c_voc) vocational maturity certificate","2.95","3","207","2","2","4","4","5","2.82","3.08","1","5","3","3"
"2009","direct migration background","(3a) lower tertiary education","2.67","3","70","1","2","3","4","5","2.41","2.93","1","5","2","3"
"2009","direct migration background","(3b) higher tertiary education","2.64","3","223","1","2","3","4","5","2.51","2.77","1","5","3","3"
"2009","indirect migration background","(0) in school","2.82","3","49","1","2","3","4","5","2.5","3.14","1","5","3","3"
"2009","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"2009","indirect migration background","(1b) general elementary school","2.87","3","86","1","2","4","4","5","2.64","3.1","1","5","2","3"
"2009","indirect migration background","(1c) basic vocational qualification","2.82","3","126","2","2","3","4","5","2.64","3","1","5","3","3"
