"ple0179","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","no migration background","60","0.0747321968448571","0.0541822658492542","0.0952821278404601"
"Daily","2016","Schleswig-Holstein","direct migration background","27","","",""
"Daily","2016","Schleswig-Holstein","indirect migration background","8","","",""
"Daily","2016","Hamburg","no migration background","19","","",""
"Daily","2016","Hamburg","direct migration background","18","","",""
"Daily","2016","Hamburg","indirect migration background","3","","",""
"Daily","2016","Lower Saxony","no migration background","217","0.131575080928952","0.115854102506001","0.147296059351903"
"Daily","2016","Lower Saxony","direct migration background","99","0.183988532523752","0.149539782735844","0.21843728231166"
"Daily","2016","Lower Saxony","indirect migration background","16","","",""
"Daily","2016","Bremen","no migration background","15","","",""
"Daily","2016","Bremen","direct migration background","7","","",""
"Daily","2016","Bremen","indirect migration background","1","","",""
"Daily","2016","North Rhine-Westphalia","no migration background","306","0.0907495936516018","0.0809755562490213","0.100523631054182"
"Daily","2016","North Rhine-Westphalia","direct migration background","146","0.107699250003566","0.0906162242048378","0.124782275802294"
"Daily","2016","North Rhine-Westphalia","indirect migration background","47","0.0900362159613861","0.0636193987468162","0.116453033175956"
"Daily","2016","Hesse","no migration background","100","0.0811382383722444","0.0649508835443575","0.0973255932001314"
"Daily","2016","Hesse","direct migration background","59","0.161726303357332","0.125323480252289","0.198129126462375"
"Daily","2016","Hesse","indirect migration background","13","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","no migration background","76","0.0744577235155563","0.0580471280626795","0.090868318968433"
"Daily","2016","Rhineland-Palatinate,Saarland","direct migration background","43","0.14343483742477","0.108512754854231","0.178356919995309"
"Daily","2016","Rhineland-Palatinate,Saarland","indirect migration background","12","","",""
"Daily","2016","Baden-Württemberg","no migration background","106","0.0567519433031489","0.046354030696549","0.0671498559097487"
"Daily","2016","Baden-Württemberg","direct migration background","72","0.0848298882825741","0.0638569825072917","0.105802794057856"
"Daily","2016","Baden-Württemberg","indirect migration background","30","0.157368041038898","0.113358438181692","0.201377643896103"
"Daily","2016","Bavaria","no migration background","224","0.0786826146217428","0.0687009905444226","0.0886642386990631"
"Daily","2016","Bavaria","direct migration background","123","0.0885138695126079","0.0692018240582335","0.107825914966982"
"Daily","2016","Bavaria","indirect migration background","25","","",""
"Daily","2016","Berlin","no migration background","71","0.0807363686318239","0.0605259632425536","0.100946774021094"
"Daily","2016","Berlin","direct migration background","23","","",""
"Daily","2016","Berlin","indirect migration background","12","","",""
"Daily","2016","Brandenburg","no migration background","74","0.0777648896158384","0.0594686946520437","0.0960610845796332"
"Daily","2016","Brandenburg","direct migration background","20","","",""
"Daily","2016","Brandenburg","indirect migration background","3","","",""
"Daily","2016","Mecklenburg-Western Pomerania","no migration background","92","0.219354016642219","0.182789031606954","0.255919001677483"
"Daily","2016","Mecklenburg-Western Pomerania","direct migration background","2","","",""
"Daily","2016","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Daily","2016","Saxony","no migration background","141","0.0965110639282466","0.0808632017152033","0.11215892614129"
"Daily","2016","Saxony","direct migration background","3","","",""
"Daily","2016","Saxony","indirect migration background","3","","",""
