"ple0179","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","2016","lower secondary degree","576","0.0856157472467239","0.0784323561127373","0.0927991383807106"
"Daily","2016","secondary school degree","710","0.107225762577656","0.0997619002331006","0.114689624922212"
"Daily","2016","college entrance qualification","549","0.0860009858593706","0.0793259450266995","0.0926760266920418"
"Daily","2016","Other degree","446","0.109468147196163","0.0987305108011789","0.120205783591147"
"Daily","2016","no degree/no degree yet","144","0.151869277266068","0.127244666614917","0.176493887917219"
"Four to six days a week","2016","lower secondary degree","1346","0.215437266955654","0.204882161600774","0.225992372310535"
"Four to six days a week","2016","secondary school degree","1516","0.235317751628802","0.225084560775751","0.245550942481852"
"Four to six days a week","2016","college entrance qualification","1631","0.24411145430742","0.233884358854179","0.25433854976066"
"Four to six days a week","2016","Other degree","696","0.183269208391991","0.169963919845802","0.196574496938179"
"Four to six days a week","2016","no degree/no degree yet","197","0.276622034191797","0.245929762430759","0.307314305952834"
"Two to three days a week","2016","lower secondary degree","2986","0.520197640882159","0.507371272820932","0.533024008943387"
"Two to three days a week","2016","secondary school degree","3152","0.467583923020391","0.455547468190613","0.47962037785017"
"Two to three days a week","2016","college entrance qualification","3109","0.449193081107245","0.437350521733151","0.461035640481339"
"Two to three days a week","2016","Other degree","1511","0.502400094775385","0.485204979900476","0.519595209650293"
"Two to three days a week","2016","no degree/no degree yet","337","0.408324950516135","0.374600289070256","0.442049611962013"
"Two to four days a month","2016","lower secondary degree","695","0.12993005612717","0.121297881534577","0.138562230719764"
"Two to four days a month","2016","secondary school degree","875","0.133694916081493","0.125485049439355","0.141904782723632"
"Two to four days a month","2016","college entrance qualification","949","0.135964697739994","0.127804359271452","0.144125036208537"
"Two to four days a month","2016","Other degree","404","0.138698873665173","0.126812372002097","0.150585375328249"
"Two to four days a month","2016","no degree/no degree yet","92","0.122706073685373","0.100194357597009","0.145217789773737"
"Once a month or less","2016","lower secondary degree","151","0.0311896704370816","0.0267268121892209","0.0356525286849422"
"Once a month or less","2016","secondary school degree","187","0.029771580249494","0.0256716056690331","0.0338715548299549"
"Once a month or less","2016","college entrance qualification","243","0.0395604898365299","0.0349196648880406","0.0442013147850192"
"Once a month or less","2016","Other degree","94","0.0328097338528728","0.0266834460832487","0.038936021622497"
"Once a month or less","2016","no degree/no degree yet","22","","",""
"Never","2016","lower secondary degree","74","0.0176296183512104","0.0142509356761953","0.0210083010262255"
"Never","2016","secondary school degree","161","0.0264060664421633","0.0225380883103181","0.0302740445740086"
"Never","2016","college entrance qualification","296","0.0451692911494408","0.0402248845792696","0.0501136977196119"
"Never","2016","Other degree","97","0.033353942118416","0.0271787935867585","0.0395290906500734"
"Never","2016","no degree/no degree yet","24","","",""
"Daily","2017","lower secondary degree","","","",""
"Daily","2017","secondary school degree","","","",""
"Daily","2017","college entrance qualification","","","",""
"Daily","2017","Other degree","","","",""
"Daily","2017","no degree/no degree yet","","","",""
"Four to six days a week","2017","lower secondary degree","","","",""
"Four to six days a week","2017","secondary school degree","","","",""
