"ple0179","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","897","0.14595745277107","0.136696254789559","0.15521865075258"
"Daily","2016","35-65 y.","1376","0.0939536533645765","0.0890956121320167","0.0988116945971363"
"Daily","2016","66 and older","288","0.0553699721213516","0.048866140158343","0.0618738040843602"
"Four to six days a week","2016","16-34 y.","1424","0.258228115470487","0.246747868682267","0.269708362258707"
"Four to six days a week","2016","35-65 y.","3277","0.237962539079101","0.230872124791084","0.245052953367119"
"Four to six days a week","2016","66 and older","904","0.175521758594202","0.164703524711007","0.186339992477397"
"Two to three days a week","2016","16-34 y.","2143","0.39227999094967","0.37947249806663","0.40508748383271"
"Two to three days a week","2016","35-65 y.","6629","0.479329845774686","0.471011676934486","0.487648014614886"
"Two to three days a week","2016","66 and older","2683","0.557048653011175","0.542922436324398","0.571174869697952"
"Two to four days a month","2016","16-34 y.","648","0.115032087169515","0.106662817933458","0.123401356405572"
"Two to four days a month","2016","35-65 y.","1820","0.131620612073057","0.125991422689861","0.137249801456253"
"Two to four days a month","2016","66 and older","674","0.156964074241228","0.146619218022378","0.167308930460077"
"Once a month or less","2016","16-34 y.","205","0.0375256422686919","0.0325405531332124","0.0425107314041714"
"Once a month or less","2016","35-65 y.","397","0.0322556939524956","0.0293138972221103","0.0351974906828809"
"Once a month or less","2016","66 and older","136","0.0366713088868493","0.0313262592894992","0.0420163584841994"
"Never","2016","16-34 y.","266","0.0509767113705665","0.0452072055024353","0.0567462172386976"
"Never","2016","35-65 y.","357","0.0248776557560833","0.0222842920136089","0.0274710194985577"
"Never","2016","66 and older","65","0.0184242331451946","0.0145998806883931","0.0222485856019962"
"Daily","2017","16-34 y.","","","",""
"Daily","2017","35-65 y.","","","",""
"Daily","2017","66 and older","","","",""
"Four to six days a week","2017","16-34 y.","","","",""
"Four to six days a week","2017","35-65 y.","","","",""
"Four to six days a week","2017","66 and older","","","",""
"Two to three days a week","2017","16-34 y.","","","",""
"Two to three days a week","2017","35-65 y.","","","",""
"Two to three days a week","2017","66 and older","","","",""
"Two to four days a month","2017","16-34 y.","","","",""
"Two to four days a month","2017","35-65 y.","","","",""
"Two to four days a month","2017","66 and older","","","",""
"Once a month or less","2017","16-34 y.","","","",""
"Once a month or less","2017","35-65 y.","","","",""
"Once a month or less","2017","66 and older","","","",""
"Never","2017","16-34 y.","","","",""
"Never","2017","35-65 y.","","","",""
"Never","2017","66 and older","","","",""
"Daily","2018","16-34 y.","977","0.160187049818476","0.150921079503885","0.169453020133067"
"Daily","2018","35-65 y.","1578","0.108754739220188","0.103705741724451","0.113803736715925"
"Daily","2018","66 and older","285","0.0449598084087748","0.0392224901722436","0.0506971266453059"
"Four to six days a week","2018","16-34 y.","1544","0.258990342175447","0.247923094269747","0.270057590081148"
"Four to six days a week","2018","35-65 y.","3389","0.233558530898766","0.226697019208318","0.240420042589214"
"Four to six days a week","2018","66 and older","920","0.175469983198005","0.164938475677436","0.186001490718573"
"Two to three days a week","2018","16-34 y.","2216","0.365093414652175","0.352930355049486","0.377256474254863"
"Two to three days a week","2018","35-65 y.","6777","0.458962331537985","0.450880966659603","0.467043696416366"
"Two to three days a week","2018","66 and older","2764","0.537078140734791","0.523272439445711","0.550883842023871"
"Two to four days a month","2018","16-34 y.","718","0.117624904896203","0.109486071042797","0.12576373874961"
"Two to four days a month","2018","35-65 y.","1943","0.135237963544107","0.129691961033239","0.140783966054974"
"Two to four days a month","2018","66 and older","829","0.191837662787582","0.180935764381552","0.202739561193612"
"Once a month or less","2018","16-34 y.","226","0.0406824814194004","0.0356916738574704","0.0456732889813304"
"Once a month or less","2018","35-65 y.","501","0.0358134466731094","0.0327998436852414","0.0388270496609774"
"Once a month or less","2018","66 and older","141","0.0340652691874486","0.0290428183646333","0.0390877200102639"
"Never","2018","16-34 y.","338","0.0574218070382982","0.0515444369142223","0.0632991771623742"
"Never","2018","35-65 y.","418","0.0276729881258448","0.0250127736849383","0.0303332025667513"
"Never","2018","66 and older","72","0.016589135683399","0.0130527040210904","0.0201255673457076"
