"ple0179","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","lower secondary degree","25","","",""
"Daily","2016","Schleswig-Holstein","secondary school degree","29","","",""
"Daily","2016","Schleswig-Holstein","college entrance qualification","15","","",""
"Daily","2016","Schleswig-Holstein","Other degree","14","","",""
"Daily","2016","Schleswig-Holstein","no degree/no degree yet","7","","",""
"Daily","2016","Hamburg","lower secondary degree","4","","",""
"Daily","2016","Hamburg","secondary school degree","5","","",""
"Daily","2016","Hamburg","college entrance qualification","14","","",""
"Daily","2016","Hamburg","Other degree","14","","",""
"Daily","2016","Hamburg","no degree/no degree yet","","","",""
"Daily","2016","Lower Saxony","lower secondary degree","72","0.109569502543335","0.0839945027939706","0.135144502292699"
"Daily","2016","Lower Saxony","secondary school degree","84","0.149971456735124","0.122502206717032","0.177440706753217"
"Daily","2016","Lower Saxony","college entrance qualification","75","0.145617049333347","0.118584212887661","0.172649885779033"
"Daily","2016","Lower Saxony","Other degree","56","0.159718201997497","0.117408347535503","0.202028056459491"
"Daily","2016","Lower Saxony","no degree/no degree yet","24","","",""
"Daily","2016","Bremen","lower secondary degree","9","","",""
"Daily","2016","Bremen","secondary school degree","3","","",""
"Daily","2016","Bremen","college entrance qualification","1","","",""
"Daily","2016","Bremen","Other degree","6","","",""
"Daily","2016","Bremen","no degree/no degree yet","3","","",""
"Daily","2016","North Rhine-Westphalia","lower secondary degree","130","0.0920120612463215","0.0757326595649053","0.108291462927738"
"Daily","2016","North Rhine-Westphalia","secondary school degree","94","0.087354988736198","0.0698983807918619","0.104811596680534"
"Daily","2016","North Rhine-Westphalia","college entrance qualification","126","0.0833997519665935","0.0698011204222074","0.0969983835109796"
"Daily","2016","North Rhine-Westphalia","Other degree","82","0.110644715328953","0.0885023564780873","0.132787074179818"
"Daily","2016","North Rhine-Westphalia","no degree/no degree yet","41","0.181556525034515","0.134610536841165","0.228502513227865"
"Daily","2016","Hesse","lower secondary degree","40","0.104223995937014","0.0707462141644987","0.137701777709529"
"Daily","2016","Hesse","secondary school degree","34","0.065186106788618","0.0402678580381853","0.0901043555390506"
"Daily","2016","Hesse","college entrance qualification","40","0.0894744170852663","0.0654670965297465","0.113481737640786"
"Daily","2016","Hesse","Other degree","35","0.135326678689576","0.0938269193113526","0.1768264380678"
"Daily","2016","Hesse","no degree/no degree yet","11","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","lower secondary degree","42","0.1070071716811","0.0790008809631366","0.135013462399064"
"Daily","2016","Rhineland-Palatinate,Saarland","secondary school degree","27","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","college entrance qualification","21","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Other degree","30","0.0882611800832993","0.0542350507428716","0.122287309423727"
"Daily","2016","Rhineland-Palatinate,Saarland","no degree/no degree yet","6","","",""
"Daily","2016","Baden-Württemberg","lower secondary degree","46","0.0607871489562861","0.0429199027090714","0.0786543952035008"
"Daily","2016","Baden-Württemberg","secondary school degree","56","0.0892047960126601","0.0677966526299944","0.110612939395326"
"Daily","2016","Baden-Württemberg","college entrance qualification","44","0.0602398900738396","0.0440238083325924","0.0764559718150869"
"Daily","2016","Baden-Württemberg","Other degree","41","0.0676429295339155","0.0448905144151739","0.0903953446526571"
"Daily","2016","Baden-Württemberg","no degree/no degree yet","10","","",""
"Daily","2016","Bavaria","lower secondary degree","95","0.0661491653522643","0.051864858412915","0.0804334722916137"
"Daily","2016","Bavaria","secondary school degree","72","0.0793981648140061","0.062003532493936","0.0967927971340763"
"Daily","2016","Bavaria","college entrance qualification","59","0.0670103543253937","0.0508795282109383","0.0831411804398491"
"Daily","2016","Bavaria","Other degree","106","0.116637597746412","0.0914726043388506","0.141802591153973"
"Daily","2016","Bavaria","no degree/no degree yet","18","","",""
"Daily","2016","Berlin","lower secondary degree","13","","",""
"Daily","2016","Berlin","secondary school degree","26","","",""
"Daily","2016","Berlin","college entrance qualification","36","0.0908346136272569","0.0606416598499616","0.121027567404552"
"Daily","2016","Berlin","Other degree","19","","",""
"Daily","2016","Berlin","no degree/no degree yet","8","","",""
"Daily","2016","Brandenburg","lower secondary degree","17","","",""
"Daily","2016","Brandenburg","secondary school degree","38","0.075207421546641","0.0485507030239148","0.101864140069367"
