"ple0179","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","in school","3","","",""
"Daily","2016","Schleswig-Holstein","inadequately","3","","",""
"Daily","2016","Schleswig-Holstein","general elemantary","21","","",""
"Daily","2016","Schleswig-Holstein","middle vocational","41","0.0887468802528202","0.0601543654679832","0.117339395037657"
"Daily","2016","Schleswig-Holstein","vocational + Abi","12","","",""
"Daily","2016","Schleswig-Holstein","higher vocational","3","","",""
"Daily","2016","Schleswig-Holstein","higher education","7","","",""
"Daily","2016","Hamburg","in school","","","",""
"Daily","2016","Hamburg","inadequately","","","",""
"Daily","2016","Hamburg","general elemantary","2","","",""
"Daily","2016","Hamburg","middle vocational","13","","",""
"Daily","2016","Hamburg","vocational + Abi","7","","",""
"Daily","2016","Hamburg","higher vocational","3","","",""
"Daily","2016","Hamburg","higher education","13","","",""
"Daily","2016","Lower Saxony","in school","10","","",""
"Daily","2016","Lower Saxony","inadequately","13","","",""
"Daily","2016","Lower Saxony","general elemantary","62","0.144136687201806","0.104056793936717","0.184216580466896"
"Daily","2016","Lower Saxony","middle vocational","137","0.141543589979434","0.120878265101641","0.162208914857226"
"Daily","2016","Lower Saxony","vocational + Abi","24","","",""
"Daily","2016","Lower Saxony","higher vocational","12","","",""
"Daily","2016","Lower Saxony","higher education","56","0.123772851787919","0.0949358383900621","0.152609865185776"
"Daily","2016","Bremen","in school","2","","",""
"Daily","2016","Bremen","inadequately","2","","",""
"Daily","2016","Bremen","general elemantary","4","","",""
"Daily","2016","Bremen","middle vocational","8","","",""
"Daily","2016","Bremen","vocational + Abi","3","","",""
"Daily","2016","Bremen","higher vocational","","","",""
"Daily","2016","Bremen","higher education","3","","",""
"Daily","2016","North Rhine-Westphalia","in school","17","","",""
"Daily","2016","North Rhine-Westphalia","inadequately","21","","",""
"Daily","2016","North Rhine-Westphalia","general elemantary","75","0.0955738776160348","0.0725610241229124","0.118586731109157"
"Daily","2016","North Rhine-Westphalia","middle vocational","200","0.0877616387082244","0.075834760794286","0.0996885166221629"
"Daily","2016","North Rhine-Westphalia","vocational + Abi","58","0.109314217114759","0.0835165450537132","0.135111889175804"
"Daily","2016","North Rhine-Westphalia","higher vocational","30","0.119943678466081","0.0794260955346634","0.160461261397499"
"Daily","2016","North Rhine-Westphalia","higher education","81","0.0712457627953875","0.0558255927541621","0.0866659328366129"
"Daily","2016","Hesse","in school","7","","",""
"Daily","2016","Hesse","inadequately","3","","",""
"Daily","2016","Hesse","general elemantary","15","","",""
"Daily","2016","Hesse","middle vocational","80","0.109474796667496","0.0856720243463592","0.133277568988632"
"Daily","2016","Hesse","vocational + Abi","12","","",""
"Daily","2016","Hesse","higher vocational","8","","",""
"Daily","2016","Hesse","higher education","38","0.0739922019359005","0.0504027517581381","0.0975816521136628"
"Daily","2016","Rhineland-Palatinate,Saarland","in school","3","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","inadequately","2","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","general elemantary","22","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","middle vocational","70","0.0964665293829721","0.0741781448230251","0.118754913942919"
"Daily","2016","Rhineland-Palatinate,Saarland","vocational + Abi","10","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","higher vocational","5","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","higher education","17","","",""
"Daily","2016","Baden-Württemberg","in school","7","","",""
"Daily","2016","Baden-Württemberg","inadequately","2","","",""
"Daily","2016","Baden-Württemberg","general elemantary","29","","",""
"Daily","2016","Baden-Württemberg","middle vocational","85","0.0711264632826629","0.0565409481771772","0.0857119783881487"
"Daily","2016","Baden-Württemberg","vocational + Abi","26","","",""
"Daily","2016","Baden-Württemberg","higher vocational","16","","",""
"Daily","2016","Baden-Württemberg","higher education","35","0.0488854596675964","0.0335954530327649","0.064175466302428"
"Daily","2016","Bavaria","in school","5","","",""
"Daily","2016","Bavaria","inadequately","11","","",""
"Daily","2016","Bavaria","general elemantary","48","0.078387565852088","0.0516777408616702","0.105097390842506"
