"year","hgtyp1hh","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","(Married) couple without C.","direct migration background","19.13","14.34","49","3","8","21","40","80","14.25","24.01","1","80","12","20"
"1986","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","no migration background","19","15","349","4","8","23","43","90","17.28","20.72","1","99","12","15"
"1986","1-pers.-HH","direct migration background","18.32","13.73","45","4","8","25","40","60","14.26","22.38","2","60","12","20"
"1986","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1986","1-pers.-HH","no migration background","18.78","12","170","4","8","20","40","90","15.76","21.8","0","99","10","16"
"1986","Couple + C. GT 16 ","direct migration background","16.15","10","71","3","5","23","40","60","12.78","19.52","1","70","10","16"
"1986","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"1986","Couple + C. GT 16 ","no migration background","16.95","12","294","3","6","20","40","90","15.06","18.84","1","99","10","13"
"1986","Couple + C. LE 16","direct migration background","20.21","16","154","5","8","28","44","65","17.59","22.83","0","88","12","20"
"1986","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1986","Couple + C. LE 16","no migration background","21.46","16","345","5","10","30","42","80","19.5","23.42","1","90","15","20"
"1986","Couple + C. LE and GT 16","direct migration background","17.75","12","69","5","6","20","40","70","14.57","20.93","0","70","10","20"
"1986","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
"1986","Couple + C. LE and GT 16","no migration background","20.11","12.26","133","4","6","24","50","80","16.85","23.37","1","80","10","18"
"1986","Single parent","direct migration background","","","","","","","","","","","","","",""
"1986","Single parent","indirect migration background","","","","","","","","","","","","","",""
"1986","Single parent","no migration background","15.52","12","64","3","6","20","30","80","11.91","19.13","1","80","8","15"
"1987","(Married) couple without C.","direct migration background","","","","","","","","","","","","","",""
"1987","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1987","(Married) couple without C.","no migration background","","","","","","","","","","","","","",""
"1987","1-pers.-HH","direct migration background","","","","","","","","","","","","","",""
"1987","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1987","1-pers.-HH","no migration background","","","","","","","","","","","","","",""
"1987","Couple + C. GT 16 ","direct migration background","","","","","","","","","","","","","",""
"1987","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"1987","Couple + C. GT 16 ","no migration background","","","","","","","","","","","","","",""
"1987","Couple + C. LE 16","direct migration background","","","","","","","","","","","","","",""
"1987","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"1987","Couple + C. LE 16","no migration background","","","","","","","","","","","","","",""
"1987","Couple + C. LE and GT 16","direct migration background","","","","","","","","","","","","","",""
"1987","Couple + C. LE and GT 16","indirect migration background","","","","","","","","","","","","","",""
"1987","Couple + C. LE and GT 16","no migration background","","","","","","","","","","","","","",""
"1987","Single parent","direct migration background","","","","","","","","","","","","","",""
"1987","Single parent","indirect migration background","","","","","","","","","","","","","",""
"1987","Single parent","no migration background","","","","","","","","","","","","","",""
"1988","(Married) couple without C.","direct migration background","16.38","12","73","7","8","20","30","50","13.18","19.58","1","80","10","16"
"1988","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"1988","(Married) couple without C.","no migration background","19.67","15","352","5","8","22","40","99","17.78","21.56","1","99","12","16"
"1988","1-pers.-HH","direct migration background","20.23","16.52","36","4","8","25","42","55","15.39","25.07","3","55","10","20"
"1988","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"1988","1-pers.-HH","no migration background","19.89","16","129","4","10","30","40","70","17.15","22.63","2","80","12","20"
"1988","Couple + C. GT 16 ","direct migration background","16.51","11.86","65","6","8","20","30","56","12.47","20.55","2","99","9","16"
