"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","direct migration background","18.61","14","423","4","8","24","40","70","17.03","20.19","0","99","12","16"
"1986","indirect migration background","","","","","","","","","","","","","",""
"1986","no migration background","19.01","14","1419","4","8","22","40","90","18.09","19.93","0","99","12","15"
"1987","direct migration background","","","","","","","","","","","","","",""
"1987","indirect migration background","","","","","","","","","","","","","",""
"1987","no migration background","","","","","","","","","","","","","",""
"1988","direct migration background","19.07","14","426","5","8","30","40","55","17.61","20.53","1","99","12","16"
"1988","indirect migration background","","","","","","","","","","","","","",""
"1988","no migration background","19.12","13","1387","4","8","24","40","81","18.17","20.07","1","99","12","15"
"1989","direct migration background","18.22","16","443","5","8","22","40","80","16.73","19.71","0","99","12","16"
"1989","indirect migration background","25.34","20","33","4","10","40","50","99","17.7","32.98","1","99","7","20"
"1989","no migration background","19.78","15","1441","4","8","25","40","99","18.84","20.72","0","99","12","15"
"1990","direct migration background","20.36","15.6","468","5","10","24","40","99","18.8","21.92","0","99","12","16"
"1990","indirect migration background","15.55","10","43","6","8","15","24","80","10.8","20.3","1","80","8","16"
"1990","no migration background","18.81","15","2534","4","8","24","40","80","18.18","19.44","0","99","13","15"
"1991","direct migration background","18.46","14.85","464","5","8","22","40","80","17.04","19.88","0","99","12","15"
"1991","indirect migration background","14.89","11.84","59","4","7","20","24","40","11.87","17.91","2","60","8","15"
"1991","no migration background","20.39","15","2395","4","8","25","43","99","19.64","21.14","0","99","13","15"
"1992","direct migration background","18.03","12","411","4","8","23","40","80","16.53","19.53","0","90","12","15"
"1992","indirect migration background","17.71","12","64","4","7","24","40","60","13.79","21.63","2","99","10","15"
"1992","no migration background","19.38","15","2520","4","8","25","40","90","18.67","20.09","0","99","12","15"
"1993","direct migration background","17.42","11.66","342","4","7","24","40","80","15.64","19.2","0","99","10","15"
"1993","indirect migration background","17.57","12.68","85","4","7","25","30","85","13.87","21.27","1","99","10","16"
