"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","college entrance qualification","(Married) couple without C.","19.98","15","74","4","10","20","46","80","16.19","23.77","1","80","12","20"
"1986","college entrance qualification","1-pers.-HH","22.33","19","58","4","10","26","40","99","16.55","28.11","1","99","12","20"
"1986","college entrance qualification","Couple + C. GT 16 ","18.55","12.48","53","3","8","25","40","90","13.84","23.26","2","90","10","20"
"1986","college entrance qualification","Couple + C. LE 16","21.65","15.9","88","4","8","25","50","90","17.14","26.16","0","90","13","20"
"1986","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1986","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"1986","lower secondary degree","(Married) couple without C.","19.95","14","189","5","8","24","45","99","17.42","22.48","1","99","12","16"
"1986","lower secondary degree","1-pers.-HH","16.18","10","75","3","6","20","40","99","11.88","20.48","0","99","8","12"
"1986","lower secondary degree","Couple + C. GT 16 ","17.85","12","171","5","8","20","40","80","15.34","20.36","1","90","10","15"
"1986","lower secondary degree","Couple + C. LE 16","20.53","16","201","5","8","25","40","80","18.16","22.9","1","80","15","20"
"1986","lower secondary degree","Couple + C. LE and GT 16","18.77","11.36","103","3","8","20","42","80","15.47","22.07","1","80","10","18"
"1986","lower secondary degree","Single parent","14.96","12","43","4","5","20","30","80","10.79","19.13","1","80","6","15"
"1986","no degree/no degree yet","(Married) couple without C.","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","Couple + C. LE 16","22.43","14.74","30","3","8","24","60","88","14.83","30.03","2","88","10","20"
"1986","no degree/no degree yet","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"1986","Other degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1986","Other degree","1-pers.-HH","","","","","","","","","","","","","",""
"1986","Other degree","Couple + C. GT 16 ","16.32","10","33","8","8","20","34","48","11.86","20.78","1","48","10","20"
"1986","Other degree","Couple + C. LE 16","19.71","16","90","6","10","30","48","60","16.57","22.85","2","64","10","20"
"1986","Other degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1986","Other degree","Single parent","","","","","","","","","","","","","",""
"1986","secondary school degree","(Married) couple without C.","17.02","12","99","3","8","22","40","50","14.35","19.69","1","58","10","15"
"1986","secondary school degree","1-pers.-HH","18.64","12","47","5","8","23","38","80","13.24","24.04","2","80","10","20"
"1986","secondary school degree","Couple + C. GT 16 ","14.86","10","100","2","5","20","35","60","11.84","17.88","1","99","8","12"
"1986","secondary school degree","Couple + C. LE 16","22.91","20","89","6","10","30","40","80","19.3","26.52","1","90","15","20"
"1986","secondary school degree","Couple + C. LE and GT 16","19.5","9.43","35","3","5","20","58","80","12.1","26.9","0","80","6","16"
"1986","secondary school degree","Single parent","","","","","","","","","","","","","",""
"1987","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"1987","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"1987","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1987","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
"1987","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1987","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"1987","lower secondary degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1987","lower secondary degree","1-pers.-HH","","","","","","","","","","","","","",""
"1987","lower secondary degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1987","lower secondary degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1987","lower secondary degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1987","lower secondary degree","Single parent","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","(Married) couple without C.","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1987","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"1987","Other degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1987","Other degree","1-pers.-HH","","","","","","","","","","","","","",""
"1987","Other degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1987","Other degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1987","Other degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1987","Other degree","Single parent","","","","","","","","","","","","","",""
