"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","direct migration background","general elemantary","18.72","11.73","134","5","8","25","40","60","16.2","21.24","2","64","10","20"
"1986","direct migration background","higher education","","","","","","","","","","","","","",""
"1986","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1986","direct migration background","in school","","","","","","","","","","","","","",""
"1986","direct migration background","inadequately","25.26","17.4","64","4","10","38","60","88","19.8","30.72","2","99","15","20"
"1986","direct migration background","middle vocational","17.1","12","161","5","5","24","40","64","14.58","19.62","0","98","12","20"
"1986","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1986","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1986","indirect migration background","higher education","","","","","","","","","","","","","",""
"1986","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1986","indirect migration background","in school","","","","","","","","","","","","","",""
"1986","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1986","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1986","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1986","no migration background","general elemantary","14.85","10","165","3","5","20","30","80","12.51","17.19","1","80","8","12"
"1986","no migration background","higher education","22.56","17.18","216","4","10","28","50","90","19.76","25.36","1","99","15","20"
"1986","no migration background","higher vocational","22.24","16","142","6","10","28","50","88","19.05","25.43","2","99","14","20"
"1986","no migration background","in school","","","","","","","","","","","","","",""
"1986","no migration background","inadequately","","","","","","","","","","","","","",""
"1986","no migration background","middle vocational","18.74","12.45","830","4","8","20","40","90","17.58","19.9","0","99","12","15"
"1986","no migration background","vocational + Abi","13.98","10.75","45","3","4","20","25","60","9.96","18","1","60","6","15"
"1987","direct migration background","general elemantary","","","","","","","","","","","","","",""
"1987","direct migration background","higher education","","","","","","","","","","","","","",""
"1987","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1987","direct migration background","in school","","","","","","","","","","","","","",""
"1987","direct migration background","inadequately","","","","","","","","","","","","","",""
"1987","direct migration background","middle vocational","","","","","","","","","","","","","",""
"1987","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1987","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1987","indirect migration background","higher education","","","","","","","","","","","","","",""
"1987","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1987","indirect migration background","in school","","","","","","","","","","","","","",""
"1987","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1987","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1987","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1987","no migration background","general elemantary","","","","","","","","","","","","","",""
"1987","no migration background","higher education","","","","","","","","","","","","","",""
"1987","no migration background","higher vocational","","","","","","","","","","","","","",""
"1987","no migration background","in school","","","","","","","","","","","","","",""
"1987","no migration background","inadequately","","","","","","","","","","","","","",""
"1987","no migration background","middle vocational","","","","","","","","","","","","","",""
"1987","no migration background","vocational + Abi","","","","","","","","","","","","","",""
"1988","direct migration background","general elemantary","18.87","12","130","5","8","23","48","60","16.2","21.54","2","80","10","16"
"1988","direct migration background","higher education","","","","","","","","","","","","","",""
"1988","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1988","direct migration background","in school","","","","","","","","","","","","","",""
"1988","direct migration background","inadequately","17.62","12","68","4","8","24","40","60","14.44","20.8","1","60","10","15"
"1988","direct migration background","middle vocational","18.63","13.4","159","5","8","30","40","50","16.14","21.12","2","99","11","16"
"1988","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1988","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1988","indirect migration background","higher education","","","","","","","","","","","","","",""
"1988","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1988","indirect migration background","in school","","","","","","","","","","","","","",""
"1988","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1988","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1988","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1988","no migration background","general elemantary","17.4","12","171","3","8","22","40","90","15","19.8","1","99","10","14"
"1988","no migration background","higher education","22.68","20","208","4","8","30","50","80","19.96","25.4","1","99","15","20"
"1988","no migration background","higher vocational","20.06","16","143","4","8","23","40","99","16.88","23.24","1","99","12","20"
"1988","no migration background","in school","","","","","","","","","","","","","",""
"1988","no migration background","inadequately","","","","","","","","","","","","","",""
"1988","no migration background","middle vocational","18.58","11.71","799","4","8","21","40","90","17.33","19.83","1","99","10","14"
"1988","no migration background","vocational + Abi","18.29","15","46","4","8","20","35","80","13.83","22.75","1","80","10","18"
"1989","direct migration background","general elemantary","18.58","15","121","5","8","24","40","72","15.73","21.43","1","80","10","20"
"1989","direct migration background","higher education","","","","","","","","","","","","","",""
"1989","direct migration background","higher vocational","","","","","","","","","","","","","",""
"1989","direct migration background","in school","","","","","","","","","","","","","",""
"1989","direct migration background","inadequately","16.77","12.57","72","4","8","24","30","76","13.83","19.71","0","76","10","20"
"1989","direct migration background","middle vocational","18.59","16","184","5","8","20","40","90","16.19","20.99","1","90","11","18"
"1989","direct migration background","vocational + Abi","","","","","","","","","","","","","",""
"1989","indirect migration background","general elemantary","","","","","","","","","","","","","",""
"1989","indirect migration background","higher education","","","","","","","","","","","","","",""
"1989","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1989","indirect migration background","in school","","","","","","","","","","","","","",""
"1989","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1989","indirect migration background","middle vocational","","","","","","","","","","","","","",""
"1989","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1989","no migration background","general elemantary","16.16","10","180","2","5","20","38","75","13.89","18.43","1","90","10","12"
"1989","no migration background","higher education","23.31","19.8","217","5","10","30","50","90","20.82","25.8","1","99","15","20"
"1989","no migration background","higher vocational","20.23","18","124","5","10","25","40","80","17.56","22.9","2","80","12","20"
"1989","no migration background","in school","","","","","","","","","","","","","",""
"1989","no migration background","inadequately","","","","","","","","","","","","","",""
"1989","no migration background","middle vocational","19.69","12","842","4","8","24","41","99","18.4","20.98","0","99","12","15"
"1989","no migration background","vocational + Abi","17.7","10.32","58","2","8","20","42","99","13.15","22.25","0","99","10","20"
"1990","direct migration background","general elemantary","20","15","134","4","8","20","40","99","17.39","22.61","1","99","10","15"
