"plh0180","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","1-pers.-HH","in school","1","","","","0"
"0 Completely dissatisfied","2006","1-pers.-HH","inadequately","2","","","","0"
"0 Completely dissatisfied","2006","1-pers.-HH","general elemantary","16","","","","0"
"0 Completely dissatisfied","2006","1-pers.-HH","middle vocational","43","0.029371994802776","0.0210908808055428","0.0376531088000091","0"
"0 Completely dissatisfied","2006","1-pers.-HH","vocational + Abi","6","","","","0"
"0 Completely dissatisfied","2006","1-pers.-HH","higher vocational","5","","","","0"
"0 Completely dissatisfied","2006","1-pers.-HH","higher education","18","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","in school","","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","inadequately","","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","general elemantary","1","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","middle vocational","8","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","higher vocational","","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","higher education","1","","","","0"
"0 Completely dissatisfied","2006","Single parent ","in school","","","","","0"
"0 Completely dissatisfied","2006","Single parent ","inadequately","","","","","0"
"0 Completely dissatisfied","2006","Single parent ","general elemantary","1","","","","0"
"0 Completely dissatisfied","2006","Single parent ","middle vocational","3","","","","0"
"0 Completely dissatisfied","2006","Single parent ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2006","Single parent ","higher vocational","","","","","0"
"0 Completely dissatisfied","2006","Single parent ","higher education","1","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","in school","","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","inadequately","1","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","general elemantary","","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","middle vocational","2","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","vocational + Abi","","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","higher vocational","1","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","higher education","2","","","","0"
