"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","general elemantary","1.36","1","934","1","1","1","2","4","1.31","1.41","1","5","1","1"
"1990","16-34 y.","higher education","1.7","1","197","1","1","2","3","5","1.55","1.85","1","5","1","2"
"1990","16-34 y.","higher vocational","1.59","1","165","1","1","2","3","5","1.45","1.73","1","5","1","1"
"1990","16-34 y.","in school","1.37","1","161","1","1","2","2","4","1.27","1.47","1","4","1","1"
"1990","16-34 y.","inadequately","1.24","1","159","1","1","1","2","5","1.11","1.37","1","5","1","1"
"1990","16-34 y.","middle vocational","1.38","1","1746","1","1","2","2","4","1.35","1.41","1","5","1","1"
"1990","16-34 y.","vocational + Abi","1.66","1","165","1","1","2","3","5","1.52","1.8","1","5","1","1"
"1990","35-65 y.","general elemantary","1.29","1","1152","1","1","1","2","5","1.25","1.33","1","5","1","1"
"1990","35-65 y.","higher education","1.57","1","436","1","1","2","3","5","1.48","1.66","1","5","1","1"
"1990","35-65 y.","higher vocational","1.32","1","279","1","1","1","2","4","1.23","1.41","1","5","1","1"
"1990","35-65 y.","in school","","","","","","","","","","","","","",""
"1990","35-65 y.","inadequately","1.42","1","456","1","1","1","2","5","1.34","1.5","1","5","1","1"
"1990","35-65 y.","middle vocational","1.28","1","2304","1","1","1","2","4","1.25","1.31","1","5","1","1"
"1990","35-65 y.","vocational + Abi","1.38","1","106","1","1","2","2","4","1.21","1.55","1","5","1","1"
"1990","66 and older","general elemantary","1.3","1","385","1","1","1","2","5","1.22","1.38","1","5","1","1"
"1990","66 and older","higher education","1.2","1","62","1","1","1","2","5","1.02","1.38","1","5","1","1"
"1990","66 and older","higher vocational","1.17","1","70","1","1","1","2","4","1.05","1.29","1","4","1","1"
"1990","66 and older","in school","","","","","","","","","","","","","",""
"1990","66 and older","inadequately","","","","","","","","","","","","","",""
"1990","66 and older","middle vocational","1.16","1","498","1","1","1","1","5","1.11","1.21","1","5","1","1"
"1990","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1991","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1991","16-34 y.","higher education","","","","","","","","","","","","","",""
"1991","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1991","16-34 y.","in school","","","","","","","","","","","","","",""
"1991","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1991","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1991","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1991","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1991","35-65 y.","higher education","","","","","","","","","","","","","",""
"1991","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1991","35-65 y.","in school","","","","","","","","","","","","","",""
"1991","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1991","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1991","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1991","66 and older","general elemantary","","","","","","","","","","","","","",""
"1991","66 and older","higher education","","","","","","","","","","","","","",""
"1991","66 and older","higher vocational","","","","","","","","","","","","","",""
"1991","66 and older","in school","","","","","","","","","","","","","",""
"1991","66 and older","inadequately","","","","","","","","","","","","","",""
"1991","66 and older","middle vocational","","","","","","","","","","","","","",""
"1991","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1992","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1992","16-34 y.","higher education","","","","","","","","","","","","","",""
"1992","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1992","16-34 y.","in school","","","","","","","","","","","","","",""
"1992","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1992","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1992","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1992","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1992","35-65 y.","higher education","","","","","","","","","","","","","",""
"1992","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1992","35-65 y.","in school","","","","","","","","","","","","","",""
"1992","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1992","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1992","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1992","66 and older","general elemantary","","","","","","","","","","","","","",""
"1992","66 and older","higher education","","","","","","","","","","","","","",""
"1992","66 and older","higher vocational","","","","","","","","","","","","","",""
"1992","66 and older","in school","","","","","","","","","","","","","",""
"1992","66 and older","inadequately","","","","","","","","","","","","","",""
"1992","66 and older","middle vocational","","","","","","","","","","","","","",""
"1992","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1993","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1993","16-34 y.","higher education","","","","","","","","","","","","","",""
"1993","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1993","16-34 y.","in school","","","","","","","","","","","","","",""
"1993","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1993","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1993","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1993","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1993","35-65 y.","higher education","","","","","","","","","","","","","",""
"1993","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1993","35-65 y.","in school","","","","","","","","","","","","","",""
"1993","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1993","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1993","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1993","66 and older","general elemantary","","","","","","","","","","","","","",""
"1993","66 and older","higher education","","","","","","","","","","","","","",""
"1993","66 and older","higher vocational","","","","","","","","","","","","","",""
"1993","66 and older","in school","","","","","","","","","","","","","",""
"1993","66 and older","inadequately","","","","","","","","","","","","","",""
"1993","66 and older","middle vocational","","","","","","","","","","","","","",""
"1993","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1994","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1994","16-34 y.","higher education","","","","","","","","","","","","","",""
"1994","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1994","16-34 y.","in school","","","","","","","","","","","","","",""
"1994","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1994","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1994","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1994","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1994","35-65 y.","higher education","","","","","","","","","","","","","",""
"1994","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1994","35-65 y.","in school","","","","","","","","","","","","","",""
"1994","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1994","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1994","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1994","66 and older","general elemantary","","","","","","","","","","","","","",""
"1994","66 and older","higher education","","","","","","","","","","","","","",""
"1994","66 and older","higher vocational","","","","","","","","","","","","","",""
"1994","66 and older","in school","","","","","","","","","","","","","",""
"1994","66 and older","inadequately","","","","","","","","","","","","","",""
"1994","66 and older","middle vocational","","","","","","","","","","","","","",""
"1994","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1995","16-34 y.","general elemantary","1.26","1","912","1","1","1","2","4","1.22","1.3","1","5","1","1"
"1995","16-34 y.","higher education","1.64","1","428","1","1","2","4","5","1.55","1.73","1","5","1","1"
"1995","16-34 y.","higher vocational","1.29","1","217","1","1","1","2","4","1.21","1.37","1","5","1","1"
"1995","16-34 y.","in school","1.26","1","285","1","1","1","2","4","1.19","1.33","1","5","1","1"
"1995","16-34 y.","inadequately","1.34","1","121","1","1","1","2","5","1.21","1.47","1","5","1","1"
"1995","16-34 y.","middle vocational","1.29","1","2506","1","1","1","2","4","1.26","1.32","1","5","1","1"
"1995","16-34 y.","vocational + Abi","1.42","1","275","1","1","2","2","4","1.33","1.51","1","5","1","1"
"1995","35-65 y.","general elemantary","1.23","1","1094","1","1","1","2","5","1.19","1.27","1","5","1","1"
"1995","35-65 y.","higher education","1.39","1","1175","1","1","1","2","5","1.35","1.43","1","5","1","1"
"1995","35-65 y.","higher vocational","1.35","1","463","1","1","1","2","5","1.28","1.42","1","5","1","1"
"1995","35-65 y.","in school","","","","","","","","","","","","","",""
"1995","35-65 y.","inadequately","1.15","1","369","1","1","1","1","5","1.09","1.21","1","5","1","1"
"1995","35-65 y.","middle vocational","1.22","1","3470","1","1","1","2","4","1.2","1.24","1","5","1","1"
"1995","35-65 y.","vocational + Abi","1.42","1","178","1","1","2","2","5","1.29","1.55","1","5","1","1"
"1995","66 and older","general elemantary","1.24","1","495","1","1","1","2","5","1.17","1.31","1","5","1","1"
"1995","66 and older","higher education","1.1","1","152","1","1","1","1","5","1.01","1.19","1","5","1","1"
"1995","66 and older","higher vocational","1.11","1","84","1","1","1","1","5","0.97","1.25","1","5","1","1"
"1995","66 and older","in school","","","","","","","","","","","","","",""
"1995","66 and older","inadequately","1.12","1","38","1","1","1","1","5","0.9","1.34","1","5","1","1"
"1995","66 and older","middle vocational","1.09","1","745","1","1","1","1","5","1.05","1.13","1","5","1","1"
"1995","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1996","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1996","16-34 y.","higher education","","","","","","","","","","","","","",""
"1996","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1996","16-34 y.","in school","","","","","","","","","","","","","",""
"1996","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1996","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1996","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1996","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1996","35-65 y.","higher education","","","","","","","","","","","","","",""
"1996","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1996","35-65 y.","in school","","","","","","","","","","","","","",""
"1996","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1996","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1996","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1996","66 and older","general elemantary","","","","","","","","","","","","","",""
"1996","66 and older","higher education","","","","","","","","","","","","","",""
"1996","66 and older","higher vocational","","","","","","","","","","","","","",""
"1996","66 and older","in school","","","","","","","","","","","","","",""
"1996","66 and older","inadequately","","","","","","","","","","","","","",""
"1996","66 and older","middle vocational","","","","","","","","","","","","","",""
"1996","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1997","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1997","16-34 y.","higher education","","","","","","","","","","","","","",""
"1997","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1997","16-34 y.","in school","","","","","","","","","","","","","",""
"1997","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1997","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1997","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1997","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1997","35-65 y.","higher education","","","","","","","","","","","","","",""
"1997","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1997","35-65 y.","in school","","","","","","","","","","","","","",""
"1997","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1997","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1997","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1997","66 and older","general elemantary","","","","","","","","","","","","","",""
"1997","66 and older","higher education","","","","","","","","","","","","","",""
"1997","66 and older","higher vocational","","","","","","","","","","","","","",""
"1997","66 and older","in school","","","","","","","","","","","","","",""
"1997","66 and older","inadequately","","","","","","","","","","","","","",""
"1997","66 and older","middle vocational","","","","","","","","","","","","","",""
"1997","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1998","16-34 y.","general elemantary","1.2","1","908","1","1","1","2","4","1.16","1.24","1","5","1","1"
"1998","16-34 y.","higher education","1.55","1","444","1","1","2","2","5","1.48","1.62","1","5","1","1"
"1998","16-34 y.","higher vocational","1.37","1","243","1","1","1","2","5","1.28","1.46","1","5","1","1"
"1998","16-34 y.","in school","1.22","1","331","1","1","1","2","4","1.16","1.28","1","5","1","1"
"1998","16-34 y.","inadequately","1.19","1","87","1","1","1","2","4","1.07","1.31","1","4","1","1"
"1998","16-34 y.","middle vocational","1.28","1","2302","1","1","1","2","4","1.25","1.31","1","5","1","1"
"1998","16-34 y.","vocational + Abi","1.42","1","281","1","1","2","2","5","1.33","1.51","1","5","1","1"
"1998","35-65 y.","general elemantary","1.15","1","1067","1","1","1","1","4","1.11","1.19","1","5","1","1"
"1998","35-65 y.","higher education","1.39","1","1341","1","1","2","2","5","1.35","1.43","1","5","1","1"
"1998","35-65 y.","higher vocational","1.37","1","500","1","1","1","2","5","1.3","1.44","1","5","1","1"
"1998","35-65 y.","in school","","","","","","","","","","","","","",""
"1998","35-65 y.","inadequately","1.09","1","308","1","1","1","1","3","1.03","1.15","1","5","1","1"
"1998","35-65 y.","middle vocational","1.24","1","3836","1","1","1","2","4","1.22","1.26","1","5","1","1"
"1998","35-65 y.","vocational + Abi","1.37","1","200","1","1","2","2","4","1.26","1.48","1","5","1","1"
"1998","66 and older","general elemantary","1.19","1","565","1","1","1","1","5","1.13","1.25","1","5","1","1"
"1998","66 and older","higher education","1.13","1","187","1","1","1","1","4","1.05","1.21","1","5","1","1"
"1998","66 and older","higher vocational","1.11","1","81","1","1","1","1","3","1.02","1.2","1","4","1","1"
"1998","66 and older","in school","","","","","","","","","","","","","",""
"1998","66 and older","inadequately","1.12","1","50","1","1","1","1","2","0.89","1.35","1","5","1","1"
"1998","66 and older","middle vocational","1.07","1","879","1","1","1","1","4","1.04","1.1","1","5","1","1"
"1998","66 and older","vocational + Abi","1.14","1","31","1","1","1","1","4","0.93","1.35","1","4","1","1"
"1999","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1999","16-34 y.","higher education","","","","","","","","","","","","","",""
"1999","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1999","16-34 y.","in school","","","","","","","","","","","","","",""
"1999","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1999","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1999","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1999","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1999","35-65 y.","higher education","","","","","","","","","","","","","",""
"1999","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1999","35-65 y.","in school","","","","","","","","","","","","","",""
"1999","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1999","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1999","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1999","66 and older","general elemantary","","","","","","","","","","","","","",""
"1999","66 and older","higher education","","","","","","","","","","","","","",""
"1999","66 and older","higher vocational","","","","","","","","","","","","","",""
"1999","66 and older","in school","","","","","","","","","","","","","",""
"1999","66 and older","inadequately","","","","","","","","","","","","","",""
"1999","66 and older","middle vocational","","","","","","","","","","","","","",""
"1999","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2000","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2000","16-34 y.","higher education","","","","","","","","","","","","","",""
"2000","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2000","16-34 y.","in school","","","","","","","","","","","","","",""
"2000","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2000","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2000","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2000","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2000","35-65 y.","higher education","","","","","","","","","","","","","",""
"2000","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2000","35-65 y.","in school","","","","","","","","","","","","","",""
"2000","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2000","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2000","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2000","66 and older","general elemantary","","","","","","","","","","","","","",""
"2000","66 and older","higher education","","","","","","","","","","","","","",""
"2000","66 and older","higher vocational","","","","","","","","","","","","","",""
"2000","66 and older","in school","","","","","","","","","","","","","",""
"2000","66 and older","inadequately","","","","","","","","","","","","","",""
"2000","66 and older","middle vocational","","","","","","","","","","","","","",""
"2000","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2001","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2001","16-34 y.","higher education","","","","","","","","","","","","","",""
"2001","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2001","16-34 y.","in school","","","","","","","","","","","","","",""
"2001","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2001","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2001","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2001","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2001","35-65 y.","higher education","","","","","","","","","","","","","",""
"2001","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2001","35-65 y.","in school","","","","","","","","","","","","","",""
"2001","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2001","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2001","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2001","66 and older","general elemantary","","","","","","","","","","","","","",""
"2001","66 and older","higher education","","","","","","","","","","","","","",""
"2001","66 and older","higher vocational","","","","","","","","","","","","","",""
"2001","66 and older","in school","","","","","","","","","","","","","",""
"2001","66 and older","inadequately","","","","","","","","","","","","","",""
"2001","66 and older","middle vocational","","","","","","","","","","","","","",""
"2001","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2002","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2002","16-34 y.","higher education","","","","","","","","","","","","","",""
"2002","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2002","16-34 y.","in school","","","","","","","","","","","","","",""
"2002","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2002","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2002","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2002","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2002","35-65 y.","higher education","","","","","","","","","","","","","",""
"2002","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2002","35-65 y.","in school","","","","","","","","","","","","","",""
"2002","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2002","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2002","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2002","66 and older","general elemantary","","","","","","","","","","","","","",""
"2002","66 and older","higher education","","","","","","","","","","","","","",""
"2002","66 and older","higher vocational","","","","","","","","","","","","","",""
"2002","66 and older","in school","","","","","","","","","","","","","",""
"2002","66 and older","inadequately","","","","","","","","","","","","","",""
"2002","66 and older","middle vocational","","","","","","","","","","","","","",""
"2002","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2003","16-34 y.","general elemantary","1.2","1","983","1","1","1","2","5","1.16","1.24","1","5","1","1"
"2003","16-34 y.","higher education","1.44","1","566","1","1","2","2","4","1.38","1.5","1","5","1","1"
"2003","16-34 y.","higher vocational","1.48","1","274","1","1","2","3","4","1.38","1.58","1","5","1","1"
"2003","16-34 y.","in school","1.3","1","614","1","1","1","2","5","1.25","1.35","1","5","1","1"
"2003","16-34 y.","inadequately","1.28","1","64","1","1","1","2","4","1.09","1.47","1","5","1","1"
"2003","16-34 y.","middle vocational","1.27","1","2719","1","1","1","2","5","1.25","1.29","1","5","1","1"
"2003","16-34 y.","vocational + Abi","1.3","1","447","1","1","1","2","5","1.24","1.36","1","5","1","1"
"2003","35-65 y.","general elemantary","1.11","1","981","1","1","1","1","4","1.07","1.15","1","5","1","1"
"2003","35-65 y.","higher education","1.37","1","3214","1","1","1","2","5","1.34","1.4","1","5","1","1"
"2003","35-65 y.","higher vocational","1.25","1","1164","1","1","1","2","4","1.21","1.29","1","5","1","1"
"2003","35-65 y.","in school","","","","","","","","","","","","","",""
"2003","35-65 y.","inadequately","1.21","1","151","1","1","1","1","4","1.11","1.31","1","5","1","1"
"2003","35-65 y.","middle vocational","1.18","1","6513","1","1","1","2","5","1.17","1.19","1","5","1","1"
"2003","35-65 y.","vocational + Abi","1.29","1","613","1","1","1","2","5","1.23","1.35","1","5","1","1"
"2003","66 and older","general elemantary","1.14","1","794","1","1","1","1","5","1.1","1.18","1","5","1","1"
"2003","66 and older","higher education","1.1","1","574","1","1","1","1","5","1.06","1.14","1","5","1","1"
"2003","66 and older","higher vocational","1.09","1","249","1","1","1","1","5","1.02","1.16","1","5","1","1"
"2003","66 and older","in school","","","","","","","","","","","","","",""
"2003","66 and older","inadequately","1.18","1","54","1","1","1","1","5","0.99","1.37","1","5","1","1"
"2003","66 and older","middle vocational","1.14","1","1909","1","1","1","1","5","1.11","1.17","1","5","1","1"
"2003","66 and older","vocational + Abi","1.05","1","101","1","1","1","1","2","1.01","1.09","1","2","1","1"
"2004","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2004","16-34 y.","higher education","","","","","","","","","","","","","",""
