"year","bula_h","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Baden-Württemberg","college entrance qualification","1.58","1","177","1","1","2","3","5","1.43","1.73","1","5","1","1"
"1990","Baden-Württemberg","lower secondary degree","1.3","1","839","1","1","1","2","5","1.25","1.35","1","5","1","1"
"1990","Baden-Württemberg","no degree/no degree yet","1.36","1","210","1","1","1","2","5","1.24","1.48","1","5","1","1"
"1990","Baden-Württemberg","Other degree","1.33","1","265","1","1","1","2","5","1.24","1.42","1","5","1","1"
"1990","Baden-Württemberg","secondary school degree","1.41","1","267","1","1","2","2","5","1.31","1.51","1","5","1","1"
"1990","Bavaria","college entrance qualification","1.59","1","199","1","1","2","3","5","1.44","1.74","1","5","1","1"
"1990","Bavaria","lower secondary degree","1.34","1","808","1","1","1","2","5","1.28","1.4","1","5","1","1"
"1990","Bavaria","no degree/no degree yet","1.29","1","97","1","1","2","2","4","1.16","1.42","1","5","1","1"
"1990","Bavaria","Other degree","1.28","1","168","1","1","1","2","5","1.16","1.4","1","5","1","1"
"1990","Bavaria","secondary school degree","1.39","1","299","1","1","2","2","4","1.31","1.47","1","5","1","1"
"1990","Berlin","college entrance qualification","1.43","1","50","1","1","2","2","5","1.19","1.67","1","5","1","1"
"1990","Berlin","lower secondary degree","1.26","1","125","1","1","1","2","5","1.14","1.38","1","5","1","1"
"1990","Berlin","no degree/no degree yet","1.21","1","35","1","1","1","2","4","0.96","1.46","1","4","1","1"
"1990","Berlin","Other degree","1.21","1","42","1","1","1","2","4","1.01","1.41","1","4","1","1"
"1990","Berlin","secondary school degree","1.17","1","62","1","1","1","2","4","1.03","1.31","1","4","1","1"
"1990","Brandenburg","college entrance qualification","","","","","","","","","","","","","",""
"1990","Brandenburg","lower secondary degree","","","","","","","","","","","","","",""
"1990","Brandenburg","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Brandenburg","Other degree","","","","","","","","","","","","","",""
"1990","Brandenburg","secondary school degree","","","","","","","","","","","","","",""
"1990","Bremen","college entrance qualification","","","","","","","","","","","","","",""
"1990","Bremen","lower secondary degree","1.3","1","56","1","1","1","2","5","1.03","1.57","1","5","1","1"
"1990","Bremen","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Bremen","Other degree","","","","","","","","","","","","","",""
"1990","Bremen","secondary school degree","","","","","","","","","","","","","",""
"1990","Hamburg","college entrance qualification","","","","","","","","","","","","","",""
"1990","Hamburg","lower secondary degree","1.16","1","75","1","1","1","2","3","1.07","1.25","1","3","1","1"
"1990","Hamburg","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Hamburg","Other degree","","","","","","","","","","","","","",""
"1990","Hamburg","secondary school degree","1.5","1","36","1","1","2","2","4","1.23","1.77","1","4","1","2"
"1990","Hesse","college entrance qualification","1.48","1","136","1","1","2","3","5","1.32","1.64","1","5","1","1"
"1990","Hesse","lower secondary degree","1.26","1","414","1","1","1","2","4","1.19","1.33","1","5","1","1"
"1990","Hesse","no degree/no degree yet","1.62","1","107","1","1","2","4","5","1.44","1.8","1","5","1","1"
"1990","Hesse","Other degree","1.32","1","134","1","1","1","2","4","1.19","1.45","1","5","1","1"
"1990","Hesse","secondary school degree","1.33","1","169","1","1","1","2","4","1.2","1.46","1","5","1","1"
"1990","Lower Saxony","college entrance qualification","1.58","1","130","1","1","2","3","4","1.42","1.74","1","4","1","1"
"1990","Lower Saxony","lower secondary degree","1.25","1","503","1","1","1","2","5","1.19","1.31","1","5","1","1"
"1990","Lower Saxony","no degree/no degree yet","1.16","1","56","1","1","1","2","2","1.02","1.3","1","4","1","1"
"1990","Lower Saxony","Other degree","1.14","1","58","1","1","1","1","5","0.96","1.32","1","5","1","1"
"1990","Lower Saxony","secondary school degree","1.37","1","216","1","1","2","2","4","1.27","1.47","1","4","1","1"
"1990","Mecklenburg-Western Pomerania","college entrance qualification","","","","","","","","","","","","","",""
"1990","Mecklenburg-Western Pomerania","lower secondary degree","","","","","","","","","","","","","",""
"1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Mecklenburg-Western Pomerania","Other degree","","","","","","","","","","","","","",""
"1990","Mecklenburg-Western Pomerania","secondary school degree","","","","","","","","","","","","","",""
"1990","North Rhine-Westphalia","college entrance qualification","1.5","1","373","1","1","2","2","5","1.41","1.59","1","5","1","1"
"1990","North Rhine-Westphalia","lower secondary degree","1.21","1","1151","1","1","1","2","4","1.17","1.25","1","5","1","1"
"1990","North Rhine-Westphalia","no degree/no degree yet","1.35","1","263","1","1","1","2","4","1.25","1.45","1","5","1","1"
"1990","North Rhine-Westphalia","Other degree","1.28","1","255","1","1","1","2","5","1.19","1.37","1","5","1","1"
"1990","North Rhine-Westphalia","secondary school degree","1.37","1","455","1","1","1","2","5","1.3","1.44","1","5","1","1"
"1990","Rhineland-Palatinate,Saarland","college entrance qualification","1.68","1","72","1","1","2","4","4","1.49","1.87","1","4","1","2"
"1990","Rhineland-Palatinate,Saarland","lower secondary degree","1.2","1","409","1","1","1","2","4","1.14","1.26","1","5","1","1"
"1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","1.14","1","42","1","1","1","2","3","1.01","1.27","1","3","1","1"
"1990","Rhineland-Palatinate,Saarland","Other degree","1.23","1","42","1","1","1","2","5","1.01","1.45","1","5","1","1"
"1990","Rhineland-Palatinate,Saarland","secondary school degree","1.51","1","90","1","1","2","2","5","1.33","1.69","1","5","1","1"
"1990","Saxony","college entrance qualification","","","","","","","","","","","","","",""
"1990","Saxony","lower secondary degree","","","","","","","","","","","","","",""
"1990","Saxony","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Saxony","Other degree","","","","","","","","","","","","","",""
"1990","Saxony","secondary school degree","","","","","","","","","","","","","",""
"1990","Saxony-Anhalt","college entrance qualification","","","","","","","","","","","","","",""
