"plh0189","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","Schleswig-Holstein","Urban Area","","","",""
"True entirely","1990","Schleswig-Holstein","Rural Area","","","",""
"True entirely","1990","Hamburg","Urban Area","","","",""
"True entirely","1990","Hamburg","Rural Area","","","",""
"True entirely","1990","Lower Saxony","Urban Area","","","",""
"True entirely","1990","Lower Saxony","Rural Area","","","",""
"True entirely","1990","Bremen","Urban Area","","","",""
"True entirely","1990","Bremen","Rural Area","","","",""
"True entirely","1990","North Rhine-Westphalia","Urban Area","","","",""
"True entirely","1990","North Rhine-Westphalia","Rural Area","","","",""
"True entirely","1990","Hesse","Urban Area","","","",""
"True entirely","1990","Hesse","Rural Area","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"True entirely","1990","Baden-Württemberg","Urban Area","","","",""
"True entirely","1990","Baden-Württemberg","Rural Area","","","",""
"True entirely","1990","Bavaria","Urban Area","","","",""
"True entirely","1990","Bavaria","Rural Area","","","",""
"True entirely","1990","Berlin","Urban Area","40","0.182330846267534","0.137185414374101","0.227476278160967"
"True entirely","1990","Berlin","Rural Area","","","",""
"True entirely","1990","Brandenburg","Urban Area","9","","",""
"True entirely","1990","Brandenburg","Rural Area","71","0.108026074382199","0.0842175830117645","0.131834565752633"
"True entirely","1990","Mecklenburg-Western Pomerania","Urban Area","3","","",""
"True entirely","1990","Mecklenburg-Western Pomerania","Rural Area","16","","",""
"True entirely","1990","Saxony","Urban Area","64","0.0969651654622064","0.0749655134160572","0.118964817508356"
"True entirely","1990","Saxony","Rural Area","54","0.0843656132839384","0.0623456717748301","0.106385554793047"
"True entirely","1990","Saxony-Anhalt","Urban Area","22","","",""
"True entirely","1990","Saxony-Anhalt","Rural Area","42","0.0726757773864499","0.0512508586140957","0.0941006961588042"
"True entirely","1990","Thuringia","Urban Area","13","","",""
"True entirely","1990","Thuringia","Rural Area","42","0.0960891188552355","0.0706358016896498","0.121542436020821"
"Tends to agree","1990","Schleswig-Holstein","Urban Area","","","",""
"Tends to agree","1990","Schleswig-Holstein","Rural Area","","","",""
"Tends to agree","1990","Hamburg","Urban Area","","","",""
"Tends to agree","1990","Hamburg","Rural Area","","","",""
"Tends to agree","1990","Lower Saxony","Urban Area","","","",""
"Tends to agree","1990","Lower Saxony","Rural Area","","","",""
"Tends to agree","1990","Bremen","Urban Area","","","",""
"Tends to agree","1990","Bremen","Rural Area","","","",""
"Tends to agree","1990","North Rhine-Westphalia","Urban Area","","","",""
"Tends to agree","1990","North Rhine-Westphalia","Rural Area","","","",""
"Tends to agree","1990","Hesse","Urban Area","","","",""
"Tends to agree","1990","Hesse","Rural Area","","","",""
"Tends to agree","1990","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Tends to agree","1990","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Tends to agree","1990","Baden-Württemberg","Urban Area","","","",""
"Tends to agree","1990","Baden-Württemberg","Rural Area","","","",""
"Tends to agree","1990","Bavaria","Urban Area","","","",""
"Tends to agree","1990","Bavaria","Rural Area","","","",""
"Tends to agree","1990","Berlin","Urban Area","26","","",""
"Tends to agree","1990","Berlin","Rural Area","","","",""
"Tends to agree","1990","Brandenburg","Urban Area","6","","",""
"Tends to agree","1990","Brandenburg","Rural Area","51","0.0874578814635725","0.0657899508522528","0.109125812074892"
"Tends to agree","1990","Mecklenburg-Western Pomerania","Urban Area","7","","",""
"Tends to agree","1990","Mecklenburg-Western Pomerania","Rural Area","37","0.0856465000662329","0.0597043357743619","0.111588664358104"
"Tends to agree","1990","Saxony","Urban Area","72","0.115305363933685","0.0915600923449116","0.139050635522458"
"Tends to agree","1990","Saxony","Rural Area","55","0.117434663393803","0.0919285687594541","0.142940758028152"
"Tends to agree","1990","Saxony-Anhalt","Urban Area","25","","",""
"Tends to agree","1990","Saxony-Anhalt","Rural Area","52","0.0959649365557543","0.071656475394486","0.120273397717023"
"Tends to agree","1990","Thuringia","Urban Area","21","","",""
"Tends to agree","1990","Thuringia","Rural Area","39","0.0755577185164825","0.0527320348217691","0.098383402211196"
"Rather not true","1990","Schleswig-Holstein","Urban Area","","","",""
"Rather not true","1990","Schleswig-Holstein","Rural Area","","","",""
"Rather not true","1990","Hamburg","Urban Area","","","",""
"Rather not true","1990","Hamburg","Rural Area","","","",""
"Rather not true","1990","Lower Saxony","Urban Area","","","",""
"Rather not true","1990","Lower Saxony","Rural Area","","","",""
"Rather not true","1990","Bremen","Urban Area","","","",""
"Rather not true","1990","Bremen","Rural Area","","","",""
"Rather not true","1990","North Rhine-Westphalia","Urban Area","","","",""
"Rather not true","1990","North Rhine-Westphalia","Rural Area","","","",""
"Rather not true","1990","Hesse","Urban Area","","","",""
"Rather not true","1990","Hesse","Rural Area","","","",""
"Rather not true","1990","Rhineland-Palatinate,Saarland","Urban Area","","","",""
