"plh0189","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1992","Employed","Female","977","0.301539196151096","0.286035546657374","0.317042845644818","3"
"Rather not true","1992","Not Employed","Male","302","0.267227736750204","0.241381092006907","0.2930743814935","3"
"Rather not true","1992","Not Employed","Female","662","0.263502115667238","0.24590677600963","0.281097455324846","3"
"Rather not true","1992","Employed","Male","1106","0.282607269712615","0.268806297351561","0.296408242073669","3"
"Tends to agree","1992","Not Employed","Male","127","0.127240384461855","0.10777608833545","0.146704680588261","2"
"Tends to agree","1992","Employed","Male","265","0.0725414823935496","0.0645912468486993","0.0804917179383998","2"
"Tends to agree","1992","Not Employed","Female","390","0.1891047904522","0.173464187818713","0.204745393085687","2"
"Tends to agree","1992","Employed","Female","374","0.12204714842532","0.110988795392668","0.133105501457972","2"
"Totally disagree","1992","Not Employed","Male","620","0.531974202026111","0.502829536346618","0.561118867705605","4"
"Totally disagree","1992","Not Employed","Female","1110","0.425920398546515","0.406170260862","0.44567053623103","4"
"Totally disagree","1992","Employed","Male","2466","0.578118269423446","0.562981149830595","0.593255389016298","4"
"Totally disagree","1992","Employed","Female","1757","0.497727558495851","0.480836512128301","0.5146186048634","4"
"True entirely","1992","Not Employed","Male","77","0.0735576767618295","0.0583100556625067","0.0888052978611523","1"
"True entirely","1992","Not Employed","Female","246","0.121472695334047","0.108424909616144","0.134520481051951","1"
"True entirely","1992","Employed","Male","252","0.066732978470389","0.0590838359994915","0.0743821209412865","1"
"True entirely","1992","Employed","Female","258","0.0786860969277334","0.0695902352065926","0.0877819586488741","1"
"Rather not true","1993","Not Employed","Male","396","0.268945163220148","0.246161505851513","0.291728820588783","3"
"Rather not true","1993","Employed","Female","1054","0.300212124642959","0.285631292512104","0.314792956773813","3"
"Rather not true","1993","Not Employed","Female","817","0.273803121135114","0.257709377055042","0.289896865215186","3"
"Rather not true","1993","Employed","Male","1370","0.289852396152288","0.27714531511743","0.302559477187146","3"
"Tends to agree","1993","Not Employed","Male","185","0.13891979888007","0.121148446880216","0.156691150879924","2"
"Tends to agree","1993","Not Employed","Female","481","0.180328948361177","0.166452982316825","0.194204914405528","2"
"Tends to agree","1993","Employed","Male","445","0.101226898792751","0.0927788573030724","0.109674940282429","2"
"Tends to agree","1993","Employed","Female","535","0.145758511129557","0.134533357821469","0.156983664437645","2"
"Totally disagree","1993","Not Employed","Male","752","0.492849189914185","0.467160486797258","0.518537893031112","4"
"Totally disagree","1993","Not Employed","Female","1348","0.413272811236872","0.395500364192532","0.431045258281211","4"
"Totally disagree","1993","Employed","Female","1939","0.482920288605205","0.467023790458013","0.498816786752398","4"
"Totally disagree","1993","Employed","Male","2791","0.543865858695064","0.529915825937689","0.557815891452439","4"
"True entirely","1993","Not Employed","Female","303","0.132595119266837","0.12035500690272","0.144835231630954","1"
"True entirely","1993","Not Employed","Male","122","0.0992858479855968","0.0839200980097909","0.114651597961403","1"
"True entirely","1993","Employed","Male","291","0.0650548463598972","0.058147425239776","0.0719622674800184","1"
"True entirely","1993","Employed","Female","268","0.0711090756222791","0.0629332830299398","0.0792848682146184","1"
"Rather not true","1994","Employed","Female","","","","","3"
"Rather not true","1994","Not Employed","Male","","","","","3"
"Rather not true","1994","Not Employed","Female","","","","","3"
"Rather not true","1994","Employed","Male","","","","","3"
"Tends to agree","1994","Not Employed","Male","","","","","2"
"Tends to agree","1994","Not Employed","Female","","","","","2"
"Tends to agree","1994","Employed","Male","","","","","2"
"Tends to agree","1994","Employed","Female","","","","","2"
"Totally disagree","1994","Not Employed","Male","","","","","4"
"Totally disagree","1994","Not Employed","Female","","","","","4"
"Totally disagree","1994","Employed","Male","","","","","4"
"Totally disagree","1994","Employed","Female","","","","","4"
"True entirely","1994","Not Employed","Female","","","","","1"
"True entirely","1994","Not Employed","Male","","","","","1"
"True entirely","1994","Employed","Male","","","","","1"
"True entirely","1994","Employed","Female","","","","","1"
"Rather not true","1995","Employed","Female","1263","0.354368087957808","0.33898073541591","0.369755440499706","3"
"Rather not true","1995","Not Employed","Male","471","0.295787325732244","0.2735490796663","0.318025571798188","3"
"Rather not true","1995","Not Employed","Female","956","0.287501549788717","0.271778317564501","0.303224782012933","3"
"Rather not true","1995","Employed","Male","1566","0.348901063122805","0.335385158766593","0.362416967479016","3"
"Tends to agree","1995","Not Employed","Male","203","0.14077662080365","0.123830232898292","0.157723008709008","2"
"Tends to agree","1995","Not Employed","Female","567","0.197710126257928","0.183874147589021","0.211546104926835","2"
"Tends to agree","1995","Employed","Male","430","0.0962441090895751","0.0878807042592784","0.104607513919872","2"
"Tends to agree","1995","Employed","Female","493","0.151811521144762","0.1402678842459","0.163355158043624","2"
"Totally disagree","1995","Not Employed","Female","1321","0.374526273436335","0.35771210273441","0.39134044413826","4"
"Totally disagree","1995","Not Employed","Male","823","0.475593334066134","0.451259484795821","0.499927183336448","4"
"Totally disagree","1995","Employed","Male","2559","0.497659948417332","0.483481271113408","0.511838625721256","4"
"Totally disagree","1995","Employed","Female","1713","0.424162027369313","0.408263380964675","0.440060673773951","4"
"True entirely","1995","Employed","Female","243","0.0696583635281167","0.0614689656832475","0.0778477613729859","1"
"True entirely","1995","Not Employed","Female","339","0.14026205051702","0.128198284307976","0.152325816726065","1"
"True entirely","1995","Not Employed","Male","121","0.087842719397971","0.0740501053779621","0.10163533341798","1"
"True entirely","1995","Employed","Male","222","0.0571948793702879","0.0506098152086171","0.0637799435319586","1"
"Rather not true","1996","Not Employed","Male","516","0.317165380652564","0.294211417494426","0.340119343810701","3"
"Rather not true","1996","Not Employed","Female","964","0.308085727567135","0.291745686738506","0.324425768395763","3"
"Rather not true","1996","Employed","Male","1517","0.33879988937538","0.325291633406563","0.352308145344197","3"
