"plh0189","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","in school","Urban Area","","","",""
"True entirely","1990","in school","Rural Area","1","","",""
"True entirely","1990","inadequately","Urban Area","1","","",""
"True entirely","1990","inadequately","Rural Area","","","",""
"True entirely","1990","general elemantary","Urban Area","28","","",""
"True entirely","1990","general elemantary","Rural Area","36","0.0999112909167892","0.0682675015084698","0.131555080325109"
"True entirely","1990","middle vocational","Urban Area","82","0.11025064480381","0.0889815013545077","0.131519788253112"
"True entirely","1990","middle vocational","Rural Area","138","0.0857620477058437","0.0721810338401949","0.0993430615714925"
"True entirely","1990","vocational + Abi","Urban Area","4","","",""
"True entirely","1990","vocational + Abi","Rural Area","3","","",""
"True entirely","1990","higher vocational","Urban Area","6","","",""
"True entirely","1990","higher vocational","Rural Area","5","","",""
"True entirely","1990","higher education","Urban Area","28","","",""
"True entirely","1990","higher education","Rural Area","41","0.0703114351132231","0.0493039684233551","0.0913189018030911"
"Tends to agree","1990","in school","Urban Area","2","","",""
"Tends to agree","1990","in school","Rural Area","2","","",""
"Tends to agree","1990","inadequately","Urban Area","","","",""
"Tends to agree","1990","inadequately","Rural Area","","","",""
"Tends to agree","1990","general elemantary","Urban Area","26","","",""
"Tends to agree","1990","general elemantary","Rural Area","50","0.153384764917845","0.115359460833753","0.191410069001937"
"Tends to agree","1990","middle vocational","Urban Area","81","0.111238947361529","0.0898865554093066","0.132591339313752"
"Tends to agree","1990","middle vocational","Rural Area","134","0.0891493660765672","0.0753284219655212","0.102970310187613"
"Tends to agree","1990","vocational + Abi","Urban Area","5","","",""
"Tends to agree","1990","vocational + Abi","Rural Area","2","","",""
"Tends to agree","1990","higher vocational","Urban Area","1","","",""
"Tends to agree","1990","higher vocational","Rural Area","5","","",""
"Tends to agree","1990","higher education","Urban Area","42","0.127520902101755","0.0949549506008264","0.160086853602684"
"Tends to agree","1990","higher education","Rural Area","40","0.08121675736561","0.0587716693048472","0.103661845426373"
"Rather not true","1990","in school","Urban Area","1","","",""
"Rather not true","1990","in school","Rural Area","5","","",""
"Rather not true","1990","inadequately","Urban Area","1","","",""
"Rather not true","1990","inadequately","Rural Area","2","","",""
"Rather not true","1990","general elemantary","Urban Area","47","0.269713917037595","0.201159831292956","0.338268002782233"
"Rather not true","1990","general elemantary","Rural Area","75","0.22871997331941","0.184400291711385","0.273039654927435"
"Rather not true","1990","middle vocational","Urban Area","162","0.195113220409896","0.168201817653989","0.222024623165804"
