"plh0189","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","16-34 y.","Urban Area","139","0.244290728385536","0.209323197938609","0.279258258832462","3"
"Rather not true","1990","16-34 y.","Rural Area","244","0.221091210037993","0.196214767208825","0.245967652867161","3"
"Rather not true","1990","35-65 y.","Urban Area","155","0.191795474076166","0.164698706865969","0.218892241286363","3"
"Rather not true","1990","35-65 y.","Rural Area","246","0.172013306374918","0.152507614991354","0.191518997758482","3"
"Rather not true","1990","66 and older","Urban Area","29","","","","3"
"Rather not true","1990","66 and older","Rural Area","58","0.201923382251099","0.155235462844853","0.248611301657344","3"
"Tends to agree","1990","16-34 y.","Urban Area","55","0.100104652407274","0.0756783781800815","0.124530926634466","2"
"Tends to agree","1990","35-65 y.","Urban Area","72","0.101330149813717","0.0805615560242083","0.122098743603226","2"
"Tends to agree","1990","35-65 y.","Rural Area","106","0.0808858035023071","0.0667932550353114","0.0949783519693029","2"
"Tends to agree","1990","66 and older","Urban Area","30","0.206092532245259","0.140025786353282","0.272159278137237","2"
"Tends to agree","1990","16-34 y.","Rural Area","86","0.0842621104800184","0.0676103177430619","0.100913903216975","2"
"Tends to agree","1990","66 and older","Rural Area","42","0.152389328543796","0.110590471484471","0.19418818560312","2"
"Totally disagree","1990","16-34 y.","Urban Area","340","0.575906096269637","0.535686199930173","0.616125992609101","4"
"Totally disagree","1990","16-34 y.","Rural Area","653","0.616542615726005","0.587395247910044","0.645689983541965","4"
"Totally disagree","1990","35-65 y.","Urban Area","503","0.592495445016578","0.558677562921716","0.62631332711144","4"
"Totally disagree","1990","66 and older","Urban Area","61","0.380868961830064","0.301555679308254","0.460182244351873","4"
"Totally disagree","1990","35-65 y.","Rural Area","976","0.66924286224945","0.644925574465128","0.693560150033772","4"
"Totally disagree","1990","66 and older","Rural Area","155","0.547561204537485","0.489673653775898","0.605448755299071","4"
"True entirely","1990","16-34 y.","Urban Area","46","0.0796985229375537","0.0576578784208213","0.101739167454286","1"
"True entirely","1990","16-34 y.","Rural Area","86","0.0781040637559834","0.0620184734154995","0.0941896540964673","1"
"True entirely","1990","35-65 y.","Urban Area","81","0.114378931093539","0.0924743652035268","0.136283496983551","1"
