"plh0189","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","no migration background","in school","1","","",""
"True entirely","1990","no migration background","inadequately","1","","",""
"True entirely","1990","no migration background","general elemantary","63","0.152659575158844","0.121039646592862","0.184279503724825"
"True entirely","1990","no migration background","middle vocational","221","0.0948180616514984","0.0832104042201205","0.106425719082876"
"True entirely","1990","no migration background","vocational + Abi","7","","",""
"True entirely","1990","no migration background","higher vocational","9","","",""
"True entirely","1990","no migration background","higher education","69","0.0724132880708823","0.0559759003811568","0.0888506757606077"
"True entirely","1990","direct migration background","in school","","","",""
"True entirely","1990","direct migration background","inadequately","","","",""
"True entirely","1990","direct migration background","general elemantary","2","","",""
"True entirely","1990","direct migration background","middle vocational","4","","",""
"True entirely","1990","direct migration background","vocational + Abi","","","",""
"True entirely","1990","direct migration background","higher vocational","2","","",""
"True entirely","1990","direct migration background","higher education","2","","",""
"True entirely","1990","indirect migration background","in school","","","",""
"True entirely","1990","indirect migration background","inadequately","","","",""
"True entirely","1990","indirect migration background","general elemantary","","","",""
"True entirely","1990","indirect migration background","middle vocational","","","",""
"True entirely","1990","indirect migration background","vocational + Abi","","","",""
"True entirely","1990","indirect migration background","higher vocational","","","",""
"True entirely","1990","indirect migration background","higher education","","","",""
"Tends to agree","1990","no migration background","in school","4","","",""
"Tends to agree","1990","no migration background","inadequately","","","",""
"Tends to agree","1990","no migration background","general elemantary","71","0.154513530868994","0.122736999734814","0.186290062003175"
"Tends to agree","1990","no migration background","middle vocational","208","0.0941264621554436","0.0825567977768453","0.105696126534042"
"Tends to agree","1990","no migration background","vocational + Abi","7","","",""
"Tends to agree","1990","no migration background","higher vocational","6","","",""
"Tends to agree","1990","no migration background","higher education","81","0.103444349062787","0.0841296290534764","0.122759069072097"
"Tends to agree","1990","direct migration background","in school","","","",""
"Tends to agree","1990","direct migration background","inadequately","","","",""
"Tends to agree","1990","direct migration background","general elemantary","5","","",""
"Tends to agree","1990","direct migration background","middle vocational","9","","",""
"Tends to agree","1990","direct migration background","vocational + Abi","1","","",""
"Tends to agree","1990","direct migration background","higher vocational","","","",""
"Tends to agree","1990","direct migration background","higher education","3","","",""
"Tends to agree","1990","indirect migration background","in school","","","",""
"Tends to agree","1990","indirect migration background","inadequately","","","",""
"Tends to agree","1990","indirect migration background","general elemantary","","","",""
"Tends to agree","1990","indirect migration background","middle vocational","","","",""
"Tends to agree","1990","indirect migration background","vocational + Abi","","","",""
"Tends to agree","1990","indirect migration background","higher vocational","","","",""
"Tends to agree","1990","indirect migration background","higher education","","","",""
"Rather not true","1990","no migration background","in school","6","","",""
"Rather not true","1990","no migration background","inadequately","3","","",""
"Rather not true","1990","no migration background","general elemantary","120","0.241160033961101","0.203550525035571","0.27876954288663"
"Rather not true","1990","no migration background","middle vocational","468","0.192144265563434","0.176533948425153","0.207754582701715"
"Rather not true","1990","no migration background","vocational + Abi","24","","",""
"Rather not true","1990","no migration background","higher vocational","43","0.165520719990997","0.119172444830295","0.211868995151699"
"Rather not true","1990","no migration background","higher education","193","0.196146215424458","0.170962204323808","0.221330226525108"
"Rather not true","1990","direct migration background","in school","","","",""
"Rather not true","1990","direct migration background","inadequately","","","",""
"Rather not true","1990","direct migration background","general elemantary","5","","",""
"Rather not true","1990","direct migration background","middle vocational","15","","",""
"Rather not true","1990","direct migration background","vocational + Abi","","","",""
"Rather not true","1990","direct migration background","higher vocational","","","",""
"Rather not true","1990","direct migration background","higher education","8","","",""
"Rather not true","1990","indirect migration background","in school","","","",""
"Rather not true","1990","indirect migration background","inadequately","","","",""
"Rather not true","1990","indirect migration background","general elemantary","","","",""
"Rather not true","1990","indirect migration background","middle vocational","1","","",""
"Rather not true","1990","indirect migration background","vocational + Abi","","","",""
"Rather not true","1990","indirect migration background","higher vocational","","","",""
"Rather not true","1990","indirect migration background","higher education","","","",""
"Totally disagree","1990","no migration background","in school","19","","",""
"Totally disagree","1990","no migration background","inadequately","4","","",""
"Totally disagree","1990","no migration background","general elemantary","243","0.451666860011061","0.407914522853914","0.495419197168208"
"Totally disagree","1990","no migration background","middle vocational","1550","0.618911210629624","0.599668849206826","0.638153572052422"
"Totally disagree","1990","no migration background","vocational + Abi","39","0.522583676562262","0.4110183398759","0.634149013248624"
"Totally disagree","1990","no migration background","higher vocational","189","0.761346244425738","0.708187482722353","0.814505006129122"
"Totally disagree","1990","no migration background","higher education","612","0.627996147441873","0.597341338496587","0.65865095638716"
"Totally disagree","1990","direct migration background","in school","1","","",""
"Totally disagree","1990","direct migration background","inadequately","3","","",""
"Totally disagree","1990","direct migration background","general elemantary","6","","",""
"Totally disagree","1990","direct migration background","middle vocational","42","0.551633802384227","0.435129775132042","0.668137829636411"
"Totally disagree","1990","direct migration background","vocational + Abi","2","","",""
"Totally disagree","1990","direct migration background","higher vocational","9","","",""
"Totally disagree","1990","direct migration background","higher education","23","","",""
"Totally disagree","1990","indirect migration background","in school","","","",""
"Totally disagree","1990","indirect migration background","inadequately","","","",""
"Totally disagree","1990","indirect migration background","general elemantary","","","",""
"Totally disagree","1990","indirect migration background","middle vocational","1","","",""
"Totally disagree","1990","indirect migration background","vocational + Abi","","","",""
"Totally disagree","1990","indirect migration background","higher vocational","","","",""
"Totally disagree","1990","indirect migration background","higher education","","","",""
"True entirely","1991","no migration background","in school","1","","",""
"True entirely","1991","no migration background","inadequately","2","","",""
"True entirely","1991","no migration background","general elemantary","49","0.132270937325735","0.100651576718403","0.163890297933068"
"True entirely","1991","no migration background","middle vocational","191","0.0837296900508115","0.0724124290808745","0.0950469510207484"
"True entirely","1991","no migration background","vocational + Abi","6","","",""
"True entirely","1991","no migration background","higher vocational","18","","",""
"True entirely","1991","no migration background","higher education","51","0.0562309718064711","0.0413288741359263","0.0711330694770158"
"True entirely","1991","direct migration background","in school","","","",""
"True entirely","1991","direct migration background","inadequately","","","",""
"True entirely","1991","direct migration background","general elemantary","2","","",""
"True entirely","1991","direct migration background","middle vocational","6","","",""
"True entirely","1991","direct migration background","vocational + Abi","1","","",""
"True entirely","1991","direct migration background","higher vocational","","","",""
"True entirely","1991","direct migration background","higher education","2","","",""
"True entirely","1991","indirect migration background","in school","","","",""
"True entirely","1991","indirect migration background","inadequately","","","",""
"True entirely","1991","indirect migration background","general elemantary","","","",""
"True entirely","1991","indirect migration background","middle vocational","","","",""
"True entirely","1991","indirect migration background","vocational + Abi","","","",""
"True entirely","1991","indirect migration background","higher vocational","","","",""
"True entirely","1991","indirect migration background","higher education","","","",""
"Tends to agree","1991","no migration background","in school","1","","",""
"Tends to agree","1991","no migration background","inadequately","1","","",""
"Tends to agree","1991","no migration background","general elemantary","68","0.179317163146455","0.14351350502081","0.215120821272099"
"Tends to agree","1991","no migration background","middle vocational","201","0.102320567800009","0.089937396241481","0.114703739358537"
"Tends to agree","1991","no migration background","vocational + Abi","7","","",""
"Tends to agree","1991","no migration background","higher vocational","11","","",""
"Tends to agree","1991","no migration background","higher education","67","0.0888545949223103","0.0704485473251038","0.107260642519517"
"Tends to agree","1991","direct migration background","in school","","","",""
"Tends to agree","1991","direct migration background","inadequately","1","","",""
"Tends to agree","1991","direct migration background","general elemantary","4","","",""
"Tends to agree","1991","direct migration background","middle vocational","13","","",""
"Tends to agree","1991","direct migration background","vocational + Abi","1","","",""
"Tends to agree","1991","direct migration background","higher vocational","","","",""
"Tends to agree","1991","direct migration background","higher education","7","","",""
"Tends to agree","1991","indirect migration background","in school","","","",""
"Tends to agree","1991","indirect migration background","inadequately","","","",""
"Tends to agree","1991","indirect migration background","general elemantary","","","",""
"Tends to agree","1991","indirect migration background","middle vocational","","","",""
"Tends to agree","1991","indirect migration background","vocational + Abi","","","",""
"Tends to agree","1991","indirect migration background","higher vocational","","","",""
"Tends to agree","1991","indirect migration background","higher education","","","",""
"Rather not true","1991","no migration background","in school","3","","",""
"Rather not true","1991","no migration background","inadequately","11","","",""
"Rather not true","1991","no migration background","general elemantary","117","0.272820299352214","0.231249534954136","0.314391063750292"
"Rather not true","1991","no migration background","middle vocational","538","0.245866870795438","0.228272902762376","0.263460838828501"
"Rather not true","1991","no migration background","vocational + Abi","14","","",""
"Rather not true","1991","no migration background","higher vocational","57","0.24260610099791","0.186719765734027","0.298492436261793"
"Rather not true","1991","no migration background","higher education","223","0.260615035211143","0.232218732873361","0.289011337548925"
"Rather not true","1991","direct migration background","in school","1","","",""
"Rather not true","1991","direct migration background","inadequately","","","",""
"Rather not true","1991","direct migration background","general elemantary","4","","",""
"Rather not true","1991","direct migration background","middle vocational","19","","",""
"Rather not true","1991","direct migration background","vocational + Abi","1","","",""
"Rather not true","1991","direct migration background","higher vocational","2","","",""
"Rather not true","1991","direct migration background","higher education","8","","",""
"Rather not true","1991","indirect migration background","in school","","","",""
"Rather not true","1991","indirect migration background","inadequately","","","",""
"Rather not true","1991","indirect migration background","general elemantary","","","",""
"Rather not true","1991","indirect migration background","middle vocational","1","","",""
"Rather not true","1991","indirect migration background","vocational + Abi","","","",""
"Rather not true","1991","indirect migration background","higher vocational","","","",""
"Rather not true","1991","indirect migration background","higher education","","","",""
"Totally disagree","1991","no migration background","in school","6","","",""
"Totally disagree","1991","no migration background","inadequately","22","","",""
"Totally disagree","1991","no migration background","general elemantary","207","0.415591600175596","0.369595564557456","0.461587635793736"
"Totally disagree","1991","no migration background","middle vocational","1371","0.568082871353742","0.547843554815042","0.588322187892441"
"Totally disagree","1991","no migration background","vocational + Abi","43","0.601057326934437","0.48634442525193","0.715770228616944"
"Totally disagree","1991","no migration background","higher vocational","140","0.621915781467056","0.558695862452242","0.685135700481871"
"Totally disagree","1991","no migration background","higher education","577","0.594299398060075","0.562535614968917","0.626063181151234"
"Totally disagree","1991","direct migration background","in school","","","",""
"Totally disagree","1991","direct migration background","inadequately","2","","",""
"Totally disagree","1991","direct migration background","general elemantary","8","","",""
"Totally disagree","1991","direct migration background","middle vocational","31","0.437574652346414","0.320521782340543","0.554627522352285"
