"plh0189","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1992","Bremen","Employed","7","","","","3"
"Rather not true","1992","Lower Saxony","Not Employed","79","0.236989350323146","0.189728926550632","0.284249774095661","3"
"Rather not true","1992","Hamburg","Not Employed","9","","","","3"
"Rather not true","1992","Bremen","Not Employed","7","","","","3"
"Rather not true","1992","Schleswig-Holstein","Employed","45","0.310458683824848","0.23761963017171","0.383297737477986","3"
"Rather not true","1992","Hamburg","Employed","16","","","","3"
"Rather not true","1992","North Rhine-Westphalia","Not Employed","189","0.271265609203975","0.238469090831949","0.304062127576002","3"
"Rather not true","1992","North Rhine-Westphalia","Employed","330","0.286774788586007","0.261046757080696","0.312502820091319","3"
"Rather not true","1992","Schleswig-Holstein","Not Employed","20","","","","3"
"Rather not true","1992","Lower Saxony","Employed","153","0.304452339147201","0.265201022028322","0.34370365626608","3"
"Rather not true","1992","Hesse","Not Employed","61","0.249537562488555","0.194674305696201","0.304400819280909","3"
"Rather not true","1992","Hesse","Employed","121","0.303962141695868","0.259814628760757","0.348109654630979","3"
"Rather not true","1992","Rhineland-Palatinate,Saarland","Not Employed","58","0.265651068573296","0.205913786268385","0.325388350878207","3"
"Rather not true","1992","Rhineland-Palatinate,Saarland","Employed","67","0.204382098325025","0.16107095241966","0.24769324423039","3"
"Rather not true","1992","Baden-Württemberg","Not Employed","103","0.267051532638686","0.22050175491724","0.313601310360131","3"
"Rather not true","1992","Baden-Württemberg","Employed","273","0.348520906140228","0.314732627203658","0.382309185076799","3"
"Rather not true","1992","Bavaria","Not Employed","118","0.271823745811621","0.230015166009121","0.31363232561412","3"
"Rather not true","1992","Bavaria","Employed","276","0.316873528413848","0.286028447629131","0.347718609198565","3"
"Rather not true","1992","Berlin","Not Employed","29","","","","3"
"Rather not true","1992","Berlin","Employed","84","0.255963566887832","0.211376350541079","0.300550783234585","3"
"Rather not true","1992","Brandenburg","Not Employed","51","0.294136216334617","0.227198207347681","0.361074225321552","3"
"Rather not true","1992","Mecklenburg-Western Pomerania","Employed","82","0.261492959252952","0.213117424378391","0.309868494127513","3"
"Rather not true","1992","Mecklenburg-Western Pomerania","Not Employed","28","","","","3"
