"plh0189","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","no migration background","(0) in school","","","",""
"True entirely","1990","no migration background","(1a) inadequately completed","2","","",""
"True entirely","1990","no migration background","(1b) general elementary school","51","0.184889883488318","0.142289111862947","0.227490655113689"
"True entirely","1990","no migration background","(1c) basic vocational qualification","118","0.0980734948404061","0.0817227810522579","0.114424208628554"
"True entirely","1990","no migration background","(2b) intermediate general qualification","12","","",""
"True entirely","1990","no migration background","(2a) intermediate vocational","106","0.0783106546933286","0.0640688001892535","0.0925525091974037"
"True entirely","1990","no migration background","(2c_gen) general maturity certificate","4","","",""
"True entirely","1990","no migration background","(2c_voc) vocational maturity certificate","7","","",""
"True entirely","1990","no migration background","(3a) lower tertiary education","48","0.0705886572224641","0.0506666692817981","0.0905106451631301"
"True entirely","1990","no migration background","(3b) higher tertiary education","21","","",""
"True entirely","1990","direct migration background","(0) in school","","","",""
"True entirely","1990","direct migration background","(1a) inadequately completed","","","",""
"True entirely","1990","direct migration background","(1b) general elementary school","2","","",""
"True entirely","1990","direct migration background","(1c) basic vocational qualification","5","","",""
"True entirely","1990","direct migration background","(2b) intermediate general qualification","","","",""
"True entirely","1990","direct migration background","(2a) intermediate vocational","1","","",""
"True entirely","1990","direct migration background","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","direct migration background","(3a) lower tertiary education","2","","",""
"True entirely","1990","direct migration background","(3b) higher tertiary education","","","",""
"True entirely","1990","indirect migration background","(0) in school","","","",""
"True entirely","1990","indirect migration background","(1a) inadequately completed","","","",""
"True entirely","1990","indirect migration background","(1b) general elementary school","","","",""
"True entirely","1990","indirect migration background","(1c) basic vocational qualification","","","",""
"True entirely","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"True entirely","1990","indirect migration background","(2a) intermediate vocational","","","",""
"True entirely","1990","indirect migration background","(2c_gen) general maturity certificate","","","",""
"True entirely","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"True entirely","1990","indirect migration background","(3a) lower tertiary education","","","",""
"True entirely","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Tends to agree","1990","no migration background","(0) in school","","","",""
"Tends to agree","1990","no migration background","(1a) inadequately completed","5","","",""
"Tends to agree","1990","no migration background","(1b) general elementary school","52","0.175222795294033","0.133505477642056","0.21694011294601"
"Tends to agree","1990","no migration background","(1c) basic vocational qualification","115","0.101826290859818","0.0852003800199881","0.118452201699648"
"Tends to agree","1990","no migration background","(2b) intermediate general qualification","19","","",""
"Tends to agree","1990","no migration background","(2a) intermediate vocational","92","0.0721414732576449","0.0584264288266164","0.0858565176886734"
"Tends to agree","1990","no migration background","(2c_gen) general maturity certificate","4","","",""
"Tends to agree","1990","no migration background","(2c_voc) vocational maturity certificate","7","","",""
"Tends to agree","1990","no migration background","(3a) lower tertiary education","56","0.109185611042081","0.0849285855545624","0.133442636529599"
"Tends to agree","1990","no migration background","(3b) higher tertiary education","25","","",""
"Tends to agree","1990","direct migration background","(0) in school","","","",""
"Tends to agree","1990","direct migration background","(1a) inadequately completed","","","",""
"Tends to agree","1990","direct migration background","(1b) general elementary school","2","","",""
"Tends to agree","1990","direct migration background","(1c) basic vocational qualification","7","","",""
"Tends to agree","1990","direct migration background","(2b) intermediate general qualification","3","","",""
"Tends to agree","1990","direct migration background","(2a) intermediate vocational","2","","",""
"Tends to agree","1990","direct migration background","(2c_gen) general maturity certificate","","","",""
"Tends to agree","1990","direct migration background","(2c_voc) vocational maturity certificate","1","","",""
"Tends to agree","1990","direct migration background","(3a) lower tertiary education","","","",""
