"plh0189","year","regtyp","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","Urban Area","151","0.117130931286973","0.101043828005447","0.133218034568499"
"True entirely","1990","Rural Area","225","0.0811671540200397","0.0710355877869546","0.0912987202531248"
"Tends to agree","1990","Urban Area","157","0.117140403691254","0.101052736242997","0.13322807113951"
"Tends to agree","1990","Rural Area","234","0.093434856175242","0.082637382795711","0.104232329554773"
"Rather not true","1990","Urban Area","323","0.211789378876435","0.191350026509815","0.232228731243055"
"Rather not true","1990","Rural Area","548","0.193886645044207","0.179219682639137","0.208553607449278"
"Totally disagree","1990","Urban Area","904","0.553939286145338","0.529072367578139","0.578806204712537"
"Totally disagree","1990","Rural Area","1784","0.631511344760511","0.613614733198918","0.649407956322103"
"True entirely","1991","Urban Area","123","0.0967505554171653","0.0812432633373659","0.112257847496965"
"True entirely","1991","Rural Area","203","0.0776149629608447","0.0674754977438455","0.0877544281778439"
"Tends to agree","1991","Urban Area","136","0.117232702874175","0.100357348993031","0.134108056755318"
"Tends to agree","1991","Rural Area","235","0.102831838516969","0.0913215310540938","0.114342145979844"
"Rather not true","1991","Urban Area","349","0.26170053325778","0.238642409646702","0.284758656868859"
"Rather not true","1991","Rural Area","638","0.247798502526227","0.231437774187948","0.264159230864506"
"Totally disagree","1991","Urban Area","788","0.52431620845088","0.498118626934649","0.550513789967111"
"Totally disagree","1991","Rural Area","1599","0.571754695995959","0.553003137343494","0.590506254648424"
"True entirely","1992","Urban Area","501","0.084042049312115","0.0774079517232462","0.0906761469009837"
"True entirely","1992","Rural Area","320","0.0869002956701578","0.0783321045200657","0.09546848682025"
"Tends to agree","1992","Urban Area","690","0.117694823804567","0.109989624698788","0.125400022910347"
"Tends to agree","1992","Rural Area","458","0.134424815360082","0.12404925547351","0.144800375246653"
"Rather not true","1992","Urban Area","1831","0.275244946562014","0.264565442785358","0.28592445033867"
"Rather not true","1992","Rural Area","1192","0.293673365573203","0.279820025663202","0.307526705483204"
"Totally disagree","1992","Urban Area","3697","0.523018180321303","0.511075410109964","0.534960950532642"
"Totally disagree","1992","Rural Area","2182","0.485001523396558","0.469799760932727","0.500203285860388"
"True entirely","1993","Urban Area","629","0.0836452157904136","0.0778326648226891","0.0894577667581382"
"True entirely","1993","Rural Area","355","0.100342726630066","0.0914467547567966","0.109238698503335"
"Tends to agree","1993","Urban Area","1094","0.135679770992458","0.128490095563263","0.142869446421652"
"Tends to agree","1993","Rural Area","552","0.14441382203839","0.134006280200149","0.154821363876632"
"Rather not true","1993","Urban Area","2412","0.284622298808711","0.275148665827489","0.294095931789932"
"Rather not true","1993","Rural Area","1225","0.287882350459309","0.274476471334923","0.301288229583695"
"Totally disagree","1993","Urban Area","4580","0.496052714408418","0.485555577399292","0.506549851417544"
"Totally disagree","1993","Rural Area","2250","0.467361100872235","0.452588579539265","0.482133622205205"
"True entirely","1994","Urban Area","","","",""
"True entirely","1994","Rural Area","","","",""
"Tends to agree","1994","Urban Area","","","",""
"Tends to agree","1994","Rural Area","","","",""
"Rather not true","1994","Urban Area","","","",""
"Rather not true","1994","Rural Area","","","",""
"Totally disagree","1994","Urban Area","","","",""
"Totally disagree","1994","Rural Area","","","",""
"True entirely","1995","Urban Area","624","0.0878055700795852","0.0819039107694734","0.093707229389697"
"True entirely","1995","Rural Area","301","0.0872748239628641","0.0789879638894985","0.0955616840362297"
"Tends to agree","1995","Urban Area","1177","0.149563337933194","0.142126249335879","0.15700042653051"
"Tends to agree","1995","Rural Area","516","0.132520397962124","0.122565277916327","0.142475518007922"
"Rather not true","1995","Urban Area","2711","0.316186926647969","0.306490537252236","0.325883316043702"
"Rather not true","1995","Rural Area","1545","0.347185121994704","0.333206927637067","0.361163316352341"
"Totally disagree","1995","Urban Area","4322","0.446444165339252","0.436077628731749","0.456810701946755"
"Totally disagree","1995","Rural Area","2094","0.433019656080308","0.418471320612532","0.447567991548083"
"True entirely","1996","Urban Area","540","0.0733047490242448","0.0678140961060274","0.0787954019424621"
"True entirely","1996","Rural Area","281","0.0797362572950604","0.0717558241191182","0.0877166904710025"
"Tends to agree","1996","Urban Area","1101","0.140710074352804","0.133384833252537","0.148035315453071"
"Tends to agree","1996","Rural Area","538","0.147893350527761","0.137434988112935","0.158351712942588"
"Rather not true","1996","Urban Area","2759","0.32709479655567","0.317211468111236","0.336978125000103"
"Rather not true","1996","Rural Area","1556","0.348447843079328","0.334410469115927","0.362485217042729"
"Totally disagree","1996","Urban Area","4256","0.458890380067282","0.448392863436292","0.469387896698272"
"Totally disagree","1996","Rural Area","2051","0.42392254909785","0.409363732225355","0.438481365970346"
"True entirely","1997","Urban Area","544","0.0817993258376211","0.0759697371772255","0.0876289144980167"
"True entirely","1997","Rural Area","280","0.0897596926563414","0.0812615906464259","0.098257794666257"
"Tends to agree","1997","Urban Area","1007","0.136704215991747","0.129396780164209","0.144011651819284"
"Tends to agree","1997","Rural Area","471","0.125444798485192","0.115597362354792","0.135292234615591"
"Rather not true","1997","Urban Area","2536","0.297169886020369","0.287448642434634","0.306891129606105"
"Rather not true","1997","Rural Area","1447","0.326742825392295","0.312798524188061","0.34068712659653"
"Totally disagree","1997","Urban Area","4403","0.484326572150263","0.473696143646039","0.494957000654487"
"Totally disagree","1997","Rural Area","2148","0.458052683466172","0.443239804270799","0.472865562661544"
"True entirely","1998","Urban Area","","","",""
