"plb0196_h","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Not Employed","1-pers.-HH","","","",""
"Yes","1986","Not Employed","(Married) couple without C. ","","","",""
"Yes","1986","Not Employed","Single parent ","","","",""
"Yes","1986","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","1986","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","1986","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","1986","Employed","1-pers.-HH","","","",""
"Yes","1986","Employed","(Married) couple without C. ","","","",""
"Yes","1986","Employed","Single parent ","","","",""
"Yes","1986","Employed","Couple + C. LE 16 ","","","",""
"Yes","1986","Employed","Couple + C. GT 16 ","","","",""
"Yes","1986","Employed","Couple + C. LE and GT 16","","","",""
"No","1986","Not Employed","1-pers.-HH","8","","",""
"No","1986","Not Employed","(Married) couple without C. ","13","","",""
"No","1986","Not Employed","Single parent ","12","","",""
"No","1986","Not Employed","Couple + C. LE 16 ","31","1","1","1"
"No","1986","Not Employed","Couple + C. GT 16 ","20","","",""
"No","1986","Not Employed","Couple + C. LE and GT 16","25","","",""
"No","1986","Employed","1-pers.-HH","321","1","1","1"
"No","1986","Employed","(Married) couple without C. ","849","1","1","1"
"No","1986","Employed","Single parent ","209","1","1","1"
"No","1986","Employed","Couple + C. LE 16 ","1078","1","1","1"
"No","1986","Employed","Couple + C. GT 16 ","913","1","1","1"
"No","1986","Employed","Couple + C. LE and GT 16","606","1","1","1"
"Yes","1987","Not Employed","1-pers.-HH","","","",""
"Yes","1987","Not Employed","(Married) couple without C. ","","","",""
"Yes","1987","Not Employed","Single parent ","","","",""
"Yes","1987","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","1987","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","1987","Employed","1-pers.-HH","","","",""
"Yes","1987","Employed","(Married) couple without C. ","","","",""
"Yes","1987","Employed","Single parent ","","","",""
"Yes","1987","Employed","Couple + C. LE 16 ","","","",""
"Yes","1987","Employed","Couple + C. GT 16 ","","","",""
"Yes","1987","Employed","Couple + C. LE and GT 16","","","",""
"No","1987","Not Employed","1-pers.-HH","","","",""
"No","1987","Not Employed","(Married) couple without C. ","","","",""
"No","1987","Not Employed","Single parent ","","","",""
"No","1987","Not Employed","Couple + C. LE 16 ","","","",""
"No","1987","Not Employed","Couple + C. GT 16 ","","","",""
"No","1987","Not Employed","Couple + C. LE and GT 16","","","",""
"No","1987","Employed","1-pers.-HH","","","",""
"No","1987","Employed","(Married) couple without C. ","","","",""
"No","1987","Employed","Single parent ","","","",""
"No","1987","Employed","Couple + C. LE 16 ","","","",""
"No","1987","Employed","Couple + C. GT 16 ","","","",""
"No","1987","Employed","Couple + C. LE and GT 16","","","",""
"Yes","1988","Not Employed","1-pers.-HH","","","",""
"Yes","1988","Not Employed","(Married) couple without C. ","","","",""
"Yes","1988","Not Employed","Single parent ","","","",""
"Yes","1988","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","1988","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","1988","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","1988","Employed","1-pers.-HH","","","",""
"Yes","1988","Employed","(Married) couple without C. ","","","",""
"Yes","1988","Employed","Single parent ","","","",""
"Yes","1988","Employed","Couple + C. LE 16 ","","","",""
"Yes","1988","Employed","Couple + C. GT 16 ","","","",""
"Yes","1988","Employed","Couple + C. LE and GT 16","","","",""
"No","1988","Not Employed","1-pers.-HH","6","","",""
"No","1988","Not Employed","(Married) couple without C. ","13","","",""
"No","1988","Not Employed","Single parent ","7","","",""
"No","1988","Not Employed","Couple + C. LE 16 ","23","","",""
"No","1988","Not Employed","Couple + C. GT 16 ","19","","",""
"No","1988","Not Employed","Couple + C. LE and GT 16","10","","",""
"No","1988","Employed","1-pers.-HH","324","1","1","1"
"No","1988","Employed","(Married) couple without C. ","780","1","1","1"
"No","1988","Employed","Single parent ","207","1","1","1"
"No","1988","Employed","Couple + C. LE 16 ","956","1","1","1"
"No","1988","Employed","Couple + C. GT 16 ","941","1","1","1"
"No","1988","Employed","Couple + C. LE and GT 16","496","1","1","1"
"Yes","1989","Not Employed","1-pers.-HH","","","",""
"Yes","1989","Not Employed","(Married) couple without C. ","","","",""
"Yes","1989","Not Employed","Single parent ","","","",""
"Yes","1989","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","1989","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","1989","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","1989","Employed","1-pers.-HH","","","",""
"Yes","1989","Employed","(Married) couple without C. ","","","",""
"Yes","1989","Employed","Single parent ","","","",""
"Yes","1989","Employed","Couple + C. LE 16 ","","","",""
"Yes","1989","Employed","Couple + C. GT 16 ","","","",""
"Yes","1989","Employed","Couple + C. LE and GT 16","","","",""
"No","1989","Not Employed","1-pers.-HH","9","","",""
"No","1989","Not Employed","(Married) couple without C. ","10","","",""
"No","1989","Not Employed","Single parent ","10","","",""
"No","1989","Not Employed","Couple + C. LE 16 ","20","","",""
"No","1989","Not Employed","Couple + C. GT 16 ","24","","",""
"No","1989","Not Employed","Couple + C. LE and GT 16","9","","",""
"No","1989","Employed","1-pers.-HH","309","1","1","1"
