"plb0196_h","year","n","percent","lower_confidence","upper_confidence"
"Yes","1986","","","",""
"No","1986","4330","1","1","1"
"Yes","1987","","","",""
"No","1987","","","",""
"Yes","1988","","","",""
"No","1988","4027","1","1","1"
"Yes","1989","","","",""
"No","1989","3856","1","1","1"
"Yes","1990","","","",""
"No","1990","3714","1","1","1"
"Yes","1991","","","",""
"No","1991","5661","1","1","1"
"Yes","1992","","","",""
"No","1992","5038","1","1","1"
"Yes","1993","","","",""
"No","1993","4963","1","1","1"
"Yes","1994","","","",""
"No","1994","4604","1","1","1"
"Yes","1995","","","",""
"No","1995","4600","1","1","1"
"Yes","1996","","","",""
"No","1996","4465","1","1","1"
"Yes","1997","","","",""
"No","1997","1426","1","1","1"
"Yes","1998","","","",""
"No","1998","1505","1","1","1"
"Yes","1999","","","",""
"No","1999","1413","1","1","1"
"Yes","2000","","","",""
"No","2000","2522","1","1","1"
"Yes","2001","","","",""
"No","2001","2359","1","1","1"
"Yes","2002","5612","0.69244684556082","0.682304558152496","0.702589132969144"
"No","2002","2341","0.30755315443918","0.297410867030856","0.317695441847504"
"Yes","2003","5317","0.69688217142468","0.686535541735483","0.707228801113877"
"No","2003","2263","0.30311782857532","0.292771198886123","0.313464458264517"
"Yes","2004","5182","0.699908328930524","0.689393705747831","0.710422952113218"
"No","2004","2116","0.300091671069476","0.289577047886782","0.310606294252169"
"Yes","2005","4812","0.699375829070868","0.68845093435991","0.710300723781826"
"No","2005","1955","0.300624170929132","0.289699276218174","0.31154906564009"
"Yes","2006","5455","0.722410281242666","0.712252525959751","0.73256803652558"
"No","2006","2011","0.277589718757334","0.26743196347442","0.287747474040249"
"Yes","2007","5156","0.743907594843339","0.73365119519497","0.754163994491709"
"No","2007","1801","0.256092405156661","0.245836005508291","0.26634880480503"
"Yes","2008","4975","0.720901423269846","0.710272113884118","0.731530732655574"
"No","2008","1866","0.279098576730154","0.268469267344427","0.289727886115882"
"Yes","2009","4292","0.706369396415495","0.694895386316052","0.717843406514938"
"No","2009","1760","0.293630603584505","0.282156593485062","0.305104613683948"
"Yes","2010","5785","0.680532651801583","0.67054482038599","0.690520483217175"
"No","2010","2587","0.319467348198417","0.309479516782825","0.32945517961401"
"Yes","2011","7510","0.741107102154541","0.73258140956091","0.749632794748172"
"No","2011","2630","0.258892897845459","0.250367205251828","0.26741859043909"
"Yes","2012","7427","0.716085109167006","0.707400097271324","0.724770121062688"
"No","2012","2927","0.283914890832994","0.275229878937312","0.292599902728675"
"Yes","2013","7983","0.726291976008377","0.717962968217672","0.734620983799081"
"No","2013","3025","0.273708023991623","0.265379016200919","0.282037031782328"
"Yes","2014","7190","0.729468597869841","0.720754354237629","0.738182841502054"
"No","2014","2793","0.270531402130159","0.261817158497946","0.279245645762371"
"Yes","2015","7279","0.763390028837029","0.754855888676238","0.771924168997819"
"No","2015","2248","0.236609971162971","0.228075831002181","0.245144111323762"
"Yes","2016","6896","0.763316932780579","0.754560809631438","0.77207305592972"
"No","2016","2156","0.236683067219421","0.22792694407028","0.245439190368562"
"Yes","2017","7431","0.761794610026096","0.753358962155617","0.770230257896575"
"No","2017","2365","0.238205389973904","0.229769742103425","0.246641037844383"
"Yes","2018","7517","0.750893639744334","0.742518035937011","0.759269243551656"
"No","2018","2726","0.249106360255666","0.240730756448344","0.257481964062989"
"Yes","2019","7046","0.768051334165738","0.759467102460074","0.776635565871403"
"No","2019","2241","0.231948665834262","0.223364434128597","0.240532897539926"
