"plb0196_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1986","lower secondary degree","1-pers.-HH","","","",""
"Yes","1986","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","1986","lower secondary degree","Single parent ","","","",""
"Yes","1986","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","1986","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","1986","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","1986","secondary school degree","1-pers.-HH","","","",""
"Yes","1986","secondary school degree","(Married) couple without C. ","","","",""
"Yes","1986","secondary school degree","Single parent ","","","",""
"Yes","1986","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","1986","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","1986","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","1986","college entrance qualification","1-pers.-HH","","","",""
"Yes","1986","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","1986","college entrance qualification","Single parent ","","","",""
"Yes","1986","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","1986","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","1986","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","1986","Other degree","1-pers.-HH","","","",""
"Yes","1986","Other degree","(Married) couple without C. ","","","",""
"Yes","1986","Other degree","Single parent ","","","",""
"Yes","1986","Other degree","Couple + C. LE 16 ","","","",""
"Yes","1986","Other degree","Couple + C. GT 16 ","","","",""
"Yes","1986","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","1986","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","1986","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","1986","no degree/no degree yet","Single parent ","","","",""
"Yes","1986","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","1986","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","1986","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"No","1986","lower secondary degree","1-pers.-HH","116","1","1","1"
"No","1986","lower secondary degree","(Married) couple without C. ","423","1","1","1"
"No","1986","lower secondary degree","Single parent ","121","1","1","1"
"No","1986","lower secondary degree","Couple + C. LE 16 ","442","1","1","1"
"No","1986","lower secondary degree","Couple + C. GT 16 ","491","1","1","1"
"No","1986","lower secondary degree","Couple + C. LE and GT 16","293","1","1","1"
"No","1986","secondary school degree","1-pers.-HH","62","1","1","1"
"No","1986","secondary school degree","(Married) couple without C. ","183","1","1","1"
"No","1986","secondary school degree","Single parent ","33","1","1","1"
"No","1986","secondary school degree","Couple + C. LE 16 ","164","1","1","1"
"No","1986","secondary school degree","Couple + C. GT 16 ","161","1","1","1"
"No","1986","secondary school degree","Couple + C. LE and GT 16","102","1","1","1"
"No","1986","college entrance qualification","1-pers.-HH","76","1","1","1"
"No","1986","college entrance qualification","(Married) couple without C. ","103","1","1","1"
"No","1986","college entrance qualification","Single parent ","21","","",""
"No","1986","college entrance qualification","Couple + C. LE 16 ","120","1","1","1"
"No","1986","college entrance qualification","Couple + C. GT 16 ","92","1","1","1"
"No","1986","college entrance qualification","Couple + C. LE and GT 16","22","","",""
"No","1986","Other degree","1-pers.-HH","41","1","1","1"
"No","1986","Other degree","(Married) couple without C. ","92","1","1","1"
"No","1986","Other degree","Single parent ","21","","",""
"No","1986","Other degree","Couple + C. LE 16 ","246","1","1","1"
"No","1986","Other degree","Couple + C. GT 16 ","102","1","1","1"
"No","1986","Other degree","Couple + C. LE and GT 16","118","1","1","1"
"No","1986","no degree/no degree yet","1-pers.-HH","29","","",""
"No","1986","no degree/no degree yet","(Married) couple without C. ","48","1","1","1"
"No","1986","no degree/no degree yet","Single parent ","23","","",""
"No","1986","no degree/no degree yet","Couple + C. LE 16 ","120","1","1","1"
"No","1986","no degree/no degree yet","Couple + C. GT 16 ","73","1","1","1"
"No","1986","no degree/no degree yet","Couple + C. LE and GT 16","79","1","1","1"
"Yes","1987","lower secondary degree","1-pers.-HH","","","",""
"Yes","1987","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","1987","lower secondary degree","Single parent ","","","",""
"Yes","1987","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","1987","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","1987","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","1987","secondary school degree","1-pers.-HH","","","",""
"Yes","1987","secondary school degree","(Married) couple without C. ","","","",""
"Yes","1987","secondary school degree","Single parent ","","","",""
"Yes","1987","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","1987","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","1987","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","1987","college entrance qualification","1-pers.-HH","","","",""
"Yes","1987","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","1987","college entrance qualification","Single parent ","","","",""
"Yes","1987","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","1987","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","1987","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","1987","Other degree","1-pers.-HH","","","",""
"Yes","1987","Other degree","(Married) couple without C. ","","","",""
"Yes","1987","Other degree","Single parent ","","","",""
"Yes","1987","Other degree","Couple + C. LE 16 ","","","",""
"Yes","1987","Other degree","Couple + C. GT 16 ","","","",""
"Yes","1987","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","1987","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","1987","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","1987","no degree/no degree yet","Single parent ","","","",""
"Yes","1987","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","1987","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","1987","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"No","1987","lower secondary degree","1-pers.-HH","","","",""
