"plb0196_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","no migration background","(0) in school","","","",""
"Yes","1986","no migration background","(1a) inadequately completed","","","",""
"Yes","1986","no migration background","(1b) general elementary school","","","",""
"Yes","1986","no migration background","(1c) basic vocational qualification","","","",""
"Yes","1986","no migration background","(2b) intermediate general qualification","","","",""
"Yes","1986","no migration background","(2a) intermediate vocational","","","",""
"Yes","1986","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1986","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","no migration background","(3a) lower tertiary education","","","",""
"Yes","1986","no migration background","(3b) higher tertiary education","","","",""
"Yes","1986","direct migration background","(0) in school","","","",""
"Yes","1986","direct migration background","(1a) inadequately completed","","","",""
"Yes","1986","direct migration background","(1b) general elementary school","","","",""
"Yes","1986","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1986","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1986","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1986","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1986","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1986","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1986","indirect migration background","(0) in school","","","",""
"Yes","1986","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1986","indirect migration background","(1b) general elementary school","","","",""
"Yes","1986","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1986","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1986","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1986","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1986","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1986","indirect migration background","(3b) higher tertiary education","","","",""
"No","1986","no migration background","(0) in school","4","","",""
"No","1986","no migration background","(1a) inadequately completed","12","","",""
"No","1986","no migration background","(1b) general elementary school","496","1","1","1"
"No","1986","no migration background","(1c) basic vocational qualification","1194","1","1","1"
"No","1986","no migration background","(2b) intermediate general qualification","141","1","1","1"
"No","1986","no migration background","(2a) intermediate vocational","499","1","1","1"
"No","1986","no migration background","(2c_gen) general maturity certificate","79","1","1","1"
"No","1986","no migration background","(2c_voc) vocational maturity certificate","100","1","1","1"
"No","1986","no migration background","(3a) lower tertiary education","89","1","1","1"
"No","1986","no migration background","(3b) higher tertiary education","178","1","1","1"
"No","1986","direct migration background","(0) in school","1","","",""
"No","1986","direct migration background","(1a) inadequately completed","375","1","1","1"
"No","1986","direct migration background","(1b) general elementary school","439","1","1","1"
"No","1986","direct migration background","(1c) basic vocational qualification","360","1","1","1"
"No","1986","direct migration background","(2b) intermediate general qualification","25","","",""
"No","1986","direct migration background","(2a) intermediate vocational","36","1","1","1"
"No","1986","direct migration background","(2c_gen) general maturity certificate","49","1","1","1"
"No","1986","direct migration background","(2c_voc) vocational maturity certificate","63","1","1","1"
