"plb0196_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1986","lower secondary degree","Male","","","",""
"Yes","1986","lower secondary degree","Female","","","",""
"Yes","1986","secondary school degree","Male","","","",""
"Yes","1986","secondary school degree","Female","","","",""
"Yes","1986","college entrance qualification","Male","","","",""
"Yes","1986","college entrance qualification","Female","","","",""
"Yes","1986","Other degree","Male","","","",""
"Yes","1986","Other degree","Female","","","",""
"Yes","1986","no degree/no degree yet","Male","","","",""
"Yes","1986","no degree/no degree yet","Female","","","",""
"No","1986","lower secondary degree","Male","1142","1","1","1"
"No","1986","lower secondary degree","Female","865","1","1","1"
"No","1986","secondary school degree","Male","349","1","1","1"
"No","1986","secondary school degree","Female","394","1","1","1"
"No","1986","college entrance qualification","Male","272","1","1","1"
"No","1986","college entrance qualification","Female","190","1","1","1"
"No","1986","Other degree","Male","431","1","1","1"
"No","1986","Other degree","Female","220","1","1","1"
"No","1986","no degree/no degree yet","Male","212","1","1","1"
"No","1986","no degree/no degree yet","Female","183","1","1","1"
"Yes","1987","lower secondary degree","Male","","","",""
"Yes","1987","lower secondary degree","Female","","","",""
"Yes","1987","secondary school degree","Male","","","",""
"Yes","1987","secondary school degree","Female","","","",""
"Yes","1987","college entrance qualification","Male","","","",""
"Yes","1987","college entrance qualification","Female","","","",""
"Yes","1987","Other degree","Male","","","",""
"Yes","1987","Other degree","Female","","","",""
"Yes","1987","no degree/no degree yet","Male","","","",""
"Yes","1987","no degree/no degree yet","Female","","","",""
"No","1987","lower secondary degree","Male","","","",""
"No","1987","lower secondary degree","Female","","","",""
"No","1987","secondary school degree","Male","","","",""
"No","1987","secondary school degree","Female","","","",""
"No","1987","college entrance qualification","Male","","","",""
"No","1987","college entrance qualification","Female","","","",""
"No","1987","Other degree","Male","","","",""
"No","1987","Other degree","Female","","","",""
"No","1987","no degree/no degree yet","Male","","","",""
"No","1987","no degree/no degree yet","Female","","","",""
"Yes","1988","lower secondary degree","Male","","","",""
"Yes","1988","lower secondary degree","Female","","","",""
"Yes","1988","secondary school degree","Male","","","",""
"Yes","1988","secondary school degree","Female","","","",""
"Yes","1988","college entrance qualification","Male","","","",""
"Yes","1988","college entrance qualification","Female","","","",""
"Yes","1988","Other degree","Male","","","",""
"Yes","1988","Other degree","Female","","","",""
"Yes","1988","no degree/no degree yet","Male","","","",""
"Yes","1988","no degree/no degree yet","Female","","","",""
"No","1988","lower secondary degree","Male","1070","1","1","1"
"No","1988","lower secondary degree","Female","773","1","1","1"
"No","1988","secondary school degree","Male","351","1","1","1"
"No","1988","secondary school degree","Female","397","1","1","1"
"No","1988","college entrance qualification","Male","262","1","1","1"
"No","1988","college entrance qualification","Female","179","1","1","1"
"No","1988","Other degree","Male","383","1","1","1"
"No","1988","Other degree","Female","194","1","1","1"
"No","1988","no degree/no degree yet","Male","168","1","1","1"
"No","1988","no degree/no degree yet","Female","156","1","1","1"
"Yes","1989","lower secondary degree","Male","","","",""
"Yes","1989","lower secondary degree","Female","","","",""
"Yes","1989","secondary school degree","Male","","","",""
"Yes","1989","secondary school degree","Female","","","",""
"Yes","1989","college entrance qualification","Male","","","",""
"Yes","1989","college entrance qualification","Female","","","",""
"Yes","1989","Other degree","Male","","","",""
"Yes","1989","Other degree","Female","","","",""
"Yes","1989","no degree/no degree yet","Male","","","",""
"Yes","1989","no degree/no degree yet","Female","","","",""
"No","1989","lower secondary degree","Male","1011","1","1","1"
"No","1989","lower secondary degree","Female","767","1","1","1"
"No","1989","secondary school degree","Male","317","1","1","1"
"No","1989","secondary school degree","Female","380","1","1","1"
"No","1989","college entrance qualification","Male","270","1","1","1"
"No","1989","college entrance qualification","Female","171","1","1","1"
"No","1989","Other degree","Male","356","1","1","1"
"No","1989","Other degree","Female","190","1","1","1"
"No","1989","no degree/no degree yet","Male","166","1","1","1"
"No","1989","no degree/no degree yet","Female","141","1","1","1"
"Yes","1990","lower secondary degree","Male","","","",""
"Yes","1990","lower secondary degree","Female","","","",""
"Yes","1990","secondary school degree","Male","","","",""
"Yes","1990","secondary school degree","Female","","","",""
"Yes","1990","college entrance qualification","Male","","","",""
"Yes","1990","college entrance qualification","Female","","","",""
"Yes","1990","Other degree","Male","","","",""
"Yes","1990","Other degree","Female","","","",""
"Yes","1990","no degree/no degree yet","Male","","","",""
"Yes","1990","no degree/no degree yet","Female","","","",""
"No","1990","lower secondary degree","Male","941","1","1","1"
"No","1990","lower secondary degree","Female","744","1","1","1"
"No","1990","secondary school degree","Male","297","1","1","1"
"No","1990","secondary school degree","Female","389","1","1","1"
"No","1990","college entrance qualification","Male","241","1","1","1"
"No","1990","college entrance qualification","Female","179","1","1","1"
"No","1990","Other degree","Male","337","1","1","1"
"No","1990","Other degree","Female","186","1","1","1"
"No","1990","no degree/no degree yet","Male","157","1","1","1"
"No","1990","no degree/no degree yet","Female","140","1","1","1"
"Yes","1991","lower secondary degree","Male","","","",""
"Yes","1991","lower secondary degree","Female","","","",""
"Yes","1991","secondary school degree","Male","","","",""
"Yes","1991","secondary school degree","Female","","","",""
"Yes","1991","college entrance qualification","Male","","","",""
"Yes","1991","college entrance qualification","Female","","","",""
"Yes","1991","Other degree","Male","","","",""
"Yes","1991","Other degree","Female","","","",""
"Yes","1991","no degree/no degree yet","Male","","","",""
"Yes","1991","no degree/no degree yet","Female","","","",""
