"plb0196_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1986","no migration background","West Germany","2819","1","1","1","2"
"No","1986","no migration background","East Germany","","","","","2"
"No","1986","direct migration background","East Germany","","","","","2"
"No","1986","direct migration background","West Germany","1441","1","1","1","2"
"No","1986","indirect migration background","West Germany","70","1","1","1","2"
"No","1986","indirect migration background","East Germany","","","","","2"
"Yes","1986","no migration background","West Germany","","","","","1"
"Yes","1986","no migration background","East Germany","","","","","1"
"Yes","1986","direct migration background","West Germany","","","","","1"
"Yes","1986","direct migration background","East Germany","","","","","1"
"Yes","1986","indirect migration background","West Germany","","","","","1"
"Yes","1986","indirect migration background","East Germany","","","","","1"
"No","1987","no migration background","West Germany","","","","","2"
"No","1987","no migration background","East Germany","","","","","2"
"No","1987","direct migration background","East Germany","","","","","2"
"No","1987","direct migration background","West Germany","","","","","2"
"No","1987","indirect migration background","West Germany","","","","","2"
"No","1987","indirect migration background","East Germany","","","","","2"
"Yes","1987","no migration background","West Germany","","","","","1"
"Yes","1987","no migration background","East Germany","","","","","1"
"Yes","1987","direct migration background","West Germany","","","","","1"
"Yes","1987","direct migration background","East Germany","","","","","1"
"Yes","1987","indirect migration background","West Germany","","","","","1"
"Yes","1987","indirect migration background","East Germany","","","","","1"
"No","1988","no migration background","West Germany","2647","1","1","1","2"
"No","1988","no migration background","East Germany","","","","","2"
"No","1988","direct migration background","West Germany","1291","1","1","1","2"
"No","1988","direct migration background","East Germany","","","","","2"
"No","1988","indirect migration background","West Germany","89","1","1","1","2"
"No","1988","indirect migration background","East Germany","","","","","2"
"Yes","1988","no migration background","West Germany","","","","","1"
"Yes","1988","no migration background","East Germany","","","","","1"
"Yes","1988","direct migration background","West Germany","","","","","1"
"Yes","1988","direct migration background","East Germany","","","","","1"
"Yes","1988","indirect migration background","West Germany","","","","","1"
"Yes","1988","indirect migration background","East Germany","","","","","1"
"No","1989","no migration background","West Germany","2535","1","1","1","2"
"No","1989","no migration background","East Germany","","","","","2"
"No","1989","direct migration background","West Germany","1223","1","1","1","2"
"No","1989","direct migration background","East Germany","","","","","2"
"No","1989","indirect migration background","West Germany","98","1","1","1","2"
"No","1989","indirect migration background","East Germany","","","","","2"
"Yes","1989","no migration background","West Germany","","","","","1"
"Yes","1989","no migration background","East Germany","","","","","1"
"Yes","1989","direct migration background","West Germany","","","","","1"
"Yes","1989","direct migration background","East Germany","","","","","1"
"Yes","1989","indirect migration background","West Germany","","","","","1"
"Yes","1989","indirect migration background","East Germany","","","","","1"
"No","1990","no migration background","West Germany","2399","1","1","1","2"
"No","1990","no migration background","East Germany","","","","","2"
"No","1990","direct migration background","West Germany","1197","1","1","1","2"
"No","1990","direct migration background","East Germany","","","","","2"
"No","1990","indirect migration background","West Germany","118","1","1","1","2"
"No","1990","indirect migration background","East Germany","","","","","2"
"Yes","1990","no migration background","West Germany","","","","","1"
"Yes","1990","no migration background","East Germany","","","","","1"
"Yes","1990","direct migration background","West Germany","","","","","1"
"Yes","1990","direct migration background","East Germany","","","","","1"
"Yes","1990","indirect migration background","West Germany","","","","","1"
"Yes","1990","indirect migration background","East Germany","","","","","1"
"No","1991","no migration background","West Germany","2349","1","1","1","2"
"No","1991","no migration background","East Germany","1918","1","1","1","2"
"No","1991","direct migration background","West Germany","1190","1","1","1","2"
"No","1991","direct migration background","East Germany","56","1","1","1","2"
"No","1991","indirect migration background","West Germany","147","1","1","1","2"
"No","1991","indirect migration background","East Germany","1","","","","2"
"Yes","1991","no migration background","West Germany","","","","","1"
"Yes","1991","no migration background","East Germany","","","","","1"
"Yes","1991","direct migration background","West Germany","","","","","1"
"Yes","1991","direct migration background","East Germany","","","","","1"
"Yes","1991","indirect migration background","West Germany","","","","","1"
"Yes","1991","indirect migration background","East Germany","","","","","1"
"No","1992","no migration background","West Germany","2287","1","1","1","2"
"No","1992","no migration background","East Germany","1396","1","1","1","2"
"No","1992","direct migration background","West Germany","1151","1","1","1","2"
"No","1992","direct migration background","East Germany","37","1","1","1","2"
"No","1992","indirect migration background","West Germany","165","1","1","1","2"
"No","1992","indirect migration background","East Germany","2","","","","2"
"Yes","1992","no migration background","West Germany","","","","","1"
"Yes","1992","no migration background","East Germany","","","","","1"
"Yes","1992","direct migration background","West Germany","","","","","1"
"Yes","1992","direct migration background","East Germany","","","","","1"
"Yes","1992","indirect migration background","West Germany","","","","","1"
"Yes","1992","indirect migration background","East Germany","","","","","1"
"No","1993","no migration background","West Germany","2362","1","1","1","2"
"No","1993","no migration background","East Germany","1233","1","1","1","2"
"No","1993","direct migration background","West Germany","1149","1","1","1","2"
"No","1993","direct migration background","East Germany","20","","","","2"
"No","1993","indirect migration background","West Germany","194","1","1","1","2"
"No","1993","indirect migration background","East Germany","5","","","","2"
"Yes","1993","no migration background","West Germany","","","","","1"
"Yes","1993","no migration background","East Germany","","","","","1"
"Yes","1993","direct migration background","West Germany","","","","","1"
"Yes","1993","direct migration background","East Germany","","","","","1"
"Yes","1993","indirect migration background","West Germany","","","","","1"
"Yes","1993","indirect migration background","East Germany","","","","","1"
"No","1994","no migration background","West Germany","2237","1","1","1","2"
"No","1994","no migration background","East Germany","1149","1","1","1","2"
"No","1994","direct migration background","West Germany","992","1","1","1","2"
"No","1994","direct migration background","East Germany","22","","","","2"
"No","1994","indirect migration background","West Germany","198","1","1","1","2"
"No","1994","indirect migration background","East Germany","6","","","","2"
"Yes","1994","no migration background","West Germany","","","","","1"
"Yes","1994","no migration background","East Germany","","","","","1"
"Yes","1994","direct migration background","West Germany","","","","","1"
"Yes","1994","direct migration background","East Germany","","","","","1"
"Yes","1994","indirect migration background","West Germany","","","","","1"
"Yes","1994","indirect migration background","East Germany","","","","","1"
"No","1995","no migration background","West Germany","2171","1","1","1","2"
"No","1995","no migration background","East Germany","1155","1","1","1","2"
"No","1995","direct migration background","West Germany","1051","1","1","1","2"
"No","1995","direct migration background","East Germany","27","","","","2"
"No","1995","indirect migration background","West Germany","193","1","1","1","2"
"No","1995","indirect migration background","East Germany","3","","","","2"
"Yes","1995","no migration background","West Germany","","","","","1"
"Yes","1995","no migration background","East Germany","","","","","1"
"Yes","1995","direct migration background","West Germany","","","","","1"
"Yes","1995","direct migration background","East Germany","","","","","1"
"Yes","1995","indirect migration background","West Germany","","","","","1"
"Yes","1995","indirect migration background","East Germany","","","","","1"
"No","1996","no migration background","West Germany","2144","1","1","1","2"
"No","1996","no migration background","East Germany","1131","1","1","1","2"
"No","1996","direct migration background","West Germany","967","1","1","1","2"
"No","1996","direct migration background","East Germany","22","","","","2"
"No","1996","indirect migration background","West Germany","192","1","1","1","2"
"No","1996","indirect migration background","East Germany","9","","","","2"
"Yes","1996","no migration background","West Germany","","","","","1"
"Yes","1996","no migration background","East Germany","","","","","1"
"Yes","1996","direct migration background","West Germany","","","","","1"
"Yes","1996","direct migration background","East Germany","","","","","1"
"Yes","1996","indirect migration background","West Germany","","","","","1"
"Yes","1996","indirect migration background","East Germany","","","","","1"
"No","1997","no migration background","West Germany","688","1","1","1","2"
"No","1997","no migration background","East Germany","433","1","1","1","2"
"No","1997","direct migration background","West Germany","233","1","1","1","2"
"No","1997","direct migration background","East Germany","7","","","","2"
"No","1997","indirect migration background","West Germany","64","1","1","1","2"
"No","1997","indirect migration background","East Germany","1","","","","2"
"Yes","1997","no migration background","West Germany","","","","","1"
"Yes","1997","no migration background","East Germany","","","","","1"
"Yes","1997","direct migration background","West Germany","","","","","1"
"Yes","1997","direct migration background","East Germany","","","","","1"
"Yes","1997","indirect migration background","West Germany","","","","","1"
"Yes","1997","indirect migration background","East Germany","","","","","1"
"No","1998","no migration background","West Germany","765","1","1","1","2"
"No","1998","no migration background","East Germany","487","1","1","1","2"
