"plb0196_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Not Employed","no migration background","83","1","1","1","2"
"No","1986","Not Employed","direct migration background","36","1","1","1","2"
"No","1986","Employed","no migration background","2736","1","1","1","2"
"No","1986","Not Employed","indirect migration background","1","","","","2"
"No","1986","Employed","direct migration background","1405","1","1","1","2"
"No","1986","Employed","indirect migration background","69","1","1","1","2"
"Yes","1986","Not Employed","no migration background","","","","","1"
"Yes","1986","Not Employed","direct migration background","","","","","1"
"Yes","1986","Not Employed","indirect migration background","","","","","1"
"Yes","1986","Employed","no migration background","","","","","1"
"Yes","1986","Employed","direct migration background","","","","","1"
"Yes","1986","Employed","indirect migration background","","","","","1"
"No","1987","Not Employed","no migration background","","","","","2"
"No","1987","Not Employed","direct migration background","","","","","2"
"No","1987","Employed","no migration background","","","","","2"
"No","1987","Not Employed","indirect migration background","","","","","2"
"No","1987","Employed","direct migration background","","","","","2"
"No","1987","Employed","indirect migration background","","","","","2"
"Yes","1987","Not Employed","no migration background","","","","","1"
"Yes","1987","Not Employed","direct migration background","","","","","1"
"Yes","1987","Not Employed","indirect migration background","","","","","1"
"Yes","1987","Employed","no migration background","","","","","1"
"Yes","1987","Employed","direct migration background","","","","","1"
"Yes","1987","Employed","indirect migration background","","","","","1"
"No","1988","Not Employed","no migration background","59","1","1","1","2"
"No","1988","Not Employed","direct migration background","23","","","","2"
"No","1988","Not Employed","indirect migration background","4","","","","2"
"No","1988","Employed","no migration background","2588","1","1","1","2"
"No","1988","Employed","direct migration background","1268","1","1","1","2"
"No","1988","Employed","indirect migration background","85","1","1","1","2"
"Yes","1988","Not Employed","no migration background","","","","","1"
"Yes","1988","Not Employed","direct migration background","","","","","1"
"Yes","1988","Not Employed","indirect migration background","","","","","1"
"Yes","1988","Employed","no migration background","","","","","1"
"Yes","1988","Employed","direct migration background","","","","","1"
"Yes","1988","Employed","indirect migration background","","","","","1"
"No","1989","Not Employed","no migration background","53","1","1","1","2"
"No","1989","Not Employed","direct migration background","33","1","1","1","2"
"No","1989","Not Employed","indirect migration background","4","","","","2"
"No","1989","Employed","no migration background","2482","1","1","1","2"
"No","1989","Employed","direct migration background","1190","1","1","1","2"
"No","1989","Employed","indirect migration background","94","1","1","1","2"
"Yes","1989","Not Employed","no migration background","","","","","1"
"Yes","1989","Not Employed","direct migration background","","","","","1"
"Yes","1989","Not Employed","indirect migration background","","","","","1"
"Yes","1989","Employed","no migration background","","","","","1"
"Yes","1989","Employed","direct migration background","","","","","1"
"Yes","1989","Employed","indirect migration background","","","","","1"
"No","1990","Not Employed","no migration background","52","1","1","1","2"
"No","1990","Not Employed","direct migration background","30","1","1","1","2"
"No","1990","Not Employed","indirect migration background","3","","","","2"
"No","1990","Employed","no migration background","2347","1","1","1","2"
"No","1990","Employed","direct migration background","1167","1","1","1","2"
"No","1990","Employed","indirect migration background","115","1","1","1","2"
"Yes","1990","Not Employed","no migration background","","","","","1"
"Yes","1990","Not Employed","direct migration background","","","","","1"
"Yes","1990","Not Employed","indirect migration background","","","","","1"
"Yes","1990","Employed","no migration background","","","","","1"
"Yes","1990","Employed","direct migration background","","","","","1"
"Yes","1990","Employed","indirect migration background","","","","","1"
"No","1991","Not Employed","no migration background","61","1","1","1","2"
"No","1991","Not Employed","direct migration background","39","1","1","1","2"
"No","1991","Not Employed","indirect migration background","11","","","","2"
"No","1991","Employed","no migration background","2275","1","1","1","2"
"No","1991","Employed","direct migration background","1150","1","1","1","2"
"No","1991","Employed","indirect migration background","136","1","1","1","2"
"Yes","1991","Not Employed","no migration background","","","","","1"
"Yes","1991","Not Employed","direct migration background","","","","","1"
"Yes","1991","Not Employed","indirect migration background","","","","","1"
"Yes","1991","Employed","no migration background","","","","","1"
"Yes","1991","Employed","direct migration background","","","","","1"
"Yes","1991","Employed","indirect migration background","","","","","1"
"No","1992","Not Employed","no migration background","75","1","1","1","2"
"No","1992","Not Employed","direct migration background","18","","","","2"
"No","1992","Not Employed","indirect migration background","8","","","","2"
"No","1992","Employed","no migration background","3608","1","1","1","2"
"No","1992","Employed","direct migration background","1170","1","1","1","2"
"No","1992","Employed","indirect migration background","159","1","1","1","2"
"Yes","1992","Not Employed","no migration background","","","","","1"
"Yes","1992","Not Employed","direct migration background","","","","","1"
"Yes","1992","Not Employed","indirect migration background","","","","","1"
"Yes","1992","Employed","no migration background","","","","","1"
"Yes","1992","Employed","direct migration background","","","","","1"
"Yes","1992","Employed","indirect migration background","","","","","1"
"No","1993","Not Employed","no migration background","109","1","1","1","2"
"No","1993","Not Employed","direct migration background","27","","","","2"
"No","1993","Not Employed","indirect migration background","12","","","","2"
"No","1993","Employed","no migration background","3486","1","1","1","2"
"No","1993","Employed","direct migration background","1142","1","1","1","2"
"No","1993","Employed","indirect migration background","187","1","1","1","2"
"Yes","1993","Not Employed","no migration background","","","","","1"
"Yes","1993","Not Employed","direct migration background","","","","","1"
"Yes","1993","Not Employed","indirect migration background","","","","","1"
"Yes","1993","Employed","no migration background","","","","","1"
"Yes","1993","Employed","direct migration background","","","","","1"
"Yes","1993","Employed","indirect migration background","","","","","1"
"No","1994","Not Employed","no migration background","92","1","1","1","2"
"No","1994","Not Employed","direct migration background","24","","","","2"
"No","1994","Not Employed","indirect migration background","15","","","","2"
"No","1994","Employed","no migration background","3294","1","1","1","2"
"No","1994","Employed","direct migration background","990","1","1","1","2"
"No","1994","Employed","indirect migration background","189","1","1","1","2"
"Yes","1994","Not Employed","no migration background","","","","","1"
"Yes","1994","Not Employed","direct migration background","","","","","1"
"Yes","1994","Not Employed","indirect migration background","","","","","1"
"Yes","1994","Employed","no migration background","","","","","1"
"Yes","1994","Employed","direct migration background","","","","","1"
"Yes","1994","Employed","indirect migration background","","","","","1"
"No","1995","Not Employed","no migration background","117","1","1","1","2"
"No","1995","Not Employed","direct migration background","25","","","","2"
"No","1995","Not Employed","indirect migration background","10","","","","2"
"No","1995","Employed","no migration background","3209","1","1","1","2"
"No","1995","Employed","direct migration background","1053","1","1","1","2"
"No","1995","Employed","indirect migration background","186","1","1","1","2"
"Yes","1995","Not Employed","no migration background","","","","","1"
"Yes","1995","Not Employed","direct migration background","","","","","1"
"Yes","1995","Not Employed","indirect migration background","","","","","1"
"Yes","1995","Employed","no migration background","","","","","1"
"Yes","1995","Employed","direct migration background","","","","","1"
"Yes","1995","Employed","indirect migration background","","","","","1"
"No","1996","Not Employed","no migration background","86","1","1","1","2"
"No","1996","Not Employed","direct migration background","25","","","","2"
"No","1996","Not Employed","indirect migration background","10","","","","2"
"No","1996","Employed","no migration background","3189","1","1","1","2"
"No","1996","Employed","direct migration background","964","1","1","1","2"
"No","1996","Employed","indirect migration background","191","1","1","1","2"
