"plb0196_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1986","lower secondary degree","no migration background","","","",""
"Yes","1986","lower secondary degree","direct migration background","","","",""
"Yes","1986","lower secondary degree","indirect migration background","","","",""
"Yes","1986","secondary school degree","no migration background","","","",""
"Yes","1986","secondary school degree","direct migration background","","","",""
"Yes","1986","secondary school degree","indirect migration background","","","",""
"Yes","1986","college entrance qualification","no migration background","","","",""
"Yes","1986","college entrance qualification","direct migration background","","","",""
"Yes","1986","college entrance qualification","indirect migration background","","","",""
"Yes","1986","Other degree","no migration background","","","",""
"Yes","1986","Other degree","direct migration background","","","",""
"Yes","1986","Other degree","indirect migration background","","","",""
"Yes","1986","no degree/no degree yet","no migration background","","","",""
"Yes","1986","no degree/no degree yet","direct migration background","","","",""
"Yes","1986","no degree/no degree yet","indirect migration background","","","",""
"No","1986","lower secondary degree","no migration background","1678","1","1","1"
"No","1986","lower secondary degree","direct migration background","287","1","1","1"
"No","1986","lower secondary degree","indirect migration background","42","1","1","1"
"No","1986","secondary school degree","no migration background","665","1","1","1"
"No","1986","secondary school degree","direct migration background","64","1","1","1"
"No","1986","secondary school degree","indirect migration background","14","","",""
"No","1986","college entrance qualification","no migration background","413","1","1","1"
"No","1986","college entrance qualification","direct migration background","43","1","1","1"
"No","1986","college entrance qualification","indirect migration background","6","","",""
"No","1986","Other degree","no migration background","19","","",""
"No","1986","Other degree","direct migration background","631","1","1","1"
"No","1986","Other degree","indirect migration background","1","","",""
"No","1986","no degree/no degree yet","no migration background","16","","",""
"No","1986","no degree/no degree yet","direct migration background","375","1","1","1"
"No","1986","no degree/no degree yet","indirect migration background","4","","",""
"Yes","1987","lower secondary degree","no migration background","","","",""
"Yes","1987","lower secondary degree","direct migration background","","","",""
"Yes","1987","lower secondary degree","indirect migration background","","","",""
"Yes","1987","secondary school degree","no migration background","","","",""
"Yes","1987","secondary school degree","direct migration background","","","",""
"Yes","1987","secondary school degree","indirect migration background","","","",""
"Yes","1987","college entrance qualification","no migration background","","","",""
"Yes","1987","college entrance qualification","direct migration background","","","",""
"Yes","1987","college entrance qualification","indirect migration background","","","",""
"Yes","1987","Other degree","no migration background","","","",""
"Yes","1987","Other degree","direct migration background","","","",""
"Yes","1987","Other degree","indirect migration background","","","",""
"Yes","1987","no degree/no degree yet","no migration background","","","",""
"Yes","1987","no degree/no degree yet","direct migration background","","","",""
"Yes","1987","no degree/no degree yet","indirect migration background","","","",""
"No","1987","lower secondary degree","no migration background","","","",""
"No","1987","lower secondary degree","direct migration background","","","",""
"No","1987","lower secondary degree","indirect migration background","","","",""
"No","1987","secondary school degree","no migration background","","","",""
"No","1987","secondary school degree","direct migration background","","","",""
"No","1987","secondary school degree","indirect migration background","","","",""
"No","1987","college entrance qualification","no migration background","","","",""
"No","1987","college entrance qualification","direct migration background","","","",""
"No","1987","college entrance qualification","indirect migration background","","","",""
"No","1987","Other degree","no migration background","","","",""
"No","1987","Other degree","direct migration background","","","",""
"No","1987","Other degree","indirect migration background","","","",""
"No","1987","no degree/no degree yet","no migration background","","","",""
"No","1987","no degree/no degree yet","direct migration background","","","",""
"No","1987","no degree/no degree yet","indirect migration background","","","",""
"Yes","1988","lower secondary degree","no migration background","","","",""
"Yes","1988","lower secondary degree","direct migration background","","","",""
"Yes","1988","lower secondary degree","indirect migration background","","","",""
"Yes","1988","secondary school degree","no migration background","","","",""
"Yes","1988","secondary school degree","direct migration background","","","",""
"Yes","1988","secondary school degree","indirect migration background","","","",""
"Yes","1988","college entrance qualification","no migration background","","","",""
"Yes","1988","college entrance qualification","direct migration background","","","",""
"Yes","1988","college entrance qualification","indirect migration background","","","",""
"Yes","1988","Other degree","no migration background","","","",""
"Yes","1988","Other degree","direct migration background","","","",""
"Yes","1988","Other degree","indirect migration background","","","",""
"Yes","1988","no degree/no degree yet","no migration background","","","",""
"Yes","1988","no degree/no degree yet","direct migration background","","","",""
