"plb0196_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Not Employed","inadequately","8","","","","2"
"No","1986","Not Employed","higher vocational","8","","","","2"
"No","1986","Not Employed","middle vocational","54","1","1","1","2"
"No","1986","Not Employed","vocational + Abi","3","","","","2"
"No","1986","Not Employed","general elemantary","36","1","1","1","2"
"No","1986","Employed","higher education","318","1","1","1","2"
"No","1986","Not Employed","in school","3","","","","2"
"No","1986","Employed","vocational + Abi","115","1","1","1","2"
"No","1986","Employed","higher vocational","225","1","1","1","2"
"No","1986","Employed","middle vocational","2070","1","1","1","2"
"No","1986","Not Employed","higher education","6","","","","2"
"No","1986","Employed","in school","1","","","","2"
"No","1986","Employed","inadequately","351","1","1","1","2"
"No","1986","Employed","general elemantary","1073","1","1","1","2"
"Yes","1986","Not Employed","in school","","","","","1"
"Yes","1986","Not Employed","inadequately","","","","","1"
"Yes","1986","Not Employed","general elemantary","","","","","1"
"Yes","1986","Not Employed","middle vocational","","","","","1"
"Yes","1986","Not Employed","vocational + Abi","","","","","1"
"Yes","1986","Not Employed","higher vocational","","","","","1"
"Yes","1986","Not Employed","higher education","","","","","1"
"Yes","1986","Employed","in school","","","","","1"
"Yes","1986","Employed","inadequately","","","","","1"
"Yes","1986","Employed","general elemantary","","","","","1"
"Yes","1986","Employed","middle vocational","","","","","1"
"Yes","1986","Employed","vocational + Abi","","","","","1"
"Yes","1986","Employed","higher vocational","","","","","1"
"Yes","1986","Employed","higher education","","","","","1"
"No","1987","Not Employed","general elemantary","","","","","2"
"No","1987","Not Employed","inadequately","","","","","2"
"No","1987","Employed","higher education","","","","","2"
"No","1987","Not Employed","middle vocational","","","","","2"
"No","1987","Employed","vocational + Abi","","","","","2"
"No","1987","Not Employed","vocational + Abi","","","","","2"
"No","1987","Not Employed","higher vocational","","","","","2"
"No","1987","Employed","higher vocational","","","","","2"
"No","1987","Not Employed","in school","","","","","2"
"No","1987","Employed","middle vocational","","","","","2"
"No","1987","Not Employed","higher education","","","","","2"
"No","1987","Employed","in school","","","","","2"
"No","1987","Employed","inadequately","","","","","2"
"No","1987","Employed","general elemantary","","","","","2"
"Yes","1987","Not Employed","in school","","","","","1"
"Yes","1987","Not Employed","inadequately","","","","","1"
"Yes","1987","Not Employed","general elemantary","","","","","1"
"Yes","1987","Not Employed","middle vocational","","","","","1"
"Yes","1987","Not Employed","vocational + Abi","","","","","1"
"Yes","1987","Not Employed","higher vocational","","","","","1"
"Yes","1987","Not Employed","higher education","","","","","1"
"Yes","1987","Employed","in school","","","","","1"
"Yes","1987","Employed","inadequately","","","","","1"
"Yes","1987","Employed","general elemantary","","","","","1"
"Yes","1987","Employed","middle vocational","","","","","1"
"Yes","1987","Employed","vocational + Abi","","","","","1"
"Yes","1987","Employed","higher vocational","","","","","1"
"Yes","1987","Employed","higher education","","","","","1"
"No","1988","Not Employed","general elemantary","28","","","","2"
"No","1988","Not Employed","inadequately","8","","","","2"
"No","1988","Employed","higher education","304","1","1","1","2"
"No","1988","Not Employed","middle vocational","31","1","1","1","2"
"No","1988","Employed","vocational + Abi","107","1","1","1","2"
"No","1988","Not Employed","higher vocational","4","","","","2"
"No","1988","Employed","higher vocational","209","1","1","1","2"
"No","1988","Not Employed","vocational + Abi","3","","","","2"
"No","1988","Not Employed","in school","2","","","","2"
"No","1988","Employed","middle vocational","1940","1","1","1","2"
"No","1988","Not Employed","higher education","6","","","","2"
"No","1988","Employed","in school","3","","","","2"
"No","1988","Employed","inadequately","287","1","1","1","2"
"No","1988","Employed","general elemantary","1026","1","1","1","2"
"Yes","1988","Not Employed","in school","","","","","1"
"Yes","1988","Not Employed","inadequately","","","","","1"
"Yes","1988","Not Employed","general elemantary","","","","","1"
"Yes","1988","Not Employed","middle vocational","","","","","1"
"Yes","1988","Not Employed","vocational + Abi","","","","","1"
"Yes","1988","Not Employed","higher vocational","","","","","1"
"Yes","1988","Not Employed","higher education","","","","","1"
"Yes","1988","Employed","in school","","","","","1"
"Yes","1988","Employed","inadequately","","","","","1"
"Yes","1988","Employed","general elemantary","","","","","1"
"Yes","1988","Employed","middle vocational","","","","","1"
"Yes","1988","Employed","vocational + Abi","","","","","1"
"Yes","1988","Employed","higher vocational","","","","","1"
"Yes","1988","Employed","higher education","","","","","1"
"No","1989","Not Employed","general elemantary","30","1","1","1","2"
"No","1989","Employed","vocational + Abi","104","1","1","1","2"
"No","1989","Employed","higher vocational","211","1","1","1","2"
"No","1989","Not Employed","inadequately","9","","","","2"
"No","1989","Employed","middle vocational","1850","1","1","1","2"
"No","1989","Employed","higher education","290","1","1","1","2"
"No","1989","Not Employed","middle vocational","34","1","1","1","2"
"No","1989","Not Employed","vocational + Abi","4","","","","2"
"No","1989","Not Employed","higher vocational","1","","","","2"
"No","1989","Not Employed","in school","3","","","","2"
"No","1989","Not Employed","higher education","6","","","","2"
"No","1989","Employed","in school","7","","","","2"
"No","1989","Employed","inadequately","252","1","1","1","2"
"No","1989","Employed","general elemantary","988","1","1","1","2"
"Yes","1989","Not Employed","in school","","","","","1"
"Yes","1989","Not Employed","inadequately","","","","","1"
"Yes","1989","Not Employed","general elemantary","","","","","1"
"Yes","1989","Not Employed","middle vocational","","","","","1"
"Yes","1989","Not Employed","vocational + Abi","","","","","1"
"Yes","1989","Not Employed","higher vocational","","","","","1"
"Yes","1989","Not Employed","higher education","","","","","1"
"Yes","1989","Employed","in school","","","","","1"
"Yes","1989","Employed","inadequately","","","","","1"
"Yes","1989","Employed","general elemantary","","","","","1"
"Yes","1989","Employed","middle vocational","","","","","1"
"Yes","1989","Employed","vocational + Abi","","","","","1"
"Yes","1989","Employed","higher vocational","","","","","1"
"Yes","1989","Employed","higher education","","","","","1"
"No","1990","Not Employed","general elemantary","25","","","","2"
"No","1990","Employed","vocational + Abi","107","1","1","1","2"
"No","1990","Employed","higher vocational","195","1","1","1","2"
