"plb0196_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Part Time","indirect migration background","31","1","1","1","2"
"No","1986","Full Time","indirect migration background","38","1","1","1","2"
"No","1986","Not Working","no migration background","83","1","1","1","2"
"No","1986","Full Time","no migration background","1912","1","1","1","2"
"No","1986","Part Time","no migration background","824","1","1","1","2"
"No","1986","Part Time","direct migration background","277","1","1","1","2"
"No","1986","Not Working","indirect migration background","1","","","","2"
"No","1986","Full Time","direct migration background","1128","1","1","1","2"
"No","1986","Not Working","direct migration background","36","1","1","1","2"
"Yes","1986","Full Time","no migration background","","","","","1"
"Yes","1986","Full Time","direct migration background","","","","","1"
"Yes","1986","Full Time","indirect migration background","","","","","1"
"Yes","1986","Part Time","no migration background","","","","","1"
"Yes","1986","Part Time","direct migration background","","","","","1"
"Yes","1986","Part Time","indirect migration background","","","","","1"
"Yes","1986","Not Working","no migration background","","","","","1"
"Yes","1986","Not Working","direct migration background","","","","","1"
"Yes","1986","Not Working","indirect migration background","","","","","1"
"No","1987","Full Time","no migration background","","","","","2"
"No","1987","Full Time","indirect migration background","","","","","2"
"No","1987","Part Time","direct migration background","","","","","2"
"No","1987","Part Time","indirect migration background","","","","","2"
"No","1987","Not Working","no migration background","","","","","2"
"No","1987","Part Time","no migration background","","","","","2"
"No","1987","Not Working","indirect migration background","","","","","2"
"No","1987","Full Time","direct migration background","","","","","2"
"No","1987","Not Working","direct migration background","","","","","2"
"Yes","1987","Full Time","no migration background","","","","","1"
"Yes","1987","Full Time","direct migration background","","","","","1"
"Yes","1987","Full Time","indirect migration background","","","","","1"
"Yes","1987","Part Time","no migration background","","","","","1"
"Yes","1987","Part Time","direct migration background","","","","","1"
"Yes","1987","Part Time","indirect migration background","","","","","1"
"Yes","1987","Not Working","no migration background","","","","","1"
"Yes","1987","Not Working","direct migration background","","","","","1"
"Yes","1987","Not Working","indirect migration background","","","","","1"
"No","1988","Full Time","no migration background","1838","1","1","1","2"
"No","1988","Part Time","indirect migration background","37","1","1","1","2"
"No","1988","Full Time","indirect migration background","48","1","1","1","2"
"No","1988","Not Working","no migration background","59","1","1","1","2"
"No","1988","Part Time","no migration background","750","1","1","1","2"
"No","1988","Part Time","direct migration background","272","1","1","1","2"
"No","1988","Not Working","direct migration background","23","","","","2"
"No","1988","Not Working","indirect migration background","4","","","","2"
"No","1988","Full Time","direct migration background","996","1","1","1","2"
"Yes","1988","Full Time","no migration background","","","","","1"
"Yes","1988","Full Time","direct migration background","","","","","1"
