"plb0196_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Schleswig-Holstein","no migration background","","","",""
"Yes","1986","Schleswig-Holstein","direct migration background","","","",""
"Yes","1986","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1986","Hamburg","no migration background","","","",""
"Yes","1986","Hamburg","direct migration background","","","",""
"Yes","1986","Hamburg","indirect migration background","","","",""
"Yes","1986","Lower Saxony","no migration background","","","",""
"Yes","1986","Lower Saxony","direct migration background","","","",""
"Yes","1986","Lower Saxony","indirect migration background","","","",""
"Yes","1986","Bremen","no migration background","","","",""
"Yes","1986","Bremen","direct migration background","","","",""
"Yes","1986","Bremen","indirect migration background","","","",""
"Yes","1986","North Rhine-Westphalia","no migration background","","","",""
"Yes","1986","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1986","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1986","Hesse","no migration background","","","",""
"Yes","1986","Hesse","direct migration background","","","",""
"Yes","1986","Hesse","indirect migration background","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1986","Baden-Württemberg","no migration background","","","",""
"Yes","1986","Baden-Württemberg","direct migration background","","","",""
"Yes","1986","Baden-Württemberg","indirect migration background","","","",""
"Yes","1986","Bavaria","no migration background","","","",""
"Yes","1986","Bavaria","direct migration background","","","",""
"Yes","1986","Bavaria","indirect migration background","","","",""
"Yes","1986","Berlin","no migration background","","","",""
"Yes","1986","Berlin","direct migration background","","","",""
"Yes","1986","Berlin","indirect migration background","","","",""
"Yes","1986","Brandenburg","no migration background","","","",""
"Yes","1986","Brandenburg","direct migration background","","","",""
"Yes","1986","Brandenburg","indirect migration background","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1986","Saxony","no migration background","","","",""
"Yes","1986","Saxony","direct migration background","","","",""
"Yes","1986","Saxony","indirect migration background","","","",""
"Yes","1986","Saxony-Anhalt","no migration background","","","",""
"Yes","1986","Saxony-Anhalt","direct migration background","","","",""
"Yes","1986","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1986","Thuringia","no migration background","","","",""
"Yes","1986","Thuringia","direct migration background","","","",""
"Yes","1986","Thuringia","indirect migration background","","","",""
"No","1986","Schleswig-Holstein","no migration background","105","1","1","1"
"No","1986","Schleswig-Holstein","direct migration background","19","","",""
"No","1986","Schleswig-Holstein","indirect migration background","","","",""
"No","1986","Hamburg","no migration background","55","1","1","1"
"No","1986","Hamburg","direct migration background","39","1","1","1"
"No","1986","Hamburg","indirect migration background","","","",""
"No","1986","Lower Saxony","no migration background","319","1","1","1"
"No","1986","Lower Saxony","direct migration background","75","1","1","1"
"No","1986","Lower Saxony","indirect migration background","4","","",""
"No","1986","Bremen","no migration background","27","","",""
"No","1986","Bremen","direct migration background","8","","",""
"No","1986","Bremen","indirect migration background","","","",""
"No","1986","North Rhine-Westphalia","no migration background","743","1","1","1"
"No","1986","North Rhine-Westphalia","direct migration background","383","1","1","1"
"No","1986","North Rhine-Westphalia","indirect migration background","17","","",""
"No","1986","Hesse","no migration background","238","1","1","1"
"No","1986","Hesse","direct migration background","186","1","1","1"
"No","1986","Hesse","indirect migration background","1","","",""
"No","1986","Rhineland-Palatinate,Saarland","no migration background","231","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","direct migration background","64","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"No","1986","Baden-Württemberg","no migration background","454","1","1","1"
"No","1986","Baden-Württemberg","direct migration background","414","1","1","1"
"No","1986","Baden-Württemberg","indirect migration background","21","","",""
"No","1986","Bavaria","no migration background","543","1","1","1"
"No","1986","Bavaria","direct migration background","197","1","1","1"
"No","1986","Bavaria","indirect migration background","22","","",""
"No","1986","Berlin","no migration background","104","1","1","1"
"No","1986","Berlin","direct migration background","56","1","1","1"
"No","1986","Berlin","indirect migration background","2","","",""
"No","1986","Brandenburg","no migration background","","","",""
"No","1986","Brandenburg","direct migration background","","","",""
"No","1986","Brandenburg","indirect migration background","","","",""
"No","1986","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1986","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1986","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1986","Saxony","no migration background","","","",""
"No","1986","Saxony","direct migration background","","","",""
"No","1986","Saxony","indirect migration background","","","",""
"No","1986","Saxony-Anhalt","no migration background","","","",""
"No","1986","Saxony-Anhalt","direct migration background","","","",""
"No","1986","Saxony-Anhalt","indirect migration background","","","",""
"No","1986","Thuringia","no migration background","","","",""
"No","1986","Thuringia","direct migration background","","","",""
"No","1986","Thuringia","indirect migration background","","","",""
"Yes","1987","Schleswig-Holstein","no migration background","","","",""
"Yes","1987","Schleswig-Holstein","direct migration background","","","",""
"Yes","1987","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1987","Hamburg","no migration background","","","",""
"Yes","1987","Hamburg","direct migration background","","","",""
"Yes","1987","Hamburg","indirect migration background","","","",""
"Yes","1987","Lower Saxony","no migration background","","","",""
"Yes","1987","Lower Saxony","direct migration background","","","",""
"Yes","1987","Lower Saxony","indirect migration background","","","",""
"Yes","1987","Bremen","no migration background","","","",""
"Yes","1987","Bremen","direct migration background","","","",""
"Yes","1987","Bremen","indirect migration background","","","",""
"Yes","1987","North Rhine-Westphalia","no migration background","","","",""
"Yes","1987","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1987","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1987","Hesse","no migration background","","","",""
"Yes","1987","Hesse","direct migration background","","","",""
"Yes","1987","Hesse","indirect migration background","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1987","Baden-Württemberg","no migration background","","","",""
"Yes","1987","Baden-Württemberg","direct migration background","","","",""
"Yes","1987","Baden-Württemberg","indirect migration background","","","",""
"Yes","1987","Bavaria","no migration background","","","",""
"Yes","1987","Bavaria","direct migration background","","","",""
"Yes","1987","Bavaria","indirect migration background","","","",""
"Yes","1987","Berlin","no migration background","","","",""
"Yes","1987","Berlin","direct migration background","","","",""
"Yes","1987","Berlin","indirect migration background","","","",""
"Yes","1987","Brandenburg","no migration background","","","",""
"Yes","1987","Brandenburg","direct migration background","","","",""
"Yes","1987","Brandenburg","indirect migration background","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1987","Saxony","no migration background","","","",""
"Yes","1987","Saxony","direct migration background","","","",""
"Yes","1987","Saxony","indirect migration background","","","",""
"Yes","1987","Saxony-Anhalt","no migration background","","","",""
"Yes","1987","Saxony-Anhalt","direct migration background","","","",""
"Yes","1987","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1987","Thuringia","no migration background","","","",""
"Yes","1987","Thuringia","direct migration background","","","",""
"Yes","1987","Thuringia","indirect migration background","","","",""
"No","1987","Schleswig-Holstein","no migration background","","","",""
"No","1987","Schleswig-Holstein","direct migration background","","","",""
"No","1987","Schleswig-Holstein","indirect migration background","","","",""
"No","1987","Hamburg","no migration background","","","",""
"No","1987","Hamburg","direct migration background","","","",""
"No","1987","Hamburg","indirect migration background","","","",""
"No","1987","Lower Saxony","no migration background","","","",""
"No","1987","Lower Saxony","direct migration background","","","",""
"No","1987","Lower Saxony","indirect migration background","","","",""
"No","1987","Bremen","no migration background","","","",""
"No","1987","Bremen","direct migration background","","","",""
"No","1987","Bremen","indirect migration background","","","",""
"No","1987","North Rhine-Westphalia","no migration background","","","",""
"No","1987","North Rhine-Westphalia","direct migration background","","","",""
"No","1987","North Rhine-Westphalia","indirect migration background","","","",""
"No","1987","Hesse","no migration background","","","",""
"No","1987","Hesse","direct migration background","","","",""
"No","1987","Hesse","indirect migration background","","","",""
"No","1987","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","1987","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"No","1987","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"No","1987","Baden-Württemberg","no migration background","","","",""
"No","1987","Baden-Württemberg","direct migration background","","","",""
"No","1987","Baden-Württemberg","indirect migration background","","","",""
"No","1987","Bavaria","no migration background","","","",""
"No","1987","Bavaria","direct migration background","","","",""
"No","1987","Bavaria","indirect migration background","","","",""
"No","1987","Berlin","no migration background","","","",""
"No","1987","Berlin","direct migration background","","","",""
"No","1987","Berlin","indirect migration background","","","",""
"No","1987","Brandenburg","no migration background","","","",""
"No","1987","Brandenburg","direct migration background","","","",""
"No","1987","Brandenburg","indirect migration background","","","",""
"No","1987","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1987","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1987","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1987","Saxony","no migration background","","","",""
"No","1987","Saxony","direct migration background","","","",""
"No","1987","Saxony","indirect migration background","","","",""
"No","1987","Saxony-Anhalt","no migration background","","","",""
"No","1987","Saxony-Anhalt","direct migration background","","","",""
"No","1987","Saxony-Anhalt","indirect migration background","","","",""
"No","1987","Thuringia","no migration background","","","",""
"No","1987","Thuringia","direct migration background","","","",""
"No","1987","Thuringia","indirect migration background","","","",""
"Yes","1988","Schleswig-Holstein","no migration background","","","",""
"Yes","1988","Schleswig-Holstein","direct migration background","","","",""
"Yes","1988","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1988","Hamburg","no migration background","","","",""
"Yes","1988","Hamburg","direct migration background","","","",""
"Yes","1988","Hamburg","indirect migration background","","","",""
"Yes","1988","Lower Saxony","no migration background","","","",""
"Yes","1988","Lower Saxony","direct migration background","","","",""
"Yes","1988","Lower Saxony","indirect migration background","","","",""
"Yes","1988","Bremen","no migration background","","","",""
"Yes","1988","Bremen","direct migration background","","","",""
"Yes","1988","Bremen","indirect migration background","","","",""
"Yes","1988","North Rhine-Westphalia","no migration background","","","",""
"Yes","1988","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1988","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1988","Hesse","no migration background","","","",""
"Yes","1988","Hesse","direct migration background","","","",""
"Yes","1988","Hesse","indirect migration background","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1988","Baden-Württemberg","no migration background","","","",""
"Yes","1988","Baden-Württemberg","direct migration background","","","",""
"Yes","1988","Baden-Württemberg","indirect migration background","","","",""
"Yes","1988","Bavaria","no migration background","","","",""
"Yes","1988","Bavaria","direct migration background","","","",""
