"plb0196_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1986","1-pers.-HH","in school","","","",""
"Yes","1986","1-pers.-HH","inadequately","","","",""
"Yes","1986","1-pers.-HH","general elemantary","","","",""
"Yes","1986","1-pers.-HH","middle vocational","","","",""
"Yes","1986","1-pers.-HH","vocational + Abi","","","",""
"Yes","1986","1-pers.-HH","higher vocational","","","",""
"Yes","1986","1-pers.-HH","higher education","","","",""
"Yes","1986","(Married) couple without C. ","in school","","","",""
"Yes","1986","(Married) couple without C. ","inadequately","","","",""
"Yes","1986","(Married) couple without C. ","general elemantary","","","",""
"Yes","1986","(Married) couple without C. ","middle vocational","","","",""
"Yes","1986","(Married) couple without C. ","vocational + Abi","","","",""
"Yes","1986","(Married) couple without C. ","higher vocational","","","",""
"Yes","1986","(Married) couple without C. ","higher education","","","",""
"Yes","1986","Single parent ","in school","","","",""
"Yes","1986","Single parent ","inadequately","","","",""
"Yes","1986","Single parent ","general elemantary","","","",""
"Yes","1986","Single parent ","middle vocational","","","",""
"Yes","1986","Single parent ","vocational + Abi","","","",""
"Yes","1986","Single parent ","higher vocational","","","",""
"Yes","1986","Single parent ","higher education","","","",""
"Yes","1986","Couple + C. LE 16 ","in school","","","",""
"Yes","1986","Couple + C. LE 16 ","inadequately","","","",""
"Yes","1986","Couple + C. LE 16 ","general elemantary","","","",""
"Yes","1986","Couple + C. LE 16 ","middle vocational","","","",""
"Yes","1986","Couple + C. LE 16 ","vocational + Abi","","","",""
"Yes","1986","Couple + C. LE 16 ","higher vocational","","","",""
"Yes","1986","Couple + C. LE 16 ","higher education","","","",""
"Yes","1986","Couple + C. GT 16 ","in school","","","",""
"Yes","1986","Couple + C. GT 16 ","inadequately","","","",""
"Yes","1986","Couple + C. GT 16 ","general elemantary","","","",""
"Yes","1986","Couple + C. GT 16 ","middle vocational","","","",""
"Yes","1986","Couple + C. GT 16 ","vocational + Abi","","","",""
"Yes","1986","Couple + C. GT 16 ","higher vocational","","","",""
"Yes","1986","Couple + C. GT 16 ","higher education","","","",""
"Yes","1986","Couple + C. LE and GT 16","in school","","","",""
"Yes","1986","Couple + C. LE and GT 16","inadequately","","","",""
"Yes","1986","Couple + C. LE and GT 16","general elemantary","","","",""
"Yes","1986","Couple + C. LE and GT 16","middle vocational","","","",""
"Yes","1986","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Yes","1986","Couple + C. LE and GT 16","higher vocational","","","",""
"Yes","1986","Couple + C. LE and GT 16","higher education","","","",""
"No","1986","1-pers.-HH","in school","","","",""
"No","1986","1-pers.-HH","inadequately","22","","",""
"No","1986","1-pers.-HH","general elemantary","66","1","1","1"
"No","1986","1-pers.-HH","middle vocational","167","1","1","1"
"No","1986","1-pers.-HH","vocational + Abi","16","","",""
"No","1986","1-pers.-HH","higher vocational","17","","",""
"No","1986","1-pers.-HH","higher education","37","1","1","1"
"No","1986","(Married) couple without C. ","in school","","","",""
"No","1986","(Married) couple without C. ","inadequately","47","1","1","1"
"No","1986","(Married) couple without C. ","general elemantary","178","1","1","1"
"No","1986","(Married) couple without C. ","middle vocational","469","1","1","1"
"No","1986","(Married) couple without C. ","vocational + Abi","28","","",""
"No","1986","(Married) couple without C. ","higher vocational","56","1","1","1"
