"plb0196_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1986","no migration background","Urban Area","2122","1","1","1","2"
"No","1986","no migration background","Rural Area","697","1","1","1","2"
"No","1986","direct migration background","Rural Area","162","1","1","1","2"
"No","1986","direct migration background","Urban Area","1279","1","1","1","2"
"No","1986","indirect migration background","Urban Area","57","1","1","1","2"
"No","1986","indirect migration background","Rural Area","13","","","","2"
"Yes","1986","no migration background","Urban Area","","","","","1"
"Yes","1986","no migration background","Rural Area","","","","","1"
"Yes","1986","direct migration background","Urban Area","","","","","1"
"Yes","1986","direct migration background","Rural Area","","","","","1"
"Yes","1986","indirect migration background","Urban Area","","","","","1"
"Yes","1986","indirect migration background","Rural Area","","","","","1"
"No","1987","no migration background","Urban Area","","","","","2"
"No","1987","no migration background","Rural Area","","","","","2"
"No","1987","direct migration background","Rural Area","","","","","2"
"No","1987","direct migration background","Urban Area","","","","","2"
"No","1987","indirect migration background","Urban Area","","","","","2"
"No","1987","indirect migration background","Rural Area","","","","","2"
"Yes","1987","no migration background","Urban Area","","","","","1"
"Yes","1987","no migration background","Rural Area","","","","","1"
"Yes","1987","direct migration background","Urban Area","","","","","1"
"Yes","1987","direct migration background","Rural Area","","","","","1"
"Yes","1987","indirect migration background","Urban Area","","","","","1"
"Yes","1987","indirect migration background","Rural Area","","","","","1"
"No","1988","no migration background","Urban Area","2005","1","1","1","2"
"No","1988","no migration background","Rural Area","642","1","1","1","2"
"No","1988","direct migration background","Urban Area","1134","1","1","1","2"
"No","1988","direct migration background","Rural Area","157","1","1","1","2"
"No","1988","indirect migration background","Urban Area","72","1","1","1","2"
"No","1988","indirect migration background","Rural Area","17","","","","2"
"Yes","1988","no migration background","Urban Area","","","","","1"
"Yes","1988","no migration background","Rural Area","","","","","1"
"Yes","1988","direct migration background","Urban Area","","","","","1"
"Yes","1988","direct migration background","Rural Area","","","","","1"
"Yes","1988","indirect migration background","Urban Area","","","","","1"
"Yes","1988","indirect migration background","Rural Area","","","","","1"
"No","1989","no migration background","Urban Area","1942","1","1","1","2"
"No","1989","no migration background","Rural Area","593","1","1","1","2"
"No","1989","direct migration background","Urban Area","1071","1","1","1","2"
"No","1989","direct migration background","Rural Area","152","1","1","1","2"
"No","1989","indirect migration background","Urban Area","82","1","1","1","2"
"No","1989","indirect migration background","Rural Area","16","","","","2"
"Yes","1989","no migration background","Urban Area","","","","","1"
"Yes","1989","no migration background","Rural Area","","","","","1"
"Yes","1989","direct migration background","Urban Area","","","","","1"
"Yes","1989","direct migration background","Rural Area","","","","","1"
"Yes","1989","indirect migration background","Urban Area","","","","","1"
"Yes","1989","indirect migration background","Rural Area","","","","","1"
"No","1990","no migration background","Urban Area","1816","1","1","1","2"
"No","1990","no migration background","Rural Area","583","1","1","1","2"
"No","1990","direct migration background","Urban Area","1032","1","1","1","2"
"No","1990","direct migration background","Rural Area","165","1","1","1","2"
"No","1990","indirect migration background","Urban Area","98","1","1","1","2"
"No","1990","indirect migration background","Rural Area","20","","","","2"
"Yes","1990","no migration background","Urban Area","","","","","1"
"Yes","1990","no migration background","Rural Area","","","","","1"
"Yes","1990","direct migration background","Urban Area","","","","","1"
"Yes","1990","direct migration background","Rural Area","","","","","1"
"Yes","1990","indirect migration background","Urban Area","","","","","1"
"Yes","1990","indirect migration background","Rural Area","","","","","1"
"No","1991","no migration background","Urban Area","2387","1","1","1","2"
"No","1991","no migration background","Rural Area","1841","1","1","1","2"
"No","1991","direct migration background","Urban Area","1054","1","1","1","2"
"No","1991","direct migration background","Rural Area","192","1","1","1","2"
"No","1991","indirect migration background","Urban Area","130","1","1","1","2"
"No","1991","indirect migration background","Rural Area","18","","","","2"
"Yes","1991","no migration background","Urban Area","","","","","1"
"Yes","1991","no migration background","Rural Area","","","","","1"
"Yes","1991","direct migration background","Urban Area","","","","","1"
"Yes","1991","direct migration background","Rural Area","","","","","1"
"Yes","1991","indirect migration background","Urban Area","","","","","1"
"Yes","1991","indirect migration background","Rural Area","","","","","1"
"No","1992","no migration background","Urban Area","2177","1","1","1","2"
"No","1992","no migration background","Rural Area","1456","1","1","1","2"
"No","1992","direct migration background","Urban Area","1009","1","1","1","2"
"No","1992","direct migration background","Rural Area","179","1","1","1","2"
"No","1992","indirect migration background","Urban Area","140","1","1","1","2"
"No","1992","indirect migration background","Rural Area","27","","","","2"
"Yes","1992","no migration background","Urban Area","","","","","1"
"Yes","1992","no migration background","Rural Area","","","","","1"
"Yes","1992","direct migration background","Urban Area","","","","","1"
"Yes","1992","direct migration background","Rural Area","","","","","1"
"Yes","1992","indirect migration background","Urban Area","","","","","1"
"Yes","1992","indirect migration background","Rural Area","","","","","1"
"No","1993","no migration background","Urban Area","2206","1","1","1","2"
"No","1993","no migration background","Rural Area","1389","1","1","1","2"
"No","1993","direct migration background","Urban Area","998","1","1","1","2"
"No","1993","direct migration background","Rural Area","171","1","1","1","2"
"No","1993","indirect migration background","Urban Area","164","1","1","1","2"
"No","1993","indirect migration background","Rural Area","35","1","1","1","2"
"Yes","1993","no migration background","Urban Area","","","","","1"
"Yes","1993","no migration background","Rural Area","","","","","1"
"Yes","1993","direct migration background","Urban Area","","","","","1"
"Yes","1993","direct migration background","Rural Area","","","","","1"
"Yes","1993","indirect migration background","Urban Area","","","","","1"
"Yes","1993","indirect migration background","Rural Area","","","","","1"
"No","1994","no migration background","Urban Area","2067","1","1","1","2"
"No","1994","no migration background","Rural Area","1319","1","1","1","2"
"No","1994","direct migration background","Urban Area","858","1","1","1","2"
"No","1994","direct migration background","Rural Area","156","1","1","1","2"
"No","1994","indirect migration background","Urban Area","173","1","1","1","2"
"No","1994","indirect migration background","Rural Area","31","1","1","1","2"
"Yes","1994","no migration background","Urban Area","","","","","1"
"Yes","1994","no migration background","Rural Area","","","","","1"
"Yes","1994","direct migration background","Urban Area","","","","","1"
"Yes","1994","direct migration background","Rural Area","","","","","1"
"Yes","1994","indirect migration background","Urban Area","","","","","1"
"Yes","1994","indirect migration background","Rural Area","","","","","1"
"No","1995","no migration background","Urban Area","1929","1","1","1","2"
"No","1995","no migration background","Rural Area","1397","1","1","1","2"
"No","1995","direct migration background","Urban Area","911","1","1","1","2"
"No","1995","direct migration background","Rural Area","167","1","1","1","2"
"No","1995","indirect migration background","Urban Area","166","1","1","1","2"
"No","1995","indirect migration background","Rural Area","30","1","1","1","2"
"Yes","1995","no migration background","Urban Area","","","","","1"
"Yes","1995","no migration background","Rural Area","","","","","1"
"Yes","1995","direct migration background","Urban Area","","","","","1"
"Yes","1995","direct migration background","Rural Area","","","","","1"
"Yes","1995","indirect migration background","Urban Area","","","","","1"
"Yes","1995","indirect migration background","Rural Area","","","","","1"
"No","1996","no migration background","Urban Area","1934","1","1","1","2"
"No","1996","no migration background","Rural Area","1341","1","1","1","2"
"No","1996","direct migration background","Urban Area","830","1","1","1","2"
"No","1996","direct migration background","Rural Area","159","1","1","1","2"
"No","1996","indirect migration background","Urban Area","166","1","1","1","2"
"No","1996","indirect migration background","Rural Area","35","1","1","1","2"
"Yes","1996","no migration background","Urban Area","","","","","1"
"Yes","1996","no migration background","Rural Area","","","","","1"
"Yes","1996","direct migration background","Urban Area","","","","","1"
"Yes","1996","direct migration background","Rural Area","","","","","1"
"Yes","1996","indirect migration background","Urban Area","","","","","1"
"Yes","1996","indirect migration background","Rural Area","","","","","1"
"No","1997","no migration background","Urban Area","627","1","1","1","2"
"No","1997","no migration background","Rural Area","494","1","1","1","2"
"No","1997","direct migration background","Urban Area","191","1","1","1","2"
"No","1997","direct migration background","Rural Area","49","1","1","1","2"
"No","1997","indirect migration background","Urban Area","56","1","1","1","2"
"No","1997","indirect migration background","Rural Area","9","","","","2"
"Yes","1997","no migration background","Urban Area","","","","","1"
"Yes","1997","no migration background","Rural Area","","","","","1"
"Yes","1997","direct migration background","Urban Area","","","","","1"
"Yes","1997","direct migration background","Rural Area","","","","","1"
"Yes","1997","indirect migration background","Urban Area","","","","","1"
"Yes","1997","indirect migration background","Rural Area","","","","","1"
"No","1998","no migration background","Urban Area","679","1","1","1","2"
"No","1998","no migration background","Rural Area","573","1","1","1","2"
"No","1998","direct migration background","Urban Area","168","1","1","1","2"
"No","1998","direct migration background","Rural Area","37","1","1","1","2"
"No","1998","indirect migration background","Urban Area","43","1","1","1","2"
"No","1998","indirect migration background","Rural Area","5","","","","2"
"Yes","1998","no migration background","Urban Area","","","","","1"
"Yes","1998","no migration background","Rural Area","","","","","1"
"Yes","1998","direct migration background","Urban Area","","","","","1"
"Yes","1998","direct migration background","Rural Area","","","","","1"
"Yes","1998","indirect migration background","Urban Area","","","","","1"
"Yes","1998","indirect migration background","Rural Area","","","","","1"
"No","1999","no migration background","Urban Area","663","1","1","1","2"
"No","1999","no migration background","Rural Area","524","1","1","1","2"
"No","1999","indirect migration background","Urban Area","45","1","1","1","2"
"No","1999","direct migration background","Urban Area","138","1","1","1","2"
"No","1999","direct migration background","Rural Area","31","1","1","1","2"
"No","1999","indirect migration background","Rural Area","12","","","","2"
"Yes","1999","no migration background","Urban Area","","","","","1"
"Yes","1999","no migration background","Rural Area","","","","","1"
"Yes","1999","direct migration background","Urban Area","","","","","1"
"Yes","1999","direct migration background","Rural Area","","","","","1"
"Yes","1999","indirect migration background","Urban Area","","","","","1"
"Yes","1999","indirect migration background","Rural Area","","","","","1"
"No","2000","no migration background","Urban Area","1280","1","1","1","2"
"No","2000","no migration background","Rural Area","847","1","1","1","2"
"No","2000","indirect migration background","Urban Area","62","1","1","1","2"
"No","2000","direct migration background","Urban Area","256","1","1","1","2"
"No","2000","direct migration background","Rural Area","66","1","1","1","2"
"No","2000","indirect migration background","Rural Area","11","","","","2"
"Yes","2000","no migration background","Urban Area","","","","","1"
"Yes","2000","direct migration background","Urban Area","","","","","1"
"Yes","2000","no migration background","Rural Area","","","","","1"
"Yes","2000","direct migration background","Rural Area","","","","","1"
"Yes","2000","indirect migration background","Urban Area","","","","","1"
"Yes","2000","indirect migration background","Rural Area","","","","","1"
"No","2001","no migration background","Urban Area","","","","","2"
"No","2001","no migration background","Rural Area","","","","","2"
"No","2001","indirect migration background","Urban Area","","","","","2"
"No","2001","direct migration background","Urban Area","","","","","2"
"No","2001","direct migration background","Rural Area","","","","","2"
"No","2001","indirect migration background","Rural Area","","","","","2"
"Yes","2001","no migration background","Urban Area","","","","","1"
"Yes","2001","direct migration background","Urban Area","","","","","1"
"Yes","2001","no migration background","Rural Area","","","","","1"
"Yes","2001","direct migration background","Rural Area","","","","","1"
"Yes","2001","indirect migration background","Urban Area","","","","","1"
"Yes","2001","indirect migration background","Rural Area","","","","","1"
"No","2002","no migration background","Urban Area","1198","0.281857988404628","0.268670378347378","0.295045598461878","2"
"No","2002","no migration background","Rural Area","817","0.332288333466317","0.313871970079037","0.350704696853597","2"
"No","2002","indirect migration background","Urban Area","65","0.300427855127767","0.241436217633393","0.359419492622141","2"
"No","2002","direct migration background","Urban Area","213","0.37676225637895","0.337924148216427","0.415600364541472","2"
"No","2002","direct migration background","Rural Area","39","0.384101174290918","0.295206308964826","0.472996039617009","2"
"No","2002","indirect migration background","Rural Area","9","","","","2"
"Yes","2002","no migration background","Urban Area","3273","0.718142011595372","0.704954401538122","0.731329621652622","1"
"Yes","2002","direct migration background","Urban Area","385","0.62323774362105","0.584399635458528","0.662075851783573","1"
"Yes","2002","no migration background","Rural Area","1696","0.667711666533683","0.649295303146403","0.686128029920963","1"
"Yes","2002","direct migration background","Rural Area","76","0.615898825709082","0.527003960382991","0.704793691035174","1"
"Yes","2002","indirect migration background","Urban Area","167","0.699572144872233","0.640580507377859","0.758563782366607","1"
"Yes","2002","indirect migration background","Rural Area","15","","","","1"
"No","2003","no migration background","Urban Area","1167","0.279802603423022","0.266352407923928","0.293252798922116","2"
"No","2003","no migration background","Rural Area","775","0.332241827302845","0.313366075301588","0.351117579304103","2"
"No","2003","direct migration background","Urban Area","191","0.35330820576442","0.31265204474341","0.39396436678543","2"
"No","2003","indirect migration background","Urban Area","77","0.306349071813534","0.247158995378611","0.365539148248456","2"
"No","2003","direct migration background","Rural Area","43","0.30855838829927","0.224862987201117","0.392253789397424","2"
"No","2003","indirect migration background","Rural Area","10","","","","2"
"Yes","2003","no migration background","Urban Area","3112","0.720197396576978","0.706747201077884","0.733647592076072","1"
"Yes","2003","direct migration background","Urban Area","340","0.64669179423558","0.60603563321457","0.68734795525659","1"
"Yes","2003","direct migration background","Rural Area","74","0.69144161170073","0.607746210602576","0.775137012798883","1"
"Yes","2003","no migration background","Rural Area","1617","0.667758172697155","0.648882420695897","0.686633924698412","1"
"Yes","2003","indirect migration background","Urban Area","156","0.693650928186466","0.634460851751544","0.752841004621389","1"
"Yes","2003","indirect migration background","Rural Area","18","","","","1"
"No","2004","no migration background","Urban Area","1136","0.290126625989976","0.276279242606992","0.303974009372961","2"
