"plb0196_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Full Time","1-pers.-HH","","","",""
"Yes","1986","Full Time","(Married) couple without C. ","","","",""
"Yes","1986","Full Time","Single parent ","","","",""
"Yes","1986","Full Time","Couple + C. LE 16 ","","","",""
"Yes","1986","Full Time","Couple + C. GT 16 ","","","",""
"Yes","1986","Full Time","Couple + C. LE and GT 16","","","",""
"Yes","1986","Part Time","1-pers.-HH","","","",""
"Yes","1986","Part Time","(Married) couple without C. ","","","",""
"Yes","1986","Part Time","Single parent ","","","",""
"Yes","1986","Part Time","Couple + C. LE 16 ","","","",""
"Yes","1986","Part Time","Couple + C. GT 16 ","","","",""
"Yes","1986","Part Time","Couple + C. LE and GT 16","","","",""
"Yes","1986","Not Working","1-pers.-HH","","","",""
"Yes","1986","Not Working","(Married) couple without C. ","","","",""
"Yes","1986","Not Working","Single parent ","","","",""
"Yes","1986","Not Working","Couple + C. LE 16 ","","","",""
"Yes","1986","Not Working","Couple + C. GT 16 ","","","",""
"Yes","1986","Not Working","Couple + C. LE and GT 16","","","",""
"No","1986","Full Time","1-pers.-HH","244","1","1","1"
"No","1986","Full Time","(Married) couple without C. ","665","1","1","1"
"No","1986","Full Time","Single parent ","147","1","1","1"
"No","1986","Full Time","Couple + C. LE 16 ","781","1","1","1"
"No","1986","Full Time","Couple + C. GT 16 ","630","1","1","1"
"No","1986","Full Time","Couple + C. LE and GT 16","434","1","1","1"
"No","1986","Part Time","1-pers.-HH","77","1","1","1"
"No","1986","Part Time","(Married) couple without C. ","184","1","1","1"
"No","1986","Part Time","Single parent ","62","1","1","1"
"No","1986","Part Time","Couple + C. LE 16 ","297","1","1","1"
"No","1986","Part Time","Couple + C. GT 16 ","283","1","1","1"
"No","1986","Part Time","Couple + C. LE and GT 16","172","1","1","1"
"No","1986","Not Working","1-pers.-HH","8","","",""
"No","1986","Not Working","(Married) couple without C. ","13","","",""
"No","1986","Not Working","Single parent ","12","","",""
"No","1986","Not Working","Couple + C. LE 16 ","31","1","1","1"
"No","1986","Not Working","Couple + C. GT 16 ","20","","",""
"No","1986","Not Working","Couple + C. LE and GT 16","25","","",""
"Yes","1987","Full Time","1-pers.-HH","","","",""
"Yes","1987","Full Time","(Married) couple without C. ","","","",""
"Yes","1987","Full Time","Single parent ","","","",""
"Yes","1987","Full Time","Couple + C. LE 16 ","","","",""
"Yes","1987","Full Time","Couple + C. GT 16 ","","","",""
"Yes","1987","Full Time","Couple + C. LE and GT 16","","","",""
"Yes","1987","Part Time","1-pers.-HH","","","",""
"Yes","1987","Part Time","(Married) couple without C. ","","","",""
"Yes","1987","Part Time","Single parent ","","","",""
"Yes","1987","Part Time","Couple + C. LE 16 ","","","",""
"Yes","1987","Part Time","Couple + C. GT 16 ","","","",""
"Yes","1987","Part Time","Couple + C. LE and GT 16","","","",""
"Yes","1987","Not Working","1-pers.-HH","","","",""
"Yes","1987","Not Working","(Married) couple without C. ","","","",""
"Yes","1987","Not Working","Single parent ","","","",""
"Yes","1987","Not Working","Couple + C. LE 16 ","","","",""
"Yes","1987","Not Working","Couple + C. GT 16 ","","","",""
"Yes","1987","Not Working","Couple + C. LE and GT 16","","","",""
"No","1987","Full Time","1-pers.-HH","","","",""
