"plb0196_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1986","indirect migration background","general elemantary","22","","","","2"
"No","1986","indirect migration background","inadequately","3","","","","2"
"No","1986","indirect migration background","in school","","","","","2"
"No","1986","indirect migration background","higher vocational","2","","","","2"
"No","1986","indirect migration background","higher education","3","","","","2"
"No","1986","no migration background","higher education","267","1","1","1","2"
"No","1986","indirect migration background","middle vocational","37","1","1","1","2"
"No","1986","indirect migration background","vocational + Abi","","","","","2"
"No","1986","no migration background","higher vocational","212","1","1","1","2"
"No","1986","direct migration background","vocational + Abi","57","1","1","1","2"
"No","1986","no migration background","middle vocational","1605","1","1","1","2"
"No","1986","direct migration background","middle vocational","482","1","1","1","2"
"No","1986","direct migration background","higher vocational","19","","","","2"
"No","1986","direct migration background","higher education","54","1","1","1","2"
"No","1986","no migration background","inadequately","22","","","","2"
"No","1986","no migration background","general elemantary","625","1","1","1","2"
"No","1986","no migration background","in school","3","","","","2"
"No","1986","no migration background","vocational + Abi","61","1","1","1","2"
"No","1986","direct migration background","in school","1","","","","2"
"No","1986","direct migration background","inadequately","334","1","1","1","2"
"No","1986","direct migration background","general elemantary","462","1","1","1","2"
"Yes","1986","no migration background","in school","","","","","1"
"Yes","1986","no migration background","inadequately","","","","","1"
"Yes","1986","no migration background","general elemantary","","","","","1"
"Yes","1986","no migration background","middle vocational","","","","","1"
"Yes","1986","no migration background","vocational + Abi","","","","","1"
"Yes","1986","no migration background","higher vocational","","","","","1"
"Yes","1986","no migration background","higher education","","","","","1"
"Yes","1986","direct migration background","in school","","","","","1"
"Yes","1986","direct migration background","inadequately","","","","","1"
"Yes","1986","direct migration background","general elemantary","","","","","1"
"Yes","1986","direct migration background","middle vocational","","","","","1"
"Yes","1986","direct migration background","vocational + Abi","","","","","1"
"Yes","1986","direct migration background","higher vocational","","","","","1"
"Yes","1986","direct migration background","higher education","","","","","1"
"Yes","1986","indirect migration background","in school","","","","","1"
"Yes","1986","indirect migration background","inadequately","","","","","1"
"Yes","1986","indirect migration background","general elemantary","","","","","1"
"Yes","1986","indirect migration background","middle vocational","","","","","1"
"Yes","1986","indirect migration background","vocational + Abi","","","","","1"
"Yes","1986","indirect migration background","higher vocational","","","","","1"
"Yes","1986","indirect migration background","higher education","","","","","1"
"No","1987","indirect migration background","higher education","","","","","2"
"No","1987","indirect migration background","vocational + Abi","","","","","2"
"No","1987","indirect migration background","general elemantary","","","","","2"
"No","1987","indirect migration background","inadequately","","","","","2"
"No","1987","indirect migration background","in school","","","","","2"
"No","1987","indirect migration background","higher vocational","","","","","2"
"No","1987","indirect migration background","middle vocational","","","","","2"
"No","1987","no migration background","higher education","","","","","2"
"No","1987","no migration background","general elemantary","","","","","2"
"No","1987","direct migration background","higher vocational","","","","","2"
"No","1987","direct migration background","higher education","","","","","2"
"No","1987","no migration background","middle vocational","","","","","2"
"No","1987","no migration background","higher vocational","","","","","2"
"No","1987","direct migration background","middle vocational","","","","","2"
"No","1987","direct migration background","vocational + Abi","","","","","2"
"No","1987","no migration background","inadequately","","","","","2"
"No","1987","no migration background","in school","","","","","2"
"No","1987","no migration background","vocational + Abi","","","","","2"
"No","1987","direct migration background","in school","","","","","2"
"No","1987","direct migration background","inadequately","","","","","2"
"No","1987","direct migration background","general elemantary","","","","","2"
"Yes","1987","no migration background","in school","","","","","1"
"Yes","1987","no migration background","inadequately","","","","","1"
"Yes","1987","no migration background","general elemantary","","","","","1"
"Yes","1987","no migration background","middle vocational","","","","","1"
"Yes","1987","no migration background","vocational + Abi","","","","","1"
"Yes","1987","no migration background","higher vocational","","","","","1"
"Yes","1987","no migration background","higher education","","","","","1"
"Yes","1987","direct migration background","in school","","","","","1"
"Yes","1987","direct migration background","inadequately","","","","","1"
"Yes","1987","direct migration background","general elemantary","","","","","1"
"Yes","1987","direct migration background","middle vocational","","","","","1"
"Yes","1987","direct migration background","vocational + Abi","","","","","1"
"Yes","1987","direct migration background","higher vocational","","","","","1"
"Yes","1987","direct migration background","higher education","","","","","1"
"Yes","1987","indirect migration background","in school","","","","","1"
"Yes","1987","indirect migration background","inadequately","","","","","1"
"Yes","1987","indirect migration background","general elemantary","","","","","1"
"Yes","1987","indirect migration background","middle vocational","","","","","1"
"Yes","1987","indirect migration background","vocational + Abi","","","","","1"
"Yes","1987","indirect migration background","higher vocational","","","","","1"
"Yes","1987","indirect migration background","higher education","","","","","1"
"No","1988","indirect migration background","in school","1","","","","2"
"No","1988","indirect migration background","higher vocational","2","","","","2"
"No","1988","indirect migration background","higher education","2","","","","2"
"No","1988","no migration background","general elemantary","571","1","1","1","2"
"No","1988","no migration background","higher education","273","1","1","1","2"
"No","1988","indirect migration background","inadequately","6","","","","2"
"No","1988","indirect migration background","general elemantary","29","","","","2"
"No","1988","no migration background","higher vocational","184","1","1","1","2"
"No","1988","no migration background","inadequately","20","","","","2"
"No","1988","indirect migration background","vocational + Abi","2","","","","2"
"No","1988","indirect migration background","middle vocational","41","1","1","1","2"
"No","1988","no migration background","in school","4","","","","2"
"No","1988","direct migration background","general elemantary","454","1","1","1","2"
"No","1988","direct migration background","middle vocational","432","1","1","1","2"
"No","1988","direct migration background","vocational + Abi","45","1","1","1","2"
"No","1988","direct migration background","higher vocational","27","","","","2"
"No","1988","direct migration background","higher education","35","1","1","1","2"
"No","1988","no migration background","middle vocational","1498","1","1","1","2"
"No","1988","no migration background","vocational + Abi","63","1","1","1","2"
"No","1988","direct migration background","in school","","","","","2"
"No","1988","direct migration background","inadequately","269","1","1","1","2"
"Yes","1988","no migration background","in school","","","","","1"
"Yes","1988","no migration background","inadequately","","","","","1"
"Yes","1988","no migration background","general elemantary","","","","","1"
"Yes","1988","no migration background","middle vocational","","","","","1"
"Yes","1988","no migration background","vocational + Abi","","","","","1"
"Yes","1988","no migration background","higher vocational","","","","","1"
"Yes","1988","no migration background","higher education","","","","","1"
"Yes","1988","direct migration background","in school","","","","","1"
"Yes","1988","direct migration background","inadequately","","","","","1"
"Yes","1988","direct migration background","general elemantary","","","","","1"
"Yes","1988","direct migration background","middle vocational","","","","","1"
"Yes","1988","direct migration background","vocational + Abi","","","","","1"
"Yes","1988","direct migration background","higher vocational","","","","","1"
"Yes","1988","direct migration background","higher education","","","","","1"
"Yes","1988","indirect migration background","in school","","","","","1"
"Yes","1988","indirect migration background","inadequately","","","","","1"
"Yes","1988","indirect migration background","general elemantary","","","","","1"
"Yes","1988","indirect migration background","middle vocational","","","","","1"
"Yes","1988","indirect migration background","vocational + Abi","","","","","1"
"Yes","1988","indirect migration background","higher vocational","","","","","1"
"Yes","1988","indirect migration background","higher education","","","","","1"
"No","1989","indirect migration background","general elemantary","42","1","1","1","2"
"No","1989","no migration background","higher education","254","1","1","1","2"
"No","1989","no migration background","higher vocational","190","1","1","1","2"
"No","1989","indirect migration background","inadequately","4","","","","2"
"No","1989","indirect migration background","higher vocational","2","","","","2"
"No","1989","indirect migration background","in school","5","","","","2"
"No","1989","indirect migration background","higher education","2","","","","2"
"No","1989","no migration background","general elemantary","526","1","1","1","2"
"No","1989","no migration background","middle vocational","1437","1","1","1","2"
"No","1989","no migration background","vocational + Abi","64","1","1","1","2"
"No","1989","no migration background","inadequately","22","","","","2"
"No","1989","indirect migration background","middle vocational","39","1","1","1","2"
"No","1989","indirect migration background","vocational + Abi","","","","","2"
"No","1989","no migration background","in school","4","","","","2"
"No","1989","direct migration background","in school","1","","","","2"
