"plj0046","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","no migration background","in school","67","0.292517218448845","0.233725273480373","0.351309163417317"
"Big worries","1999","no migration background","inadequately","32","0.564464918604573","0.4457403121502","0.683189525058947"
"Big worries","1999","no migration background","general elemantary","670","0.425129430537459","0.401166781017256","0.449092080057663"
"Big worries","1999","no migration background","middle vocational","2448","0.415982741448616","0.403448289045024","0.428517193852209"
"Big worries","1999","no migration background","vocational + Abi","93","0.301842656805258","0.254290136437439","0.349395177173076"
"Big worries","1999","no migration background","higher vocational","277","0.357802474057359","0.323427389607571","0.392177558507148"
"Big worries","1999","no migration background","higher education","423","0.234456323407134","0.214669121969141","0.254243524845126"
"Big worries","1999","direct migration background","in school","3","","",""
"Big worries","1999","direct migration background","inadequately","66","0.186101637245772","0.144672257984318","0.227531016507227"
"Big worries","1999","direct migration background","general elemantary","140","0.26626906117501","0.231307350457528","0.301230771892491"
"Big worries","1999","direct migration background","middle vocational","212","0.282228221606788","0.250862646272456","0.31359379694112"
"Big worries","1999","direct migration background","vocational + Abi","34","0.224704504185282","0.152677930591148","0.296731077779415"
"Big worries","1999","direct migration background","higher vocational","18","","",""
"Big worries","1999","direct migration background","higher education","34","0.24655874258505","0.183418466324999","0.3096990188451"
"Big worries","1999","indirect migration background","in school","11","","",""
"Big worries","1999","indirect migration background","inadequately","4","","",""
"Big worries","1999","indirect migration background","general elemantary","52","0.300554792788118","0.235700884229486","0.36540870134675"
"Big worries","1999","indirect migration background","middle vocational","56","0.324218605618201","0.262082801026822","0.38635441020958"
"Big worries","1999","indirect migration background","vocational + Abi","3","","",""
"Big worries","1999","indirect migration background","higher vocational","4","","",""
"Big worries","1999","indirect migration background","higher education","1","","",""
"Some worries","1999","no migration background","in school","102","0.418440905387106","0.354688266589046","0.482193544185166"
"Some worries","1999","no migration background","inadequately","21","","",""
"Some worries","1999","no migration background","general elemantary","734","0.440622870206773","0.416558467693702","0.464687272719844"
"Some worries","1999","no migration background","middle vocational","2742","0.45831174857858","0.445640772475553","0.470982724681608"
"Some worries","1999","no migration background","vocational + Abi","166","0.424923765642809","0.373717300298623","0.476130230986995"
"Some worries","1999","no migration background","higher vocational","344","0.460971543216498","0.425225276215196","0.496717810217799"
"Some worries","1999","no migration background","higher education","827","0.462630990360972","0.439343532489358","0.485918448232586"
"Some worries","1999","direct migration background","in school","13","","",""
"Some worries","1999","direct migration background","inadequately","165","0.476479583746692","0.423313190192312","0.529645977301073"
"Some worries","1999","direct migration background","general elemantary","288","0.449380484691878","0.41003482697753","0.488726142406226"
"Some worries","1999","direct migration background","middle vocational","360","0.452402442083119","0.41771653383899","0.487088350327248"
"Some worries","1999","direct migration background","vocational + Abi","62","0.529927395667621","0.443799488874795","0.616055302460447"
"Some worries","1999","direct migration background","higher vocational","23","","",""
"Some worries","1999","direct migration background","higher education","86","0.404364478443951","0.332469531219359","0.476259425668544"
"Some worries","1999","indirect migration background","in school","25","","",""
"Some worries","1999","indirect migration background","inadequately","8","","",""
"Some worries","1999","indirect migration background","general elemantary","95","0.50499918073924","0.434278607494515","0.575719753983965"
"Some worries","1999","indirect migration background","middle vocational","108","0.407016293267566","0.341801349838129","0.472231236697002"
"Some worries","1999","indirect migration background","vocational + Abi","8","","",""
"Some worries","1999","indirect migration background","higher vocational","13","","",""
"Some worries","1999","indirect migration background","higher education","11","","",""
"No worries","1999","no migration background","in school","61","0.289041876164049","0.230456858211793","0.347626894116304"
"No worries","1999","no migration background","inadequately","14","","",""
"No worries","1999","no migration background","general elemantary","231","0.134247699255768","0.117722775459405","0.150772623052131"
"No worries","1999","no migration background","middle vocational","750","0.125705509972804","0.117274863146744","0.134136156798864"
"No worries","1999","no migration background","vocational + Abi","99","0.273233577551933","0.227073020721208","0.319394134382658"
"No worries","1999","no migration background","higher vocational","126","0.181225982726143","0.153602397265056","0.20884956818723"
"No worries","1999","no migration background","higher education","511","0.302912686231894","0.281450659386704","0.324374713077084"
"No worries","1999","direct migration background","in school","9","","",""
"No worries","1999","direct migration background","inadequately","108","0.337418779007535","0.287085824012535","0.387751734002535"
"No worries","1999","direct migration background","general elemantary","186","0.284350454133112","0.248669121299545","0.320031786966679"
"No worries","1999","direct migration background","middle vocational","219","0.265369336310093","0.234599885528743","0.296138787091443"
"No worries","1999","direct migration background","vocational + Abi","33","0.245368100147097","0.171112388282489","0.319623812011706"
"No worries","1999","direct migration background","higher vocational","12","","",""
"No worries","1999","direct migration background","higher education","59","0.349076778970999","0.279245991759533","0.418907566182465"
"No worries","1999","indirect migration background","in school","26","","",""
"No worries","1999","indirect migration background","inadequately","5","","",""
"No worries","1999","indirect migration background","general elemantary","45","0.194446026472642","0.138464551722192","0.250427501223091"
"No worries","1999","indirect migration background","middle vocational","54","0.268765101114233","0.209916690608657","0.327613511619809"
"No worries","1999","indirect migration background","vocational + Abi","12","","",""
"No worries","1999","indirect migration background","higher vocational","","","",""
"No worries","1999","indirect migration background","higher education","14","","",""
"Big worries","2000","no migration background","in school","74","0.199989439435607","0.159010667438779","0.240968211432435"
"Big worries","2000","no migration background","inadequately","40","0.456690644988406","0.359545286922239","0.553836003054573"
