"plj0046","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1999","no migration background","(0) in school","66","0.290850274872291","0.23202905071459","0.349671499029993"
"Big worries","1999","no migration background","(1a) inadequately completed","38","0.628679843954224","0.519332940283025","0.738026747625422"
"Big worries","1999","no migration background","(1b) general elementary school","524","0.440648244132968","0.413004239145765","0.468292249120171"
"Big worries","1999","no migration background","(1c) basic vocational qualification","1497","0.443133892316046","0.426502296743855","0.459765487888237"
"Big worries","1999","no migration background","(2b) intermediate general qualification","156","0.371016838604855","0.324761975568787","0.417271701640924"
"Big worries","1999","no migration background","(2a) intermediate vocational","1079","0.388280426763127","0.369877019676059","0.406683833850195"
"Big worries","1999","no migration background","(2c_gen) general maturity certificate","67","0.189585097526434","0.147100645391252","0.232069549661615"
"Big worries","1999","no migration background","(2c_voc) vocational maturity certificate","135","0.298141661024331","0.258244823930391","0.33803849811827"
"Big worries","1999","no migration background","(3a) lower tertiary education","259","0.275110032133381","0.245787700755647","0.304432363511116"
"Big worries","1999","no migration background","(3b) higher tertiary education","164","0.197954784513334","0.171477655449657","0.224431913577012"
"Big worries","1999","direct migration background","(0) in school","2","","",""
"Big worries","1999","direct migration background","(1a) inadequately completed","82","0.214662002625023","0.173595438141461","0.255728567108584"
"Big worries","1999","direct migration background","(1b) general elementary school","130","0.253971838834157","0.218362612560499","0.289581065107816"
"Big worries","1999","direct migration background","(1c) basic vocational qualification","167","0.301828542445684","0.264274789649462","0.339382295241906"
"Big worries","1999","direct migration background","(2b) intermediate general qualification","10","","",""
"Big worries","1999","direct migration background","(2a) intermediate vocational","26","","",""
"Big worries","1999","direct migration background","(2c_gen) general maturity certificate","15","","",""
"Big worries","1999","direct migration background","(2c_voc) vocational maturity certificate","38","0.236932693895214","0.166997169091787","0.306868218698641"
"Big worries","1999","direct migration background","(3a) lower tertiary education","13","","",""
"Big worries","1999","direct migration background","(3b) higher tertiary education","21","","",""
"Big worries","1999","indirect migration background","(0) in school","11","","",""
"Big worries","1999","indirect migration background","(1a) inadequately completed","4","","",""
"Big worries","1999","indirect migration background","(1b) general elementary school","34","0.350859549141652","0.268183618340423","0.433535479942881"
"Big worries","1999","indirect migration background","(1c) basic vocational qualification","34","0.397960251880329","0.302500602397501","0.493419901363156"
