"pli0095_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","(0) in school","Male","7","","",""
"Min 1x per week","1985","(0) in school","Female","5","","",""
"Min 1x per week","1985","(1a) inadequately completed","Male","70","0.149383971462331","0.114319151023816","0.184448791900846"
"Min 1x per week","1985","(1a) inadequately completed","Female","78","0.152018956550125","0.1208889231647","0.183148989935551"
"Min 1x per week","1985","(1b) general elementary school","Male","114","0.102338508526041","0.0821634695972575","0.122513547454825"
"Min 1x per week","1985","(1b) general elementary school","Female","211","0.107975371943464","0.0933637109833509","0.122587032903576"
"Min 1x per week","1985","(1c) basic vocational qualification","Male","242","0.0937417171520738","0.0816849085938783","0.105798525710269"
"Min 1x per week","1985","(1c) basic vocational qualification","Female","155","0.0883508447351303","0.0742539646711489","0.102447724799112"
"Min 1x per week","1985","(2b) intermediate general qualification","Male","15","","",""
"Min 1x per week","1985","(2b) intermediate general qualification","Female","32","0.113507017950204","0.077123417545166","0.149890618355241"
"Min 1x per week","1985","(2a) intermediate vocational","Male","53","0.0912360565470428","0.0675975813029454","0.11487453179114"
"Min 1x per week","1985","(2a) intermediate vocational","Female","65","0.0914608536489653","0.0709125184882797","0.112009188809651"
"Min 1x per week","1985","(2c_gen) general maturity certificate","Male","35","0.133114672090183","0.087601721252115","0.178627622928251"
"Min 1x per week","1985","(2c_gen) general maturity certificate","Female","20","","",""
"Min 1x per week","1985","(2c_voc) vocational maturity certificate","Male","38","0.135860170262488","0.0932159341419573","0.178504406383018"
"Min 1x per week","1985","(2c_voc) vocational maturity certificate","Female","23","","",""
"Min 1x per week","1985","(3a) lower tertiary education","Male","13","","",""
"Min 1x per week","1985","(3a) lower tertiary education","Female","7","","",""
"Min 1x per week","1985","(3b) higher tertiary education","Male","28","","",""
"Min 1x per week","1985","(3b) higher tertiary education","Female","24","","",""
"Min 1x per month","1985","(0) in school","Male","31","0.272308248113597","0.189496733884733","0.355119762342461"
"Min 1x per month","1985","(0) in school","Female","15","","",""
"Min 1x per month","1985","(1a) inadequately completed","Male","123","0.270109791002092","0.226432894661531","0.313786687342652"
"Min 1x per month","1985","(1a) inadequately completed","Female","126","0.211536831251171","0.176127204924421","0.246946457577921"
"Min 1x per month","1985","(1b) general elementary school","Male","262","0.24742518074087","0.218701814759608","0.276148546722132"
"Min 1x per month","1985","(1b) general elementary school","Female","361","0.183357157013542","0.165138606417442","0.201575707609641"
"Min 1x per month","1985","(1c) basic vocational qualification","Male","668","0.280115152000427","0.261539685242428","0.298690618758426"
"Min 1x per month","1985","(1c) basic vocational qualification","Female","356","0.225620710082474","0.204858664967259","0.246382755197689"
"Min 1x per month","1985","(2b) intermediate general qualification","Male","62","0.327750044852453","0.258793600317796","0.39670648938711"
"Min 1x per month","1985","(2b) intermediate general qualification","Female","72","0.221868938107352","0.174211434026569","0.269526442188135"
"Min 1x per month","1985","(2a) intermediate vocational","Male","159","0.266242990705522","0.229958094410165","0.302527887000879"
"Min 1x per month","1985","(2a) intermediate vocational","Female","184","0.241900300250014","0.211374394478298","0.272426206021729"
"Min 1x per month","1985","(2c_gen) general maturity certificate","Male","69","0.325609451802866","0.2628259632764","0.388392940329333"
"Min 1x per month","1985","(2c_gen) general maturity certificate","Female","48","0.280840532621214","0.21163623283156","0.350044832410868"
"Min 1x per month","1985","(2c_voc) vocational maturity certificate","Male","67","0.26114640899147","0.206477113919909","0.315815704063031"
"Min 1x per month","1985","(2c_voc) vocational maturity certificate","Female","46","0.236478566778156","0.170431119389364","0.302526014166949"
"Min 1x per month","1985","(3a) lower tertiary education","Male","41","0.228530121296237","0.166497094942694","0.290563147649781"
"Min 1x per month","1985","(3a) lower tertiary education","Female","18","","",""
"Min 1x per month","1985","(3b) higher tertiary education","Male","73","0.233142607335413","0.187591155560214","0.278694059110612"
"Min 1x per month","1985","(3b) higher tertiary education","Female","37","0.209752443379015","0.148730626967559","0.270774259790471"
