"pli0095_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","indirect migration background","higher education","1","","","","3"
"Min 1x per month","1985","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1985","no migration background","general elemantary","443","0.200619906201768","0.183360076753964","0.217879735649571","3"
"Min 1x per month","1985","no migration background","middle vocational","1094","0.254077466945469","0.240887907223548","0.267267026667389","3"
"Min 1x per month","1985","no migration background","higher vocational","139","0.237636045266748","0.202477473153993","0.272794617379503","3"
"Min 1x per month","1985","no migration background","higher education","143","0.222596819420136","0.190241636291923","0.254952002548349","3"
"Min 1x per month","1985","no migration background","vocational + Abi","49","0.277775226764548","0.210838138998133","0.344712314530962","3"
"Min 1x per month","1985","no migration background","inadequately","12","","","","3"
"Min 1x per month","1985","direct migration background","middle vocational","284","0.291879431867287","0.262243456409136","0.321515407325439","3"
"Min 1x per month","1985","direct migration background","vocational + Abi","37","0.39191997582548","0.297181351674123","0.486658599976838","3"
"Min 1x per month","1985","direct migration background","higher vocational","18","","","","3"
"Min 1x per month","1985","direct migration background","higher education","25","","","","3"
"Min 1x per month","1985","indirect migration background","in school","2","","","","3"
"Min 1x per month","1985","indirect migration background","inadequately","1","","","","3"
"Min 1x per month","1985","indirect migration background","general elemantary","14","","","","3"
"Min 1x per month","1985","indirect migration background","middle vocational","12","","","","3"
"Min 1x per month","1985","indirect migration background","vocational + Abi","","","","","3"
"Min 1x per month","1985","no migration background","in school","35","0.213516620126271","0.148795153750363","0.278238086502179","3"
"Min 1x per month","1985","direct migration background","in school","9","","","","3"
"Min 1x per month","1985","direct migration background","inadequately","212","0.284221314963451","0.25204825872108","0.316394371205822","3"
"Min 1x per month","1985","direct migration background","general elemantary","293","0.284742579904981","0.255501396971706","0.313983762838256","3"
"Min 1x per week","1985","no migration background","in school","10","","","","2"
"Min 1x per week","1985","no migration background","inadequately","10","","","","2"
"Min 1x per week","1985","no migration background","general elemantary","189","0.09481246845261","0.082186205425381","0.107438731479839","2"
"Min 1x per week","1985","no migration background","middle vocational","386","0.0908744520933803","0.0821661558693483","0.0995827483174124","2"
"Min 1x per week","1985","no migration background","vocational + Abi","23","","","","2"
"Min 1x per week","1985","no migration background","higher vocational","45","0.0797368031851677","0.0573609640788553","0.10211264229148","2"
"Min 1x per week","1985","no migration background","higher education","50","0.0819204669623995","0.0605901361583913","0.103250797766408","2"
"Min 1x per week","1985","direct migration background","in school","2","","","","2"
"Min 1x per week","1985","direct migration background","inadequately","126","0.167005060075796","0.14040022250185","0.193609897649742","2"
"Min 1x per week","1985","direct migration background","general elemantary","171","0.186189679700997","0.160967829445279","0.211411529956714","2"
"Min 1x per week","1985","direct migration background","middle vocational","160","0.164042889001426","0.139903038366997","0.188182739635855","2"
"Min 1x per week","1985","direct migration background","vocational + Abi","22","","","","2"
"Min 1x per week","1985","direct migration background","higher vocational","8","","","","2"
"Min 1x per week","1985","direct migration background","higher education","20","","","","2"
"Min 1x per week","1985","indirect migration background","in school","","","","","2"
"Min 1x per week","1985","indirect migration background","inadequately","","","","","2"
