"pli0095_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","no migration background","Urban Area","1460","0.23344323221012","0.222744846977791","0.244141617442448","3"
"Min 1x per month","1985","no migration background","Rural Area","467","0.23789039772195","0.218729687688623","0.257051107755278","3"
"Min 1x per month","1985","direct migration background","Urban Area","776","0.302859150539131","0.285108084678895","0.320610216399368","3"
"Min 1x per month","1985","direct migration background","Rural Area","114","0.278131780609677","0.230850110049919","0.325413451169435","3"
"Min 1x per month","1985","indirect migration background","Urban Area","26","","","","3"
"Min 1x per month","1985","indirect migration background","Rural Area","4","","","","3"
"Min 1x per week","1985","no migration background","Urban Area","563","0.0954387750857101","0.0880079534131505","0.10286959675827","2"
"Min 1x per week","1985","no migration background","Rural Area","154","0.0811187201582706","0.0688328853253583","0.0934045549911828","2"
"Min 1x per week","1985","direct migration background","Urban Area","451","0.164140055111175","0.149830772400862","0.178449337821488","2"
"Min 1x per week","1985","direct migration background","Rural Area","71","0.201440025228911","0.159118121352889","0.243761929104934","2"
"Min 1x per week","1985","indirect migration background","Urban Area","18","","","","2"
"Min 1x per week","1985","indirect migration background","Rural Area","4","","","","2"
"Never","1985","no migration background","Urban Area","1136","0.215510016859791","0.205111225639366","0.225908808080217","5"
"Never","1985","no migration background","Rural Area","354","0.212315321013775","0.193912631789454","0.230718010238096","5"
"Never","1985","direct migration background","Urban Area","438","0.164180127469399","0.149869441216221","0.178490813722577","5"
"Never","1985","indirect migration background","Urban Area","22","","","","5"
"Never","1985","direct migration background","Rural Area","50","0.193206888560741","0.151545768909934","0.234868008211547","5"
"Never","1985","indirect migration background","Rural Area","4","","","","5"
"Rarely","1985","no migration background","Urban Area","2847","0.455607975844379","0.443012720886551","0.468203230802206","4"
"Rarely","1985","no migration background","Rural Area","922","0.468675561106004","0.446219660585665","0.491131461626343","4"
"Rarely","1985","direct migration background","Urban Area","909","0.368820666880295","0.350181442809246","0.387459890951343","4"
"Rarely","1985","direct migration background","Rural Area","110","0.327221305600671","0.277711018478517","0.376731592722825","4"
"Rarely","1985","indirect migration background","Urban Area","59","0.419015020463641","0.332520154004918","0.505509886922365","4"
"Rarely","1985","indirect migration background","Rural Area","5","","","","4"
"Min 1x per month","1986","no migration background","Urban Area","1232","0.201523750315036","0.191180585573423","0.211866915056648","3"
"Min 1x per month","1986","no migration background","Rural Area","358","0.190096448731079","0.171934535364796","0.208258362097363","3"
"Min 1x per month","1986","direct migration background","Urban Area","683","0.272084630848007","0.254590596344463","0.289578665351551","3"
"Min 1x per month","1986","indirect migration background","Urban Area","38","0.189586054533314","0.123708831471163","0.255463277595465","3"
"Min 1x per month","1986","direct migration background","Rural Area","121","0.279043157119213","0.232516236948622","0.325570077289803","3"
"Min 1x per month","1986","indirect migration background","Rural Area","7","","","","3"
"Min 1x per week","1986","no migration background","Urban Area","455","0.0809160078268244","0.0738844079941937","0.0879476076594551","2"
"Min 1x per week","1986","no migration background","Rural Area","112","0.0665166185562544","0.0549827147976514","0.0780505223148574","2"
"Min 1x per week","1986","direct migration background","Urban Area","290","0.0959334560336016","0.0843568095074397","0.107510102559763","2"
"Min 1x per week","1986","direct migration background","Rural Area","43","0.0838696470968139","0.0551158617107382","0.11262343248289","2"
"Min 1x per week","1986","indirect migration background","Urban Area","13","","","","2"
"Min 1x per week","1986","indirect migration background","Rural Area","","","","","2"
"Never","1986","no migration background","Urban Area","1194","0.23620892317761","0.225256889708786","0.247160956646433","5"
"Never","1986","no migration background","Rural Area","369","0.238653832523366","0.21892355310583","0.258384111940901","5"
"Never","1986","direct migration background","Urban Area","514","0.209789705480873","0.193784510947705","0.225794900014041","5"
"Never","1986","direct migration background","Rural Area","61","0.168060017297678","0.129272482043334","0.206847552552023","5"
"Never","1986","indirect migration background","Urban Area","21","","","","5"
"Never","1986","indirect migration background","Rural Area","3","","","","5"
"Rarely","1986","no migration background","Urban Area","2897","0.48135131868053","0.468468020924234","0.494234616436827","4"
"Rarely","1986","no migration background","Rural Area","954","0.504733100189301","0.481590695096106","0.527875505282495","4"
"Rarely","1986","direct migration background","Urban Area","999","0.422192207637518","0.402776897479243","0.441607517795793","4"
"Rarely","1986","direct migration background","Rural Area","132","0.469027178486295","0.417260639064564","0.520793717908027","4"
"Rarely","1986","indirect migration background","Urban Area","64","0.502176869234919","0.418144903091102","0.586208835378737","4"
"Rarely","1986","indirect migration background","Rural Area","9","","","","4"
"Min 1x per month","1987","no migration background","Urban Area","","","","","3"
"Min 1x per month","1987","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1987","no migration background","Rural Area","","","","","3"
"Min 1x per month","1987","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1987","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1987","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1987","no migration background","Urban Area","","","","","2"
"Min 1x per week","1987","no migration background","Rural Area","","","","","2"
"Min 1x per week","1987","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1987","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1987","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1987","indirect migration background","Rural Area","","","","","2"
"Never","1987","no migration background","Urban Area","","","","","5"
"Never","1987","no migration background","Rural Area","","","","","5"
"Never","1987","direct migration background","Urban Area","","","","","5"
"Never","1987","indirect migration background","Urban Area","","","","","5"
"Never","1987","direct migration background","Rural Area","","","","","5"
"Never","1987","indirect migration background","Rural Area","","","","","5"
"Rarely","1987","no migration background","Rural Area","","","","","4"
"Rarely","1987","no migration background","Urban Area","","","","","4"
"Rarely","1987","direct migration background","Rural Area","","","","","4"
"Rarely","1987","direct migration background","Urban Area","","","","","4"
"Rarely","1987","indirect migration background","Rural Area","","","","","4"
"Rarely","1987","indirect migration background","Urban Area","","","","","4"
"Min 1x per month","1988","no migration background","Rural Area","358","0.210023338181947","0.190345649531508","0.229701026832385","3"
"Min 1x per month","1988","no migration background","Urban Area","1137","0.204282680312891","0.19353225153032","0.215033109095461","3"
"Min 1x per month","1988","direct migration background","Urban Area","567","0.219261194229496","0.202515219244892","0.236007169214101","3"
"Min 1x per month","1988","direct migration background","Rural Area","104","0.266571846952864","0.21915193028875","0.313991763616979","3"
"Min 1x per month","1988","indirect migration background","Urban Area","52","0.269984418170974","0.20767320592614","0.332295630415807","3"
"Min 1x per month","1988","indirect migration background","Rural Area","12","","","","3"
"Min 1x per week","1988","no migration background","Urban Area","379","0.0695908826332126","0.0628059778331094","0.0763757874333158","2"
"Min 1x per week","1988","no migration background","Rural Area","110","0.0686080490773323","0.0563960447137909","0.0808200534408736","2"
"Min 1x per week","1988","direct migration background","Urban Area","312","0.105442590525064","0.0930120844625746","0.117873096587554","2"
"Min 1x per week","1988","direct migration background","Rural Area","40","0.0971720793495213","0.0654071351737652","0.128937023525277","2"
"Min 1x per week","1988","indirect migration background","Urban Area","22","","","","2"
"Min 1x per week","1988","indirect migration background","Rural Area","3","","","","2"
"Never","1988","no migration background","Urban Area","1180","0.245391937231892","0.233917762149406","0.256866112314379","5"
"Never","1988","no migration background","Rural Area","309","0.216350245693495","0.196458501168676","0.236241990218314","5"
"Never","1988","direct migration background","Urban Area","571","0.261761614164289","0.243969483507214","0.279553744821364","5"
"Never","1988","indirect migration background","Urban Area","33","0.197840320047165","0.141926572324867","0.253754067769463","5"
"Never","1988","direct migration background","Rural Area","66","0.196749580763085","0.154115466395397","0.239383695130772","5"
"Never","1988","indirect migration background","Rural Area","4","","","","5"
"Rarely","1988","no migration background","Urban Area","2707","0.480734499822004","0.467412237312467","0.494056762331542","4"
"Rarely","1988","no migration background","Rural Area","869","0.505018367047227","0.480864798500558","0.529171935593895","4"
"Rarely","1988","direct migration background","Urban Area","895","0.41353460108115","0.393602467397264","0.433466734765036","4"
"Rarely","1988","direct migration background","Rural Area","124","0.43950649293453","0.386278168134317","0.492734817734743","4"
"Rarely","1988","indirect migration background","Urban Area","88","0.492260019338541","0.422090460092052","0.562429578585029","4"
"Rarely","1988","indirect migration background","Rural Area","9","","","","4"
"Min 1x per month","1989","no migration background","Urban Area","","","","","3"
"Min 1x per month","1989","no migration background","Rural Area","","","","","3"
"Min 1x per month","1989","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1989","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1989","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1989","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1989","no migration background","Urban Area","","","","","2"
"Min 1x per week","1989","no migration background","Rural Area","","","","","2"
"Min 1x per week","1989","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1989","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1989","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1989","indirect migration background","Rural Area","","","","","2"
"Never","1989","no migration background","Urban Area","","","","","5"
"Never","1989","no migration background","Rural Area","","","","","5"
"Never","1989","direct migration background","Urban Area","","","","","5"
"Never","1989","indirect migration background","Urban Area","","","","","5"
"Never","1989","direct migration background","Rural Area","","","","","5"
"Never","1989","indirect migration background","Rural Area","","","","","5"
"Rarely","1989","no migration background","Urban Area","","","","","4"
"Rarely","1989","no migration background","Rural Area","","","","","4"
"Rarely","1989","direct migration background","Urban Area","","","","","4"
"Rarely","1989","direct migration background","Rural Area","","","","","4"
"Rarely","1989","indirect migration background","Urban Area","","","","","4"
"Rarely","1989","indirect migration background","Rural Area","","","","","4"
"Min 1x per month","1990","no migration background","Urban Area","429","0.290301266510577","0.267145114458204","0.31345741856295","3"
"Min 1x per month","1990","no migration background","Rural Area","786","0.277269443147812","0.260387399743948","0.294151486551677","3"
