"pli0095_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","lower secondary degree","in school","","","",""
"Min 1x per week","1985","lower secondary degree","inadequately","","","",""
"Min 1x per week","1985","lower secondary degree","general elemantary","217","0.10119931809126","0.0878982955114557","0.114500340671065"
"Min 1x per week","1985","lower secondary degree","middle vocational","309","0.0925913534392574","0.0824706531908106","0.102712053687704"
"Min 1x per week","1985","lower secondary degree","vocational + Abi","1","","",""
"Min 1x per week","1985","lower secondary degree","higher vocational","19","","",""
"Min 1x per week","1985","lower secondary degree","higher education","2","","",""
"Min 1x per week","1985","secondary school degree","in school","","","",""
"Min 1x per week","1985","secondary school degree","inadequately","","","",""
"Min 1x per week","1985","secondary school degree","general elemantary","47","0.0982029722626311","0.0712990327360319","0.12510691178923"
"Min 1x per week","1985","secondary school degree","middle vocational","101","0.0933213609550579","0.076361351377749","0.110281370532367"
"Min 1x per week","1985","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1985","secondary school degree","higher vocational","17","","",""
"Min 1x per week","1985","secondary school degree","higher education","5","","",""
"Min 1x per week","1985","college entrance qualification","in school","","","",""
"Min 1x per week","1985","college entrance qualification","inadequately","","","",""
"Min 1x per week","1985","college entrance qualification","general elemantary","","","",""
"Min 1x per week","1985","college entrance qualification","middle vocational","42","0.124973390463616","0.0871732135926191","0.162773567334612"
"Min 1x per week","1985","college entrance qualification","vocational + Abi","26","","",""
"Min 1x per week","1985","college entrance qualification","higher vocational","16","","",""
"Min 1x per week","1985","college entrance qualification","higher education","53","0.0892320039335352","0.0665158602242678","0.111948147642802"
"Min 1x per week","1985","Other degree","in school","","","",""
"Min 1x per week","1985","Other degree","inadequately","4","","",""
"Min 1x per week","1985","Other degree","general elemantary","104","0.195295453391148","0.163495592557176","0.227095314225119"
"Min 1x per week","1985","Other degree","middle vocational","81","0.146046961715863","0.113490130282478","0.178603793149248"
"Min 1x per week","1985","Other degree","vocational + Abi","18","","",""
"Min 1x per week","1985","Other degree","higher vocational","1","","",""
"Min 1x per week","1985","Other degree","higher education","10","","",""
"Min 1x per week","1985","no degree/no degree yet","in school","12","","",""
"Min 1x per week","1985","no degree/no degree yet","inadequately","131","0.152385129820207","0.127619783333421","0.177150476306994"
"Min 1x per week","1985","no degree/no degree yet","general elemantary","","","",""
"Min 1x per week","1985","no degree/no degree yet","middle vocational","16","","",""
"Min 1x per week","1985","no degree/no degree yet","vocational + Abi","","","",""
"Min 1x per week","1985","no degree/no degree yet","higher vocational","","","",""
"Min 1x per week","1985","no degree/no degree yet","higher education","2","","",""
"Min 1x per month","1985","lower secondary degree","in school","","","",""
"Min 1x per month","1985","lower secondary degree","inadequately","","","",""
"Min 1x per month","1985","lower secondary degree","general elemantary","415","0.192706554184192","0.175311391400413","0.21010171696797"
"Min 1x per month","1985","lower secondary degree","middle vocational","840","0.254645598757646","0.239434051649366","0.269857145865925"
"Min 1x per month","1985","lower secondary degree","vocational + Abi","1","","",""
"Min 1x per month","1985","lower secondary degree","higher vocational","75","0.267476663938931","0.215349765181914","0.319603562695948"
"Min 1x per month","1985","lower secondary degree","higher education","4","","",""
"Min 1x per month","1985","secondary school degree","in school","","","",""
"Min 1x per month","1985","secondary school degree","inadequately","","","",""
"Min 1x per month","1985","secondary school degree","general elemantary","134","0.257636186671686","0.218098524137717","0.297173849205656"
"Min 1x per month","1985","secondary school degree","middle vocational","290","0.249064282109074","0.2238488755153","0.274279688702847"
"Min 1x per month","1985","secondary school degree","vocational + Abi","","","",""
"Min 1x per month","1985","secondary school degree","higher vocational","54","0.270522647915177","0.20848966012033","0.332555635710024"
"Min 1x per month","1985","secondary school degree","higher education","14","","",""
"Min 1x per month","1985","college entrance qualification","in school","","","",""
"Min 1x per month","1985","college entrance qualification","inadequately","","","",""
"Min 1x per month","1985","college entrance qualification","general elemantary","","","",""
"Min 1x per month","1985","college entrance qualification","middle vocational","89","0.302017110234961","0.249534843037501","0.354499377432421"
"Min 1x per month","1985","college entrance qualification","vocational + Abi","53","0.282592045752693","0.21788453705082","0.347299554454566"
"Min 1x per month","1985","college entrance qualification","higher vocational","25","","",""
"Min 1x per month","1985","college entrance qualification","higher education","138","0.231661723185491","0.198043575590384","0.265279870780598"
"Min 1x per month","1985","Other degree","in school","","","",""
"Min 1x per month","1985","Other degree","inadequately","7","","",""
"Min 1x per month","1985","Other degree","general elemantary","201","0.326403491785361","0.288790468997592","0.364016514573129"
"Min 1x per month","1985","Other degree","middle vocational","135","0.313573590401597","0.270802964565568","0.356344216237627"
"Min 1x per month","1985","Other degree","vocational + Abi","32","0.407127599724712","0.301432480282256","0.512822719167169"
"Min 1x per month","1985","Other degree","higher vocational","3","","",""
"Min 1x per month","1985","Other degree","higher education","12","","",""
"Min 1x per month","1985","no degree/no degree yet","in school","46","0.223851008440279","0.163948681203181","0.283753335677376"
"Min 1x per month","1985","no degree/no degree yet","inadequately","216","0.233647115805051","0.204488396814909","0.262805834795194"
"Min 1x per month","1985","no degree/no degree yet","general elemantary","","","",""
"Min 1x per month","1985","no degree/no degree yet","middle vocational","31","0.292271182550199","0.199335901733759","0.38520646336664"
"Min 1x per month","1985","no degree/no degree yet","vocational + Abi","","","",""
"Min 1x per month","1985","no degree/no degree yet","higher vocational","","","",""
"Min 1x per month","1985","no degree/no degree yet","higher education","","","",""
"Rarely","1985","lower secondary degree","in school","","","",""
"Rarely","1985","lower secondary degree","inadequately","","","",""
"Rarely","1985","lower secondary degree","general elemantary","841","0.407653299356836","0.38598134842332","0.429325250290352"
"Rarely","1985","lower secondary degree","middle vocational","1460","0.454286789986058","0.436901930812892","0.471671649159223"
"Rarely","1985","lower secondary degree","vocational + Abi","2","","",""
"Rarely","1985","lower secondary degree","higher vocational","130","0.453232113323603","0.394608842875686","0.511855383771521"
"Rarely","1985","lower secondary degree","higher education","11","","",""
"Rarely","1985","secondary school degree","in school","","","",""
"Rarely","1985","secondary school degree","inadequately","","","",""
"Rarely","1985","secondary school degree","general elemantary","217","0.465831336975564","0.420733811179448","0.510928862771679"
"Rarely","1985","secondary school degree","middle vocational","583","0.500823214428662","0.471670547890748","0.529975880966577"
"Rarely","1985","secondary school degree","vocational + Abi","1","","",""
"Rarely","1985","secondary school degree","higher vocational","87","0.425364375942814","0.356325802543398","0.49440294934223"
"Rarely","1985","secondary school degree","higher education","33","0.54435445082044","0.419375282933448","0.669333618707431"
"Rarely","1985","college entrance qualification","in school","","","",""
"Rarely","1985","college entrance qualification","inadequately","","","",""
"Rarely","1985","college entrance qualification","general elemantary","","","",""
"Rarely","1985","college entrance qualification","middle vocational","127","0.424578960315763","0.368079209930322","0.481078710701203"
"Rarely","1985","college entrance qualification","vocational + Abi","79","0.405225049367864","0.334671950202012","0.475778148533717"
"Rarely","1985","college entrance qualification","higher vocational","64","0.481595443239269","0.395371312341721","0.567819574136817"
"Rarely","1985","college entrance qualification","higher education","325","0.515611277458464","0.475788768444456","0.555433786472473"
"Rarely","1985","Other degree","in school","","","",""
"Rarely","1985","Other degree","inadequately","14","","",""
"Rarely","1985","Other degree","general elemantary","193","0.308280493686376","0.271238107107312","0.34532288026544"
"Rarely","1985","Other degree","middle vocational","165","0.365334784948172","0.320943600388407","0.409725969507938"
"Rarely","1985","Other degree","vocational + Abi","22","","",""
"Rarely","1985","Other degree","higher vocational","3","","",""
"Rarely","1985","Other degree","higher education","25","","",""
"Rarely","1985","no degree/no degree yet","in school","104","0.567242289337236","0.496039283659868","0.638445295014605"
"Rarely","1985","no degree/no degree yet","inadequately","280","0.363577946747402","0.330430872067635","0.396725021427169"
"Rarely","1985","no degree/no degree yet","general elemantary","","","",""
"Rarely","1985","no degree/no degree yet","middle vocational","28","","",""
"Rarely","1985","no degree/no degree yet","vocational + Abi","","","",""
"Rarely","1985","no degree/no degree yet","higher vocational","2","","",""
"Rarely","1985","no degree/no degree yet","higher education","","","",""
"Never","1985","lower secondary degree","in school","","","",""
"Never","1985","lower secondary degree","inadequately","","","",""
"Never","1985","lower secondary degree","general elemantary","502","0.298440828367712","0.27826061226006","0.318621044475364"
"Never","1985","lower secondary degree","middle vocational","542","0.198476257817039","0.184549937935395","0.212402577698683"
"Never","1985","lower secondary degree","vocational + Abi","","","",""
"Never","1985","lower secondary degree","higher vocational","53","0.215042011707041","0.166658980854111","0.263425042559971"
"Never","1985","lower secondary degree","higher education","6","","",""
"Never","1985","secondary school degree","in school","","","",""
"Never","1985","secondary school degree","inadequately","","","",""
"Never","1985","secondary school degree","general elemantary","72","0.178329504090119","0.143722850206258","0.21293615797398"
"Never","1985","secondary school degree","middle vocational","156","0.156791142507206","0.135591076573273","0.177991208441139"
"Never","1985","secondary school degree","vocational + Abi","","","",""
"Never","1985","secondary school degree","higher vocational","39","0.224166699108642","0.165931611289364","0.282401786927919"
"Never","1985","secondary school degree","higher education","9","","",""
"Never","1985","college entrance qualification","in school","","","",""
"Never","1985","college entrance qualification","inadequately","","","",""
"Never","1985","college entrance qualification","general elemantary","","","",""
