"pli0095_h","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","Urban Area","2262","0.241228356908008","0.232240970204112","0.250215743611904","3"
"Min 1x per month","1985","Rural Area","585","0.239962320842525","0.222351521694822","0.257573119990229","3"
"Min 1x per week","1985","Urban Area","1032","0.103076309375705","0.0966889569228998","0.10946366182851","2"
"Min 1x per week","1985","Rural Area","229","0.0887134216458942","0.0769884411864887","0.1004384021053","2"
"Never","1985","Rural Area","408","0.211242895718443","0.19441023872856","0.228075552708327","5"
"Never","1985","Urban Area","1596","0.20957798145357","0.201027982831367","0.218127980075774","5"
"Rarely","1985","Rural Area","1037","0.460081361793137","0.439528540055135","0.480634183531138","4"
"Rarely","1985","Urban Area","3815","0.446117352262717","0.435675028818358","0.456559675707076","4"
"Min 1x per month","1986","Urban Area","1953","0.209266201346429","0.200567124954299","0.21796527773856","3"
"Min 1x per month","1986","Rural Area","486","0.196132221668023","0.179421888863191","0.212842554472854","3"
"Min 1x per week","1986","Urban Area","758","0.0824550618459463","0.0765729838258043","0.0883371398660883","2"
"Min 1x per week","1986","Rural Area","155","0.0673928729945388","0.0568423335495416","0.0779434124395361","2"
"Never","1986","Rural Area","433","0.233993403206516","0.216176329491306","0.251810476921726","5"
"Never","1986","Urban Area","1729","0.23334679091879","0.224301785252308","0.242391796585272","5"
"Rarely","1986","Rural Area","1095","0.502481502130922","0.481439698144567","0.523523306117278","4"
"Rarely","1986","Urban Area","3960","0.474931945888835","0.464252912669115","0.485610979108554","4"
"Min 1x per month","1987","Urban Area","","","","","3"
"Min 1x per month","1987","Rural Area","","","","","3"
"Min 1x per week","1987","Urban Area","","","","","2"
"Min 1x per week","1987","Rural Area","","","","","2"
"Never","1987","Urban Area","","","","","5"
"Never","1987","Rural Area","","","","","5"
"Rarely","1987","Urban Area","","","","","4"
"Rarely","1987","Rural Area","","","","","4"
"Min 1x per month","1988","Urban Area","1756","0.206531490404453","0.19762895320477","0.215434027604136","3"
"Min 1x per month","1988","Rural Area","474","0.213589761262186","0.195663858696242","0.23151566382813","3"
"Min 1x per week","1988","Urban Area","713","0.0733881814234559","0.067653387844794","0.0791229750021178","2"
"Min 1x per week","1988","Rural Area","153","0.0711275067644644","0.0598850019885282","0.0823700115404007","2"
"Never","1988","Urban Area","1784","0.246837405197833","0.237355280389031","0.256319530006635","5"
"Never","1988","Rural Area","379","0.214269012043011","0.196322384032825","0.232215640053197","5"
"Rarely","1988","Urban Area","3690","0.473242922974258","0.462262904689123","0.484222941259393","4"
"Rarely","1988","Rural Area","1002","0.501013719930339","0.479144396448506","0.522883043412172","4"
"Min 1x per month","1989","Urban Area","","","","","3"
"Min 1x per month","1989","Rural Area","","","","","3"
"Min 1x per week","1989","Urban Area","","","","","2"
"Min 1x per week","1989","Rural Area","","","","","2"
"Never","1989","Urban Area","","","","","5"
"Never","1989","Rural Area","","","","","5"
"Rarely","1989","Urban Area","","","","","4"
"Rarely","1989","Rural Area","","","","","4"
"Min 1x per month","1990","Rural Area","807","0.275922596755147","0.259342902574928","0.292502290935366","3"
"Min 1x per month","1990","Urban Area","445","0.291054413317498","0.268255890153684","0.313852936481311","3"
"Min 1x per week","1990","Rural Area","492","0.172436635808493","0.158424453379268","0.186448818237718","2"
"Min 1x per week","1990","Urban Area","260","0.167504082271833","0.148762039557022","0.186246124986644","2"
"Never","1990","Rural Area","253","0.115526626802435","0.103669654318475","0.127383599286395","5"
"Never","1990","Urban Area","137","0.121559502535121","0.105158749052286","0.137960256017957","5"
"Rarely","1990","Rural Area","1240","0.436114140633925","0.417719721831127","0.454508559436723","4"
"Rarely","1990","Urban Area","683","0.419882001875548","0.395111490723823","0.444652513027273","4"
"Min 1x per month","1991","Rural Area","","","","","3"
"Min 1x per month","1991","Urban Area","","","","","3"
"Min 1x per week","1991","Rural Area","","","","","2"
"Min 1x per week","1991","Urban Area","","","","","2"
"Never","1991","Urban Area","","","","","5"
"Never","1991","Rural Area","","","","","5"
"Rarely","1991","Urban Area","","","","","4"
"Rarely","1991","Rural Area","","","","","4"
"Min 1x per month","1992","Rural Area","1202","0.264365757289323","0.251335430072937","0.277396084505709","3"
"Min 1x per month","1992","Urban Area","2438","0.255935195385382","0.246785377326677","0.265085013444088","3"
"Min 1x per week","1992","Rural Area","385","0.0857139120551715","0.0774423321958577","0.0939854919144852","2"
"Min 1x per week","1992","Urban Area","885","0.0927819780991525","0.0866988113828506","0.0988651448154543","2"
"Never","1992","Urban Area","1281","0.170384214253059","0.162501146625964","0.178267281880154","5"
"Never","1992","Rural Area","549","0.171896323575649","0.16074831219734","0.183044334953958","5"
"Rarely","1992","Urban Area","4134","0.480898612262406","0.470422625820288","0.491374598704525","4"
"Rarely","1992","Rural Area","2264","0.478024007079856","0.463264499399385","0.492783514760328","4"
"Min 1x per month","1993","Rural Area","","","","","3"
"Min 1x per month","1993","Urban Area","","","","","3"
"Min 1x per week","1993","Rural Area","","","","","2"
"Min 1x per week","1993","Urban Area","","","","","2"
"Never","1993","Urban Area","","","","","5"
"Never","1993","Rural Area","","","","","5"
"Rarely","1993","Rural Area","","","","","4"
"Rarely","1993","Urban Area","","","","","4"
"Min 1x per month","1994","Rural Area","1212","0.262798854412091","0.249623082022009","0.275974626802174","3"
"Min 1x per month","1994","Urban Area","2331","0.256086746426859","0.246846964758713","0.265326528095005","3"
"Min 1x per week","1994","Urban Area","831","0.0889825025620785","0.0829552043870098","0.0950098007371471","2"
"Min 1x per week","1994","Rural Area","400","0.0932127331523873","0.0845098795690648","0.10191558673571","2"
"Never","1994","Urban Area","1172","0.15892885728007","0.151189146066141","0.166668568493999","5"
"Never","1994","Rural Area","499","0.158588694547048","0.147653874687543","0.169523514406553","5"
"Rarely","1994","Rural Area","2176","0.485399717888473","0.470438873042389","0.500360562734558","4"
"Rarely","1994","Urban Area","4238","0.496001893730993","0.485417569639483","0.506586217822503","4"
"Min 1x per month","1995","Rural Area","","","","","3"
"Min 1x per month","1995","Urban Area","","","","","3"
"Min 1x per week","1995","Urban Area","","","","","2"
"Min 1x per week","1995","Rural Area","","","","","2"
"Never","1995","Urban Area","","","","","5"
"Never","1995","Rural Area","","","","","5"
"Rarely","1995","Rural Area","","","","","4"
"Rarely","1995","Urban Area","","","","","4"
"Min 1x per month","1996","Rural Area","1488","0.309462795511585","0.295826999351034","0.323098591672136","3"
"Min 1x per month","1996","Urban Area","2687","0.291400100147261","0.281826285012284","0.300973915282238","3"
"Min 1x per week","1996","Urban Area","1087","0.118391442526032","0.111584725436289","0.125198159615776","2"
"Min 1x per week","1996","Rural Area","498","0.112823636900287","0.10349135678691","0.122155917013664","2"
