"pli0095_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","no migration background","(0) in school","10","","",""
"Min 1x per week","1985","no migration background","(1a) inadequately completed","7","","",""
"Min 1x per week","1985","no migration background","(1b) general elementary school","155","0.0948441337699409","0.0808749297229653","0.108813337816916"
"Min 1x per week","1985","no migration background","(1c) basic vocational qualification","274","0.0858021735418614","0.0759747419143131","0.0956296051694098"
"Min 1x per week","1985","no migration background","(2b) intermediate general qualification","38","0.0997187366461209","0.07035606388397","0.129081409408272"
"Min 1x per week","1985","no migration background","(2a) intermediate vocational","106","0.089427655976636","0.0734803000645647","0.105375011888707"
"Min 1x per week","1985","no migration background","(2c_gen) general maturity certificate","35","0.127113282912006","0.0864677662844176","0.167758799539593"
"Min 1x per week","1985","no migration background","(2c_voc) vocational maturity certificate","36","0.142149069290903","0.101888761264378","0.182409377317428"
"Min 1x per week","1985","no migration background","(3a) lower tertiary education","18","","",""
"Min 1x per week","1985","no migration background","(3b) higher tertiary education","32","0.0751850889164695","0.0497539192262585","0.100616258606681"
"Min 1x per week","1985","direct migration background","(0) in school","2","","",""
"Min 1x per week","1985","direct migration background","(1a) inadequately completed","141","0.174640236021248","0.148842581088924","0.200437890953572"
"Min 1x per week","1985","direct migration background","(1b) general elementary school","162","0.194031766380423","0.167739163381675","0.220324369379171"
"Min 1x per week","1985","direct migration background","(1c) basic vocational qualification","116","0.169585751396143","0.140534746975274","0.198636755817013"
"Min 1x per week","1985","direct migration background","(2b) intermediate general qualification","9","","",""
"Min 1x per week","1985","direct migration background","(2a) intermediate vocational","10","","",""
"Min 1x per week","1985","direct migration background","(2c_gen) general maturity certificate","18","","",""
"Min 1x per week","1985","direct migration background","(2c_voc) vocational maturity certificate","25","","",""
"Min 1x per week","1985","direct migration background","(3a) lower tertiary education","2","","",""
"Min 1x per week","1985","direct migration background","(3b) higher tertiary education","18","","",""
"Min 1x per week","1985","indirect migration background","(0) in school","","","",""
