"pli0095_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","lower secondary degree","1-pers.-HH","66","0.109528633236077","0.0840466046711579","0.135010661800996"
"Min 1x per week","1985","lower secondary degree","(Married) couple without C. ","144","0.0987537926129077","0.0832150783298671","0.114292506895948"
"Min 1x per week","1985","lower secondary degree","Single parent ","21","","",""
"Min 1x per week","1985","lower secondary degree","Couple + C. LE 16 ","118","0.099196050940649","0.0817593847983511","0.116632717082947"
"Min 1x per week","1985","lower secondary degree","Couple + C. GT 16 ","96","0.0918374566210864","0.073783888508284","0.109891024733889"
"Min 1x per week","1985","lower secondary degree","Couple + C. LE and GT 16","67","0.0736763901248664","0.0536545147883207","0.0936982654614121"
"Min 1x per week","1985","secondary school degree","1-pers.-HH","36","0.162237866695036","0.113958611834864","0.210517121555208"
"Min 1x per week","1985","secondary school degree","(Married) couple without C. ","29","","",""
"Min 1x per week","1985","secondary school degree","Single parent ","5","","",""
"Min 1x per week","1985","secondary school degree","Couple + C. LE 16 ","37","0.0780595927146744","0.0525849643587965","0.103534221070552"
"Min 1x per week","1985","secondary school degree","Couple + C. GT 16 ","33","0.0857700146511028","0.0582246636722369","0.113315365629969"
"Min 1x per week","1985","secondary school degree","Couple + C. LE and GT 16","17","","",""
"Min 1x per week","1985","college entrance qualification","1-pers.-HH","28","","",""
"Min 1x per week","1985","college entrance qualification","(Married) couple without C. ","30","0.0930593079344943","0.0597376947528143","0.126380921116174"
"Min 1x per week","1985","college entrance qualification","Single parent ","7","","",""
"Min 1x per week","1985","college entrance qualification","Couple + C. LE 16 ","27","","",""
"Min 1x per week","1985","college entrance qualification","Couple + C. GT 16 ","27","","",""
"Min 1x per week","1985","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"Min 1x per week","1985","Other degree","1-pers.-HH","21","","",""
"Min 1x per week","1985","Other degree","(Married) couple without C. ","24","","",""
"Min 1x per week","1985","Other degree","Single parent ","10","","",""
"Min 1x per week","1985","Other degree","Couple + C. LE 16 ","81","0.152688424124399","0.121255214792001","0.184121633456798"
"Min 1x per week","1985","Other degree","Couple + C. GT 16 ","27","","",""
"Min 1x per week","1985","Other degree","Couple + C. LE and GT 16","43","0.188738992775837","0.134508417566391","0.242969567985284"
"Min 1x per week","1985","no degree/no degree yet","1-pers.-HH","12","","",""
"Min 1x per week","1985","no degree/no degree yet","(Married) couple without C. ","16","","",""
"Min 1x per week","1985","no degree/no degree yet","Single parent ","4","","",""
"Min 1x per week","1985","no degree/no degree yet","Couple + C. LE 16 ","54","0.225342789750623","0.176664928294197","0.274020651207049"
"Min 1x per week","1985","no degree/no degree yet","Couple + C. GT 16 ","26","","",""
"Min 1x per week","1985","no degree/no degree yet","Couple + C. LE and GT 16","41","0.112030329480717","0.075412505411708","0.148648153549726"
"Min 1x per month","1985","lower secondary degree","1-pers.-HH","120","0.19037663447196","0.158342829765129","0.222410439178791"
"Min 1x per month","1985","lower secondary degree","(Married) couple without C. ","313","0.212118670391657","0.190825696724174","0.23341164405914"
"Min 1x per month","1985","lower secondary degree","Single parent ","59","0.188614652720602","0.143355289732924","0.233874015708279"
"Min 1x per month","1985","lower secondary degree","Couple + C. LE 16 ","364","0.322910575343092","0.295635543291626","0.350185607394559"
"Min 1x per month","1985","lower secondary degree","Couple + C. GT 16 ","235","0.234654070904597","0.208162100155387","0.261146041653807"
"Min 1x per month","1985","lower secondary degree","Couple + C. LE and GT 16","171","0.256318951359421","0.222857641865176","0.289780260853666"
"Min 1x per month","1985","secondary school degree","1-pers.-HH","58","0.237387091011297","0.181667912177461","0.293106269845133"
"Min 1x per month","1985","secondary school degree","(Married) couple without C. ","103","0.256144365198089","0.213206586879025","0.299082143517152"
"Min 1x per month","1985","secondary school degree","Single parent ","27","","",""
"Min 1x per month","1985","secondary school degree","Couple + C. LE 16 ","121","0.285540111237822","0.242649149993855","0.32843107248179"
"Min 1x per month","1985","secondary school degree","Couple + C. GT 16 ","98","0.228954013334362","0.187623851248879","0.270284175419845"
"Min 1x per month","1985","secondary school degree","Couple + C. LE and GT 16","64","0.262075796849402","0.203965099711379","0.320186493987426"
"Min 1x per month","1985","college entrance qualification","1-pers.-HH","58","0.276425366421577","0.214903332374124","0.337947400469031"
"Min 1x per month","1985","college entrance qualification","(Married) couple without C. ","76","0.259472714899518","0.209195287710632","0.309750142088404"
"Min 1x per month","1985","college entrance qualification","Single parent ","12","","",""
"Min 1x per month","1985","college entrance qualification","Couple + C. LE 16 ","67","0.246056087441949","0.194680974996429","0.297431199887469"
"Min 1x per month","1985","college entrance qualification","Couple + C. GT 16 ","57","0.238170876733788","0.183825174781965","0.292516578685611"
"Min 1x per month","1985","college entrance qualification","Couple + C. LE and GT 16","17","","",""
"Min 1x per month","1985","Other degree","1-pers.-HH","23","","",""
"Min 1x per month","1985","Other degree","(Married) couple without C. ","64","0.3531502919961","0.281091626183512","0.425208957808687"
"Min 1x per month","1985","Other degree","Single parent ","9","","",""
"Min 1x per month","1985","Other degree","Couple + C. LE 16 ","164","0.336425847060695","0.295135027176977","0.377716666944413"
"Min 1x per month","1985","Other degree","Couple + C. GT 16 ","50","0.31299879594368","0.238290760548195","0.387706831339165"
"Min 1x per month","1985","Other degree","Couple + C. LE and GT 16","57","0.35255285884726","0.286339232710994","0.418766484983526"
"Min 1x per month","1985","no degree/no degree yet","1-pers.-HH","14","","",""
"Min 1x per month","1985","no degree/no degree yet","(Married) couple without C. ","30","0.210978011872097","0.133670917039665","0.288285106704529"
"Min 1x per month","1985","no degree/no degree yet","Single parent ","18","","",""
"Min 1x per month","1985","no degree/no degree yet","Couple + C. LE 16 ","76","0.2495288773591","0.199111265275259","0.299946489442941"
"Min 1x per month","1985","no degree/no degree yet","Couple + C. GT 16 ","53","0.153833358090227","0.106373677151819","0.201293039028635"
"Min 1x per month","1985","no degree/no degree yet","Couple + C. LE and GT 16","88","0.291069906050707","0.238331618953931","0.343808193147483"
"Rarely","1985","lower secondary degree","1-pers.-HH","166","0.273102936991861","0.236748298800327","0.309457575183396"
"Rarely","1985","lower secondary degree","(Married) couple without C. ","610","0.423835821856385","0.398097014410415","0.449574629302356"
"Rarely","1985","lower secondary degree","Single parent ","130","0.474379972597529","0.416609453786621","0.532150491408437"
"Rarely","1985","lower secondary degree","Couple + C. LE 16 ","546","0.489569773225992","0.460410505703446","0.518729040748538"
"Rarely","1985","lower secondary degree","Couple + C. GT 16 ","498","0.514809330700111","0.48356647254194","0.546052188858281"
"Rarely","1985","lower secondary degree","Couple + C. LE and GT 16","325","0.524762740282323","0.486489436367372","0.563036044197274"
"Rarely","1985","secondary school degree","1-pers.-HH","82","0.356514783290972","0.293791015207771","0.419238551374173"
"Rarely","1985","secondary school degree","(Married) couple without C. ","195","0.47006557394699","0.420969911154617","0.519161236739363"
"Rarely","1985","secondary school degree","Single parent ","49","0.486195635804739","0.387741284234322","0.584649987375155"
"Rarely","1985","secondary school degree","Couple + C. LE 16 ","225","0.539755874035231","0.492425917315764","0.587085830754698"
"Rarely","1985","secondary school degree","Couple + C. GT 16 ","214","0.551568737576386","0.502647143480371","0.6004903316724"
"Rarely","1985","secondary school degree","Couple + C. LE and GT 16","118","0.557720817093178","0.492092173652716","0.62334946053364"
"Rarely","1985","college entrance qualification","1-pers.-HH","84","0.388405946177209","0.321359674235466","0.455452218118953"
"Rarely","1985","college entrance qualification","(Married) couple without C. ","136","0.457299703074191","0.400160108499271","0.51443929764911"
"Rarely","1985","college entrance qualification","Single parent ","23","","",""
"Rarely","1985","college entrance qualification","Couple + C. LE 16 ","143","0.533784693315791","0.474281190681938","0.593288195949644"
"Rarely","1985","college entrance qualification","Couple + C. GT 16 ","118","0.504573421423045","0.440784695846651","0.568362146999439"
"Rarely","1985","college entrance qualification","Couple + C. LE and GT 16","49","0.602933057798051","0.495038147287816","0.710827968308286"
"Rarely","1985","Other degree","1-pers.-HH","22","","",""
"Rarely","1985","Other degree","(Married) couple without C. ","56","0.384169216497312","0.310836678365797","0.457501754628828"
"Rarely","1985","Other degree","Single parent ","14","","",""
"Rarely","1985","Other degree","Couple + C. LE 16 ","188","0.368733141991135","0.32657061035308","0.410895673629191"
"Rarely","1985","Other degree","Couple + C. GT 16 ","50","0.425604737965656","0.345947382396261","0.505262093535051"
"Rarely","1985","Other degree","Couple + C. LE and GT 16","67","0.342343402273515","0.276583120547838","0.408103683999193"
"Rarely","1985","no degree/no degree yet","1-pers.-HH","22","","",""
"Rarely","1985","no degree/no degree yet","(Married) couple without C. ","34","0.397253671711887","0.3045370820394","0.489970261384374"
"Rarely","1985","no degree/no degree yet","Single parent ","21","","",""
"Rarely","1985","no degree/no degree yet","Couple + C. LE 16 ","100","0.364123739717288","0.308062115472551","0.420185363962025"
"Rarely","1985","no degree/no degree yet","Couple + C. GT 16 ","97","0.525791543730382","0.460107020876476","0.591476066584288"
"Rarely","1985","no degree/no degree yet","Couple + C. LE and GT 16","117","0.4828483965278","0.424833436738531","0.54086335631707"
"Never","1985","lower secondary degree","1-pers.-HH","225","0.426991795300102","0.386631868514098","0.467351722086105"
"Never","1985","lower secondary degree","(Married) couple without C. ","349","0.26529171513905","0.24229659003547","0.28828684024263"
"Never","1985","lower secondary degree","Single parent ","77","0.258415325847829","0.207769151111706","0.309061500583952"
"Never","1985","lower secondary degree","Couple + C. LE 16 ","101","0.0883236004902665","0.0717712429568308","0.104875958023702"
"Never","1985","lower secondary degree","Couple + C. GT 16 ","154","0.158699141774206","0.135857133361308","0.181541150187104"
"Never","1985","lower secondary degree","Couple + C. LE and GT 16","91","0.14524191823339","0.118237998229196","0.172245838237584"
"Never","1985","secondary school degree","1-pers.-HH","48","0.243860259002695","0.187626692413858","0.300093825591532"
"Never","1985","secondary school degree","(Married) couple without C. ","70","0.201538137452819","0.162078004271515","0.240998270634122"
"Never","1985","secondary school degree","Single parent ","18","","",""
"Never","1985","secondary school degree","Couple + C. LE 16 ","43","0.0966444220122721","0.0685861414657538","0.12470270255879"
"Never","1985","secondary school degree","Couple + C. GT 16 ","52","0.13370723443815","0.100228993200531","0.167185475675768"
"Never","1985","secondary school degree","Couple + C. LE and GT 16","21","","",""
"Never","1985","college entrance qualification","1-pers.-HH","33","0.195647153818017","0.141076376413896","0.250217931222138"
"Never","1985","college entrance qualification","(Married) couple without C. ","50","0.190168274091797","0.145156815014811","0.235179733168783"
"Never","1985","college entrance qualification","Single parent ","6","","",""
"Never","1985","college entrance qualification","Couple + C. LE 16 ","33","0.119773833986041","0.0810441171284656","0.158503550843616"
"Never","1985","college entrance qualification","Couple + C. GT 16 ","34","0.155195162178044","0.108998630057097","0.20139169429899"
"Never","1985","college entrance qualification","Couple + C. LE and GT 16","9","","",""
"Never","1985","Other degree","1-pers.-HH","25","","",""
"Never","1985","Other degree","(Married) couple without C. ","25","","",""
"Never","1985","Other degree","Single parent ","11","","",""
"Never","1985","Other degree","Couple + C. LE 16 ","70","0.142152586823771","0.111635258853741","0.1726699147938"
"Never","1985","Other degree","Couple + C. GT 16 ","21","","",""
"Never","1985","Other degree","Couple + C. LE and GT 16","33","0.116364746103387","0.0719241041793987","0.160805388027376"
"Never","1985","no degree/no degree yet","1-pers.-HH","16","","",""
"Never","1985","no degree/no degree yet","(Married) couple without C. ","27","","",""
"Never","1985","no degree/no degree yet","Single parent ","13","","",""
"Never","1985","no degree/no degree yet","Couple + C. LE 16 ","53","0.161004593172989","0.118183889694866","0.203825296651112"
