"pli0095_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1985","lower secondary degree","no migration background","427","0.0890695399128585","0.0810046786077059","0.0971344012180112"
"Min 1x per week","1985","lower secondary degree","direct migration background","108","0.183913689646377","0.151883832020156","0.215943547272599"
"Min 1x per week","1985","lower secondary degree","indirect migration background","13","","",""
"Min 1x per week","1985","secondary school degree","no migration background","149","0.0920019066601043","0.0782179420809924","0.105785871239216"
"Min 1x per week","1985","secondary school degree","direct migration background","19","","",""
"Min 1x per week","1985","secondary school degree","indirect migration background","2","","",""
"Min 1x per week","1985","college entrance qualification","no migration background","114","0.107800352691426","0.0894649539392881","0.126135751443564"
"Min 1x per week","1985","college entrance qualification","direct migration background","20","","",""
"Min 1x per week","1985","college entrance qualification","indirect migration background","3","","",""
"Min 1x per week","1985","Other degree","no migration background","4","","",""
"Min 1x per week","1985","Other degree","direct migration background","211","0.180953451046957","0.158922319054609","0.202984583039304"
"Min 1x per week","1985","Other degree","indirect migration background","3","","",""
"Min 1x per week","1985","no degree/no degree yet","no migration background","17","","",""
"Min 1x per week","1985","no degree/no degree yet","direct migration background","144","0.176112751438293","0.150535281355304","0.201690221521282"
"Min 1x per week","1985","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per month","1985","lower secondary degree","no migration background","1156","0.230606622856388","0.218680485799202","0.242532759913574"
"Min 1x per month","1985","lower secondary degree","direct migration background","164","0.260223417198472","0.223948752148091","0.296498082248852"
"Min 1x per month","1985","lower secondary degree","indirect migration background","15","","",""
"Min 1x per month","1985","secondary school degree","no migration background","433","0.248524014925362","0.22791415690546","0.269133872945265"
"Min 1x per month","1985","secondary school degree","direct migration background","49","0.284824780567682","0.210063077183506","0.359586483951859"
"Min 1x per month","1985","secondary school degree","indirect migration background","10","","",""
"Min 1x per month","1985","college entrance qualification","no migration background","270","0.240891667802197","0.215609633674728","0.266173701929665"
"Min 1x per month","1985","college entrance qualification","direct migration background","35","0.381576334235253","0.289960618379139","0.473192050091366"
"Min 1x per month","1985","college entrance qualification","indirect migration background","","","",""
"Min 1x per month","1985","Other degree","no migration background","9","","",""
"Min 1x per month","1985","Other degree","direct migration background","380","0.329270056373031","0.302376449536685","0.356163663209377"
"Min 1x per month","1985","Other degree","indirect migration background","1","","",""
"Min 1x per month","1985","no degree/no degree yet","no migration background","44","0.183893400841309","0.133047941331143","0.234738860351474"
"Min 1x per month","1985","no degree/no degree yet","direct migration background","246","0.301763165374644","0.270941025652748","0.332585305096541"
"Min 1x per month","1985","no degree/no degree yet","indirect migration background","3","","",""
"Rarely","1985","lower secondary degree","no migration background","2203","0.440596393962819","0.426540036717484","0.454652751208155"
"Rarely","1985","lower secondary degree","direct migration background","208","0.374775777866543","0.3347551785678","0.414796377165287"
"Rarely","1985","lower secondary degree","indirect migration background","33","0.456569269595193","0.344582496605938","0.568556042584449"
"Rarely","1985","secondary school degree","no migration background","853","0.489190322011075","0.465350568926595","0.513030075095555"
"Rarely","1985","secondary school degree","direct migration background","56","0.455467470714196","0.372973032336862","0.537961909091529"
"Rarely","1985","secondary school degree","indirect migration background","12","","",""
"Rarely","1985","college entrance qualification","no migration background","547","0.480296327300099","0.450758280745523","0.509834373854675"
"Rarely","1985","college entrance qualification","direct migration background","44","0.392843327349749","0.300735552684264","0.484951102015233"
"Rarely","1985","college entrance qualification","indirect migration background","4","","",""
"Rarely","1985","Other degree","no migration background","23","","",""
"Rarely","1985","Other degree","direct migration background","398","0.327716151192556","0.300855016988418","0.354577285396693"
"Rarely","1985","Other degree","indirect migration background","1","","",""
"Rarely","1985","no degree/no degree yet","no migration background","117","0.522807710743738","0.457251572807907","0.58836384867957"
