"pli0095_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","no migration background","West Germany","1927","0.234536805193014","0.225195237625729","0.243878372760299","3"
"Min 1x per month","1985","no migration background","East Germany","","","","","3"
"Min 1x per month","1985","direct migration background","West Germany","890","0.299397801764789","0.282783155665178","0.3160124478644","3"
"Min 1x per month","1985","direct migration background","East Germany","","","","","3"
"Min 1x per month","1985","indirect migration background","West Germany","30","0.277405717778481","0.203766548029924","0.351044887527039","3"
"Min 1x per month","1985","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1985","no migration background","West Germany","717","0.0919174253314561","0.0855478027991457","0.0982870478637664","2"
"Min 1x per week","1985","no migration background","East Germany","","","","","2"
"Min 1x per week","1985","direct migration background","West Germany","522","0.169361322323109","0.155754890927153","0.182967753719065","2"
"Min 1x per week","1985","direct migration background","East Germany","","","","","2"
"Min 1x per week","1985","indirect migration background","West Germany","22","","","","2"
"Min 1x per week","1985","indirect migration background","East Germany","","","","","2"
"Never","1985","no migration background","West Germany","1490","0.214724430387582","0.205671193736104","0.22377766703906","5"
"Never","1985","no migration background","East Germany","","","","","5"
"Never","1985","direct migration background","West Germany","488","0.168243307023605","0.154672736890863","0.181813877156346","5"
"Never","1985","indirect migration background","West Germany","26","","","","5"
"Never","1985","direct migration background","East Germany","","","","","5"
"Never","1985","indirect migration background","East Germany","","","","","5"
"Rarely","1985","no migration background","West Germany","3769","0.458821339087947","0.447835221681203","0.469807456494691","4"
"Rarely","1985","no migration background","East Germany","","","","","4"
"Rarely","1985","direct migration background","West Germany","1019","0.362997568888497","0.345553272914557","0.380441864862438","4"
"Rarely","1985","direct migration background","East Germany","","","","","4"
"Rarely","1985","indirect migration background","West Germany","64","0.400733009403006","0.320131781909669","0.481334236896343","4"
"Rarely","1985","indirect migration background","East Germany","","","","","4"
"Min 1x per month","1986","no migration background","West Germany","1590","0.198749255633197","0.18976031636304","0.207738194903354","3"
"Min 1x per month","1986","no migration background","East Germany","","","","","3"
"Min 1x per month","1986","direct migration background","West Germany","804","0.27312901127005","0.256750582165836","0.289507440374265","3"
"Min 1x per month","1986","indirect migration background","West Germany","45","0.201456417196756","0.138313868635844","0.264598965757667","3"
"Min 1x per month","1986","direct migration background","East Germany","","","","","3"
"Min 1x per month","1986","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1986","no migration background","West Germany","567","0.0774199043364773","0.0713998581473942","0.0834399505255604","2"
"Min 1x per week","1986","no migration background","East Germany","","","","","2"
"Min 1x per week","1986","direct migration background","West Germany","333","0.094122841921101","0.0833893302838134","0.104856353558389","2"
"Min 1x per week","1986","direct migration background","East Germany","","","","","2"
"Min 1x per week","1986","indirect migration background","West Germany","13","","","","2"
"Min 1x per week","1986","indirect migration background","East Germany","","","","","2"
"Never","1986","no migration background","West Germany","1563","0.236802535582738","0.227226558423686","0.246378512741789","5"
"Never","1986","no migration background","East Germany","","","","","5"
"Never","1986","direct migration background","West Germany","575","0.203526645220996","0.188726842581728","0.218326447860265","5"
"Never","1986","direct migration background","East Germany","","","","","5"
"Never","1986","indirect migration background","West Germany","24","","","","5"
"Never","1986","indirect migration background","East Germany","","","","","5"
"Rarely","1986","no migration background","West Germany","3851","0.487028304447588","0.475769422381456","0.49828718651372","4"
"Rarely","1986","no migration background","East Germany","","","","","4"
"Rarely","1986","direct migration background","West Germany","1131","0.429221501587852","0.411027249896653","0.447415753279052","4"
"Rarely","1986","direct migration background","East Germany","","","","","4"
"Rarely","1986","indirect migration background","West Germany","73","0.504508056443928","0.425797208036133","0.583218904851723","4"
"Rarely","1986","indirect migration background","East Germany","","","","","4"
"Min 1x per month","1987","no migration background","West Germany","","","","","3"
"Min 1x per month","1987","direct migration background","West Germany","","","","","3"
"Min 1x per month","1987","no migration background","East Germany","","","","","3"
"Min 1x per month","1987","direct migration background","East Germany","","","","","3"
"Min 1x per month","1987","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1987","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1987","no migration background","West Germany","","","","","2"
"Min 1x per week","1987","no migration background","East Germany","","","","","2"
"Min 1x per week","1987","direct migration background","West Germany","","","","","2"
"Min 1x per week","1987","direct migration background","East Germany","","","","","2"
"Min 1x per week","1987","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1987","indirect migration background","East Germany","","","","","2"
"Never","1987","no migration background","West Germany","","","","","5"
"Never","1987","no migration background","East Germany","","","","","5"
"Never","1987","direct migration background","West Germany","","","","","5"
"Never","1987","indirect migration background","West Germany","","","","","5"
"Never","1987","direct migration background","East Germany","","","","","5"
"Never","1987","indirect migration background","East Germany","","","","","5"
"Rarely","1987","no migration background","East Germany","","","","","4"
"Rarely","1987","no migration background","West Germany","","","","","4"
"Rarely","1987","direct migration background","East Germany","","","","","4"
"Rarely","1987","direct migration background","West Germany","","","","","4"
"Rarely","1987","indirect migration background","East Germany","","","","","4"
"Rarely","1987","indirect migration background","West Germany","","","","","4"
"Min 1x per month","1988","no migration background","East Germany","","","","","3"
"Min 1x per month","1988","no migration background","West Germany","1495","0.205645422421129","0.196210223508295","0.215080621333962","3"
"Min 1x per month","1988","direct migration background","West Germany","671","0.225941291660721","0.210105255372174","0.241777327949268","3"
"Min 1x per month","1988","direct migration background","East Germany","","","","","3"
"Min 1x per month","1988","indirect migration background","West Germany","64","0.260900309538321","0.20326555247898","0.318535066597663","3"
"Min 1x per month","1988","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1988","no migration background","West Germany","489","0.069357573367526","0.0634266446488408","0.0752885020862111","2"
"Min 1x per week","1988","no migration background","East Germany","","","","","2"
"Min 1x per week","1988","direct migration background","West Germany","352","0.104274823494208","0.0927020126008995","0.115847634387516","2"
"Min 1x per week","1988","direct migration background","East Germany","","","","","2"
"Min 1x per week","1988","indirect migration background","West Germany","25","","","","2"
"Min 1x per week","1988","indirect migration background","East Germany","","","","","2"
