"plh0206i04","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","(0) in school","5","","",""
"1 Strongly disagree","2005","Not Employed","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","Not Employed","(1b) general elementary school","16","","",""
"1 Strongly disagree","2005","Not Employed","(1c) basic vocational qualification","39","0.0171030878026724","0.0123075117006767","0.0218986639046682"
"1 Strongly disagree","2005","Not Employed","(2b) intermediate general qualification","3","","",""
"1 Strongly disagree","2005","Not Employed","(2a) intermediate vocational","11","","",""
"1 Strongly disagree","2005","Not Employed","(2c_gen) general maturity certificate","1","","",""
"1 Strongly disagree","2005","Not Employed","(2c_voc) vocational maturity certificate","2","","",""
"1 Strongly disagree","2005","Not Employed","(3a) lower tertiary education","1","","",""
"1 Strongly disagree","2005","Not Employed","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","Employed","(0) in school","","","",""
"1 Strongly disagree","2005","Employed","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","Employed","(1b) general elementary school","2","","",""
"1 Strongly disagree","2005","Employed","(1c) basic vocational qualification","20","","",""
"1 Strongly disagree","2005","Employed","(2b) intermediate general qualification","1","","",""
"1 Strongly disagree","2005","Employed","(2a) intermediate vocational","18","","",""
"1 Strongly disagree","2005","Employed","(2c_gen) general maturity certificate","3","","",""
"1 Strongly disagree","2005","Employed","(2c_voc) vocational maturity certificate","5","","",""
"1 Strongly disagree","2005","Employed","(3a) lower tertiary education","2","","",""
"1 Strongly disagree","2005","Employed","(3b) higher tertiary education","4","","",""
"2 on scale 1-7 ","2005","Not Employed","(0) in school","3","","",""
"2 on scale 1-7 ","2005","Not Employed","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","Not Employed","(1b) general elementary school","13","","",""
"2 on scale 1-7 ","2005","Not Employed","(1c) basic vocational qualification","25","","",""
"2 on scale 1-7 ","2005","Not Employed","(2b) intermediate general qualification","3","","",""
"2 on scale 1-7 ","2005","Not Employed","(2a) intermediate vocational","9","","",""
"2 on scale 1-7 ","2005","Not Employed","(2c_gen) general maturity certificate","6","","",""
"2 on scale 1-7 ","2005","Not Employed","(2c_voc) vocational maturity certificate","6","","",""
"2 on scale 1-7 ","2005","Not Employed","(3a) lower tertiary education","2","","",""
"2 on scale 1-7 ","2005","Not Employed","(3b) higher tertiary education","2","","",""
"2 on scale 1-7 ","2005","Employed","(0) in school","","","",""
"2 on scale 1-7 ","2005","Employed","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","Employed","(1b) general elementary school","6","","",""
"2 on scale 1-7 ","2005","Employed","(1c) basic vocational qualification","17","","",""
"2 on scale 1-7 ","2005","Employed","(2b) intermediate general qualification","2","","",""
"2 on scale 1-7 ","2005","Employed","(2a) intermediate vocational","27","","",""
"2 on scale 1-7 ","2005","Employed","(2c_gen) general maturity certificate","5","","",""
"2 on scale 1-7 ","2005","Employed","(2c_voc) vocational maturity certificate","7","","",""
"2 on scale 1-7 ","2005","Employed","(3a) lower tertiary education","15","","",""
"2 on scale 1-7 ","2005","Employed","(3b) higher tertiary education","14","","",""
"3 on scale 1-7 ","2005","Not Employed","(0) in school","24","","",""
"3 on scale 1-7 ","2005","Not Employed","(1a) inadequately completed","8","","",""
"3 on scale 1-7 ","2005","Not Employed","(1b) general elementary school","29","","",""
"3 on scale 1-7 ","2005","Not Employed","(1c) basic vocational qualification","58","0.0202480470396275","0.015038509417501","0.0254575846617541"
"3 on scale 1-7 ","2005","Not Employed","(2b) intermediate general qualification","4","","",""
"3 on scale 1-7 ","2005","Not Employed","(2a) intermediate vocational","21","","",""
"3 on scale 1-7 ","2005","Not Employed","(2c_gen) general maturity certificate","8","","",""
"3 on scale 1-7 ","2005","Not Employed","(2c_voc) vocational maturity certificate","9","","",""
"3 on scale 1-7 ","2005","Not Employed","(3a) lower tertiary education","7","","",""
"3 on scale 1-7 ","2005","Not Employed","(3b) higher tertiary education","12","","",""
"3 on scale 1-7 ","2005","Employed","(0) in school","3","","",""
"3 on scale 1-7 ","2005","Employed","(1a) inadequately completed","2","","",""
"3 on scale 1-7 ","2005","Employed","(1b) general elementary school","18","","",""
"3 on scale 1-7 ","2005","Employed","(1c) basic vocational qualification","64","0.0230413534789694","0.0175826252768209","0.028500081681118"
"3 on scale 1-7 ","2005","Employed","(2b) intermediate general qualification","6","","",""
"3 on scale 1-7 ","2005","Employed","(2a) intermediate vocational","73","0.0167761915570546","0.0126176289909102","0.0209347541231991"
"3 on scale 1-7 ","2005","Employed","(2c_gen) general maturity certificate","13","","",""
"3 on scale 1-7 ","2005","Employed","(2c_voc) vocational maturity certificate","26","","",""
"3 on scale 1-7 ","2005","Employed","(3a) lower tertiary education","25","","",""
"3 on scale 1-7 ","2005","Employed","(3b) higher tertiary education","39","0.0240697666384018","0.017320584022404","0.0308189492543996"
"4 on scale 1-7","2005","Not Employed","(0) in school","69","0.123228098616819","0.0957326946926153","0.150723502541023"
"4 on scale 1-7","2005","Not Employed","(1a) inadequately completed","19","","",""
"4 on scale 1-7","2005","Not Employed","(1b) general elementary school","108","0.108456856386822","0.0905546705371996","0.126359042236444"
"4 on scale 1-7","2005","Not Employed","(1c) basic vocational qualification","226","0.0838519011937185","0.0736003676141851","0.094103434773252"
"4 on scale 1-7","2005","Not Employed","(2b) intermediate general qualification","25","","",""
"4 on scale 1-7","2005","Not Employed","(2a) intermediate vocational","109","0.0966683381524043","0.0794539884920123","0.113882687812796"
"4 on scale 1-7","2005","Not Employed","(2c_gen) general maturity certificate","27","","",""
"4 on scale 1-7","2005","Not Employed","(2c_voc) vocational maturity certificate","28","","",""
"4 on scale 1-7","2005","Not Employed","(3a) lower tertiary education","42","0.10052303914436","0.0730741068874484","0.127971971401271"
"4 on scale 1-7","2005","Not Employed","(3b) higher tertiary education","55","0.0960141399448382","0.0711656713846853","0.120862608504991"
"4 on scale 1-7","2005","Employed","(0) in school","11","","",""
"4 on scale 1-7","2005","Employed","(1a) inadequately completed","8","","",""
"4 on scale 1-7","2005","Employed","(1b) general elementary school","59","0.0866733160155125","0.0657857670330862","0.107560864997939"
"4 on scale 1-7","2005","Employed","(1c) basic vocational qualification","203","0.0783244210273421","0.0685489650599359","0.0880998769947483"
"4 on scale 1-7","2005","Employed","(2b) intermediate general qualification","37","0.10822568498797","0.0765279989565092","0.139923371019431"
"4 on scale 1-7","2005","Employed","(2a) intermediate vocational","300","0.0818864038499819","0.0730082131883207","0.0907645945116432"
"4 on scale 1-7","2005","Employed","(2c_gen) general maturity certificate","45","0.0876109312257173","0.0622387335430021","0.112983128908432"
"4 on scale 1-7","2005","Employed","(2c_voc) vocational maturity certificate","113","0.0959486146287224","0.0788294025981324","0.113067826659312"
"4 on scale 1-7","2005","Employed","(3a) lower tertiary education","96","0.084149524288163","0.0683299847247199","0.0999690638516062"
"4 on scale 1-7","2005","Employed","(3b) higher tertiary education","178","0.0906143268133573","0.0779734167523236","0.103255236874391"
"5 on scale 1-7","2005","Not Employed","(0) in school","98","0.183088118329275","0.150737721987298","0.215438514671252"
"5 on scale 1-7","2005","Not Employed","(1a) inadequately completed","23","","",""
"5 on scale 1-7","2005","Not Employed","(1b) general elementary school","212","0.175402526618985","0.153507509182051","0.197297544055919"
"5 on scale 1-7","2005","Not Employed","(1c) basic vocational qualification","428","0.146249740819728","0.133180134196883","0.159319347442573"
"5 on scale 1-7","2005","Not Employed","(2b) intermediate general qualification","45","0.199845419462432","0.145760960350642","0.253929878574222"
"5 on scale 1-7","2005","Not Employed","(2a) intermediate vocational","174","0.140326218082548","0.120093178603027","0.160559257562068"
"5 on scale 1-7","2005","Not Employed","(2c_gen) general maturity certificate","89","0.302826818695899","0.252325579572211","0.353328057819588"
"5 on scale 1-7","2005","Not Employed","(2c_voc) vocational maturity certificate","60","0.153216874998621","0.116857466169729","0.189576283827513"
"5 on scale 1-7","2005","Not Employed","(3a) lower tertiary education","83","0.174070353955128","0.139457966067082","0.208682741843173"
"5 on scale 1-7","2005","Not Employed","(3b) higher tertiary education","85","0.167164602847203","0.135694152399256","0.19863505329515"
"5 on scale 1-7","2005","Employed","(0) in school","22","","",""
"5 on scale 1-7","2005","Employed","(1a) inadequately completed","9","","",""
"5 on scale 1-7","2005","Employed","(1b) general elementary school","106","0.136040411179912","0.110588969688468","0.161491852671356"
"5 on scale 1-7","2005","Employed","(1c) basic vocational qualification","446","0.155321621773519","0.142143271886528","0.168499971660509"
"5 on scale 1-7","2005","Employed","(2b) intermediate general qualification","59","0.16063089565746","0.123165878295241","0.198095913019678"
"5 on scale 1-7","2005","Employed","(2a) intermediate vocational","618","0.172567185468004","0.16033185125971","0.184802519676298"
"5 on scale 1-7","2005","Employed","(2c_gen) general maturity certificate","108","0.282391257559081","0.241993395149302","0.322789119968859"
"5 on scale 1-7","2005","Employed","(2c_voc) vocational maturity certificate","206","0.183454479074107","0.160957602848038","0.205951355300176"
"5 on scale 1-7","2005","Employed","(3a) lower tertiary education","200","0.160897130449537","0.13995902073373","0.181835240165344"
"5 on scale 1-7","2005","Employed","(3b) higher tertiary education","410","0.204667934198262","0.186901306468445","0.22243456192808"
"6 on scale 1-7","2005","Not Employed","(0) in school","178","0.287106152017076","0.249262276825705","0.324950027208447"
"6 on scale 1-7","2005","Not Employed","(1a) inadequately completed","32","0.200506598207615","0.137271309321209","0.263741887094022"
"6 on scale 1-7","2005","Not Employed","(1b) general elementary school","316","0.264517837579877","0.239124491767081","0.289911183392674"
"6 on scale 1-7","2005","Not Employed","(1c) basic vocational qualification","884","0.309192181558264","0.292098232194333","0.326286130922194"
"6 on scale 1-7","2005","Not Employed","(2b) intermediate general qualification","55","0.28074842601334","0.21997166951156","0.34152518251512"
"6 on scale 1-7","2005","Not Employed","(2a) intermediate vocational","363","0.334082374764493","0.306605842894471","0.361558906634514"
"6 on scale 1-7","2005","Not Employed","(2c_gen) general maturity certificate","112","0.330586251196048","0.278882239778971","0.382290262613126"
"6 on scale 1-7","2005","Not Employed","(2c_voc) vocational maturity certificate","129","0.35970190103653","0.311257912948821","0.408145889124238"
"6 on scale 1-7","2005","Not Employed","(3a) lower tertiary education","140","0.295502185628792","0.253851917451904","0.33715245380568"
"6 on scale 1-7","2005","Not Employed","(3b) higher tertiary education","179","0.299213704096035","0.260591704800243","0.337835703391828"
"6 on scale 1-7","2005","Employed","(0) in school","38","0.401658626540247","0.306984230104809","0.496333022975685"
