"plh0206i04","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Not Employed","13","","","","1"
"1 Strongly disagree","2005","16-34 y.","Employed","5","","","","1"
"1 Strongly disagree","2005","35-65 y.","Not Employed","13","","","","1"
"1 Strongly disagree","2005","35-65 y.","Employed","49","0.00576342410280997","0.00419075177613707","0.00733609642948287","1"
"1 Strongly disagree","2005","66 and older","Not Employed","54","0.0163527298577945","0.012180687191361","0.020524772524228","1"
"1 Strongly disagree","2005","66 and older","Employed","2","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","Not Employed","24","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Not Employed","18","","","","2"
"2 on scale 1-7 ","2005","66 and older","Employed","2","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Employed","31","0.00847990055096704","0.0055261349768736","0.0114336661250605","2"
"2 on scale 1-7 ","2005","35-65 y.","Employed","62","0.00783053224480751","0.00599930745885895","0.00966175703075607","2"
"2 on scale 1-7 ","2005","66 and older","Not Employed","30","0.0101947261268381","0.0068902959629678","0.0134991562907084","2"
"3 on scale 1-7 ","2005","66 and older","Not Employed","81","0.0215263880586824","0.016752260089659","0.0263005160277057","3"
"3 on scale 1-7 ","2005","16-34 y.","Not Employed","52","0.0269982798361061","0.0190935564154362","0.034903003256776","3"
"3 on scale 1-7 ","2005","35-65 y.","Employed","188","0.0219787661658389","0.0189327732854058","0.025024759046272","3"
"3 on scale 1-7 ","2005","35-65 y.","Not Employed","51","0.0233044408450881","0.0176010595241584","0.0290078221660178","3"
"3 on scale 1-7 ","2005","16-34 y.","Employed","79","0.0216543997079517","0.0169657357611271","0.0263430636547763","3"
"3 on scale 1-7 ","2005","66 and older","Employed","9","","","","3"
"4 on scale 1-7","2005","66 and older","Employed","21","","","","4"
"4 on scale 1-7","2005","16-34 y.","Employed","320","0.086882331207908","0.0778091624291673","0.0959554999866488","4"
"4 on scale 1-7","2005","35-65 y.","Not Employed","242","0.0839227869606737","0.0734409005777277","0.0944046733436197","4"
"4 on scale 1-7","2005","66 and older","Not Employed","309","0.0926374712676434","0.0831003417528403","0.102174600782447","4"
"4 on scale 1-7","2005","16-34 y.","Not Employed","179","0.117085884195345","0.101404899613941","0.132766868776749","4"
"4 on scale 1-7","2005","35-65 y.","Employed","730","0.0825877086220678","0.0768690644653402","0.0883063527787953","4"
"5 on scale 1-7","2005","66 and older","Employed","30","0.118499781954914","0.0764556732710424","0.160543890638786","5"
"5 on scale 1-7","2005","35-65 y.","Employed","1510","0.164036299111943","0.15634292629037","0.171729671933515","5"
"5 on scale 1-7","2005","66 and older","Not Employed","562","0.155427711274257","0.143509349766958","0.167346072781556","5"
"5 on scale 1-7","2005","16-34 y.","Not Employed","329","0.197906279491181","0.178474875860963","0.217337683121398","5"
"5 on scale 1-7","2005","16-34 y.","Employed","693","0.196548620494785","0.183747597308913","0.209349643680657","5"
"5 on scale 1-7","2005","35-65 y.","Not Employed","431","0.151465845047218","0.137913155844684","0.165018534249753","5"
"6 on scale 1-7","2005","66 and older","Employed","70","0.257213246915744","0.200352324164643","0.314074169666845","6"
"6 on scale 1-7","2005","35-65 y.","Not Employed","852","0.313592663374882","0.296053560959907","0.331131765789856","6"
"6 on scale 1-7","2005","66 and older","Not Employed","1085","0.300961594540157","0.285873306286427","0.316049882793887","6"
