"plh0206i04","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","West Germany","13","","",""
"1 Strongly disagree","2005","16-34 y.","East Germany","5","","",""
"1 Strongly disagree","2005","35-65 y.","West Germany","49","0.00726650291437877","0.00549818119036661","0.00903482463839093"
"1 Strongly disagree","2005","35-65 y.","East Germany","13","","",""
"1 Strongly disagree","2005","66 and older","West Germany","48","0.0178381332518041","0.0129459054775518","0.0227303610260564"
"1 Strongly disagree","2005","66 and older","East Germany","8","","",""
"2 on scale 1-7 ","2005","16-34 y.","West Germany","37","0.00991268618307481","0.00682946868016618","0.0129959036859834"
"2 on scale 1-7 ","2005","16-34 y.","East Germany","12","","",""
"2 on scale 1-7 ","2005","35-65 y.","West Germany","66","0.00864368491154282","0.00671639711949243","0.0105709727035932"
"2 on scale 1-7 ","2005","35-65 y.","East Germany","20","","",""
"2 on scale 1-7 ","2005","66 and older","West Germany","25","","",""
"2 on scale 1-7 ","2005","66 and older","East Germany","7","","",""
"3 on scale 1-7 ","2005","16-34 y.","West Germany","101","0.0245634173942472","0.0197459847662519","0.0293808500222425"
"3 on scale 1-7 ","2005","16-34 y.","East Germany","30","0.0168352517117569","0.00997494752580193","0.0236955558977119"
"3 on scale 1-7 ","2005","35-65 y.","West Germany","190","0.0220287495422457","0.0189728421800142","0.0250846569044772"
"3 on scale 1-7 ","2005","35-65 y.","East Germany","49","0.0235533212660673","0.0178603956481474","0.0292462468839873"
"3 on scale 1-7 ","2005","66 and older","West Germany","68","0.0224110311126433","0.0169402479922041","0.0278818142330825"
"3 on scale 1-7 ","2005","66 and older","East Germany","22","","",""
"4 on scale 1-7","2005","16-34 y.","West Germany","349","0.0896842956963713","0.0807917530924921","0.0985768383002506"
"4 on scale 1-7","2005","16-34 y.","East Germany","150","0.117982014746471","0.10078048617675","0.135183543316193"
"4 on scale 1-7","2005","35-65 y.","West Germany","754","0.0827147285037134","0.0769798284623989","0.0884496285450278"
"4 on scale 1-7","2005","35-65 y.","East Germany","218","0.0838188470844212","0.0734161324904557","0.0942215616783868"
"4 on scale 1-7","2005","66 and older","West Germany","253","0.0971221260183774","0.0861771698091594","0.108067082227595"
"4 on scale 1-7","2005","66 and older","East Germany","77","0.0842485898484851","0.066723730035383","0.101773449661587"
"5 on scale 1-7","2005","16-34 y.","West Germany","778","0.202675552249456","0.190164611740274","0.215186492758638"
"5 on scale 1-7","2005","16-34 y.","East Germany","244","0.172280292056946","0.152143983192698","0.192416600921194"
"5 on scale 1-7","2005","35-65 y.","West Germany","1510","0.163252860611646","0.155557840906275","0.170947880317017"
"5 on scale 1-7","2005","35-65 y.","East Germany","431","0.150536957589285","0.1371130492853","0.163960865893269"
"5 on scale 1-7","2005","66 and older","West Germany","440","0.154707571040325","0.141341624916164","0.168073517164487"
"5 on scale 1-7","2005","66 and older","East Germany","152","0.147882931355121","0.125485764160903","0.170280098549338"
"6 on scale 1-7","2005","16-34 y.","West Germany","1317","0.329366194234635","0.31473923780154","0.343993150667729"
"6 on scale 1-7","2005","16-34 y.","East Germany","464","0.326218451484194","0.30121878388332","0.351218119085067"
"6 on scale 1-7","2005","35-65 y.","West Germany","2925","0.319799786022443","0.310089328681515","0.329510243363372"
"6 on scale 1-7","2005","35-65 y.","East Germany","947","0.337157427120032","0.319411171699891","0.354903682540172"
"6 on scale 1-7","2005","66 and older","West Germany","854","0.294670586013896","0.277820395173524","0.311520776854269"
"6 on scale 1-7","2005","66 and older","East Germany","301","0.313751293137544","0.284474873326635","0.343027712948452"
"7 Strongly agree","2005","16-34 y.","West Germany","1371","0.341204150492545","0.326448637393597","0.355959663591494"
"7 Strongly agree","2005","16-34 y.","East Germany","446","0.344212652810325","0.318877977178099","0.369547328442551"
"7 Strongly agree","2005","35-65 y.","West Germany","3368","0.39629368749403","0.386110033056832","0.406477341931228"
"7 Strongly agree","2005","35-65 y.","East Germany","1048","0.393807712349807","0.375466312566473","0.412149112133142"
"7 Strongly agree","2005","66 and older","West Germany","1124","0.401934396146889","0.38381296754123","0.420055824752547"
"7 Strongly agree","2005","66 and older","East Germany","398","0.416424961974698","0.385322041837647","0.44752788211175"
"1 Strongly disagree","2006","16-34 y.","West Germany","","","",""
"1 Strongly disagree","2006","16-34 y.","East Germany","","","",""
"1 Strongly disagree","2006","35-65 y.","West Germany","","","",""
"1 Strongly disagree","2006","35-65 y.","East Germany","","","",""
"1 Strongly disagree","2006","66 and older","West Germany","","","",""
"1 Strongly disagree","2006","66 and older","East Germany","","","",""
