"plh0206i04","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2005","lower secondary degree","general elemantary","","","",""
"1 Strongly disagree","2005","lower secondary degree","middle vocational","47","0.0120888445917223","0.00903738128586701","0.0151403078975775"
"1 Strongly disagree","2005","lower secondary degree","vocational + Abi","","","",""
"1 Strongly disagree","2005","lower secondary degree","higher vocational","","","",""
"1 Strongly disagree","2005","lower secondary degree","higher education","","","",""
"1 Strongly disagree","2005","secondary school degree","in school","","","",""
"1 Strongly disagree","2005","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2005","secondary school degree","general elemantary","","","",""
"1 Strongly disagree","2005","secondary school degree","middle vocational","","","",""
"1 Strongly disagree","2005","secondary school degree","vocational + Abi","","","",""
"1 Strongly disagree","2005","secondary school degree","higher vocational","","","",""
"1 Strongly disagree","2005","secondary school degree","higher education","","","",""
"1 Strongly disagree","2005","college entrance qualification","in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2005","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2005","college entrance qualification","middle vocational","","","",""
"1 Strongly disagree","2005","college entrance qualification","vocational + Abi","","","",""
"1 Strongly disagree","2005","college entrance qualification","higher vocational","","","",""
"1 Strongly disagree","2005","college entrance qualification","higher education","","","",""
"1 Strongly disagree","2005","Other degree","in school","","","",""
"1 Strongly disagree","2005","Other degree","inadequately","","","",""
"1 Strongly disagree","2005","Other degree","general elemantary","","","",""
"1 Strongly disagree","2005","Other degree","middle vocational","","","",""
"1 Strongly disagree","2005","Other degree","vocational + Abi","","","",""
"1 Strongly disagree","2005","Other degree","higher vocational","","","",""
"1 Strongly disagree","2005","Other degree","higher education","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","in school","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","inadequately","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","general elemantary","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","middle vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","vocational + Abi","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","higher vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","higher education","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","in school","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","inadequately","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","general elemantary","","","",""
