"plh0206i04","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1-pers.-HH","19","","",""
"1 Strongly disagree","2005","lower secondary degree","(Married) couple without C. ","33","0.0124882167672035","0.00850908194866409","0.0164673515857428"
"1 Strongly disagree","2005","lower secondary degree","Single parent ","4","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE 16 ","3","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. GT 16 ","4","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","secondary school degree","1-pers.-HH","7","","",""
"1 Strongly disagree","2005","secondary school degree","(Married) couple without C. ","12","","",""
"1 Strongly disagree","2005","secondary school degree","Single parent ","1","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE 16 ","5","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. GT 16 ","8","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE and GT 16","4","","",""
"1 Strongly disagree","2005","college entrance qualification","1-pers.-HH","1","","",""
"1 Strongly disagree","2005","college entrance qualification","(Married) couple without C. ","2","","",""
"1 Strongly disagree","2005","college entrance qualification","Single parent ","3","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE 16 ","1","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. GT 16 ","1","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","Other degree","1-pers.-HH","2","","",""
"1 Strongly disagree","2005","Other degree","(Married) couple without C. ","4","","",""
"1 Strongly disagree","2005","Other degree","Single parent ","1","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","1-pers.-HH","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(Married) couple without C. ","1","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Single parent ","2","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. GT 16 ","1","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Couple + C. LE and GT 16","2","","",""
"2 on scale 1-7 ","2005","lower secondary degree","1-pers.-HH","18","","",""
"2 on scale 1-7 ","2005","lower secondary degree","(Married) couple without C. ","23","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Single parent ","3","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE 16 ","10","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. GT 16 ","5","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE and GT 16","2","","",""
"2 on scale 1-7 ","2005","secondary school degree","1-pers.-HH","10","","",""
"2 on scale 1-7 ","2005","secondary school degree","(Married) couple without C. ","5","","",""
"2 on scale 1-7 ","2005","secondary school degree","Single parent ","2","","",""
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. LE 16 ","16","","",""
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. GT 16 ","9","","",""
"2 on scale 1-7 ","2005","secondary school degree","Couple + C. LE and GT 16","2","","",""
"2 on scale 1-7 ","2005","college entrance qualification","1-pers.-HH","4","","",""
"2 on scale 1-7 ","2005","college entrance qualification","(Married) couple without C. ","14","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Single parent ","2","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE 16 ","10","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. GT 16 ","7","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE and GT 16","6","","",""
"2 on scale 1-7 ","2005","Other degree","1-pers.-HH","","","",""
"2 on scale 1-7 ","2005","Other degree","(Married) couple without C. ","2","","",""
"2 on scale 1-7 ","2005","Other degree","Single parent ","","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2005","Other degree","Couple + C. LE and GT 16","2","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","1-pers.-HH","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Single parent ","1","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. GT 16 ","1","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE and GT 16","1","","",""
"3 on scale 1-7 ","2005","lower secondary degree","1-pers.-HH","21","","",""
"3 on scale 1-7 ","2005","lower secondary degree","(Married) couple without C. ","70","0.0266693185651928","0.0208962932397968","0.0324423438905888"
"3 on scale 1-7 ","2005","lower secondary degree","Single parent ","10","","",""
