"plh0206i04","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","West Germany","94","0.00928001400067867","0.00760472971794681","0.0109552982834105"
"1 Strongly disagree","2005","no migration background","East Germany","25","","",""
"1 Strongly disagree","2005","direct migration background","West Germany","13","","",""
"1 Strongly disagree","2005","direct migration background","East Germany","1","","",""
"1 Strongly disagree","2005","indirect migration background","West Germany","3","","",""
"1 Strongly disagree","2005","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2005","no migration background","West Germany","99","0.00947386370940655","0.00778133800797546","0.0111663894108376"
"2 on scale 1-7 ","2005","no migration background","East Germany","37","0.00939809473604259","0.00669870679931889","0.0120974826727663"
"2 on scale 1-7 ","2005","direct migration background","West Germany","21","","",""
"2 on scale 1-7 ","2005","direct migration background","East Germany","2","","",""
"2 on scale 1-7 ","2005","indirect migration background","West Germany","8","","",""
"2 on scale 1-7 ","2005","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","no migration background","West Germany","276","0.0209265205759138","0.0184256288367401","0.0234274123150874"
"3 on scale 1-7 ","2005","no migration background","East Germany","100","0.0221185805478977","0.0180040760868195","0.0262330850089759"
"3 on scale 1-7 ","2005","direct migration background","West Germany","61","0.0317260565256403","0.0245047965018848","0.0389473165493958"
"3 on scale 1-7 ","2005","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2005","indirect migration background","West Germany","22","","",""
"3 on scale 1-7 ","2005","indirect migration background","East Germany","1","","",""
"4 on scale 1-7","2005","no migration background","West Germany","1130","0.0899355449192938","0.0849370356994333","0.0949340541391543"
"4 on scale 1-7","2005","no migration background","East Germany","435","0.0934296544242107","0.0852875074101263","0.101571801438295"
"4 on scale 1-7","2005","direct migration background","West Germany","160","0.0765895916266748","0.0656326821477395","0.0875465011056101"
"4 on scale 1-7","2005","direct migration background","East Germany","5","","",""
"4 on scale 1-7","2005","indirect migration background","West Germany","66","0.0835184788574","0.0642625425099982","0.102774415204802"
"4 on scale 1-7","2005","indirect migration background","East Germany","5","","",""
"5 on scale 1-7","2005","no migration background","West Germany","2231","0.173120739015362","0.166510238633834","0.17973123939689"
"5 on scale 1-7","2005","no migration background","East Germany","801","0.155863414010167","0.145715558658064","0.166011269362271"
"5 on scale 1-7","2005","direct migration background","West Germany","344","0.153246724982621","0.138405154544303","0.168088295420939"
"5 on scale 1-7","2005","direct migration background","East Germany","15","","",""
"5 on scale 1-7","2005","indirect migration background","West Germany","153","0.203007650892116","0.175011728791239","0.231003572992993"
"5 on scale 1-7","2005","indirect migration background","East Germany","11","","",""
"6 on scale 1-7","2005","no migration background","West Germany","4258","0.328529470215127","0.320323321536974","0.33673561889328"
"6 on scale 1-7","2005","no migration background","East Germany","1672","0.331385014431333","0.318216090176082","0.344553938686584"
"6 on scale 1-7","2005","direct migration background","West Germany","628","0.26806981823119","0.249819745398279","0.286319891064101"
"6 on scale 1-7","2005","direct migration background","East Germany","30","0.263014342069029","0.176288259949448","0.349740424188611"
"6 on scale 1-7","2005","indirect migration background","West Germany","210","0.277089255241233","0.245938851499508","0.308239658982959"
"6 on scale 1-7","2005","indirect migration background","East Germany","10","","",""
"7 Strongly agree","2005","no migration background","West Germany","4496","0.368733847564218","0.360304353860418","0.377163341268019"
"7 Strongly agree","2005","no migration background","East Germany","1838","0.38207304689583","0.368479349928707","0.395666743862953"
"7 Strongly agree","2005","direct migration background","West Germany","1036","0.454895034232353","0.434378618951587","0.475411449513118"
"7 Strongly agree","2005","direct migration background","East Germany","46","0.543178683335992","0.445054730887733","0.641302635784251"
"7 Strongly agree","2005","indirect migration background","West Germany","331","0.40106423718274","0.366952126735272","0.435176347630207"
"7 Strongly agree","2005","indirect migration background","East Germany","8","","",""
"1 Strongly disagree","2006","no migration background","West Germany","","","",""
"1 Strongly disagree","2006","no migration background","East Germany","","","",""
"1 Strongly disagree","2006","direct migration background","West Germany","","","",""
"1 Strongly disagree","2006","direct migration background","East Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2006","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2006","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2006","no migration background","West Germany","","","",""
"4 on scale 1-7","2006","no migration background","East Germany","","","",""
"4 on scale 1-7","2006","direct migration background","West Germany","","","",""
"4 on scale 1-7","2006","direct migration background","East Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2006","no migration background","West Germany","","","",""
"5 on scale 1-7","2006","no migration background","East Germany","","","",""
"5 on scale 1-7","2006","direct migration background","West Germany","","","",""
"5 on scale 1-7","2006","direct migration background","East Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"5 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2006","no migration background","West Germany","","","",""
"6 on scale 1-7","2006","no migration background","East Germany","","","",""
"6 on scale 1-7","2006","direct migration background","West Germany","","","",""
"6 on scale 1-7","2006","direct migration background","East Germany","","","",""
"6 on scale 1-7","2006","indirect migration background","West Germany","","","",""
"6 on scale 1-7","2006","indirect migration background","East Germany","","","",""
"7 Strongly agree","2006","no migration background","West Germany","","","",""
"7 Strongly agree","2006","no migration background","East Germany","","","",""
"7 Strongly agree","2006","direct migration background","West Germany","","","",""
"7 Strongly agree","2006","direct migration background","East Germany","","","",""
"7 Strongly agree","2006","indirect migration background","West Germany","","","",""
"7 Strongly agree","2006","indirect migration background","East Germany","","","",""
"1 Strongly disagree","2007","no migration background","West Germany","","","",""
"1 Strongly disagree","2007","no migration background","East Germany","","","",""
"1 Strongly disagree","2007","direct migration background","West Germany","","","",""
"1 Strongly disagree","2007","direct migration background","East Germany","","","",""
"1 Strongly disagree","2007","indirect migration background","West Germany","","","",""
"1 Strongly disagree","2007","indirect migration background","East Germany","","","",""
"2 on scale 1-7 ","2007","no migration background","West Germany","","","",""
"2 on scale 1-7 ","2007","no migration background","East Germany","","","",""
"2 on scale 1-7 ","2007","direct migration background","West Germany","","","",""
"2 on scale 1-7 ","2007","direct migration background","East Germany","","","",""
"2 on scale 1-7 ","2007","indirect migration background","West Germany","","","",""
"2 on scale 1-7 ","2007","indirect migration background","East Germany","","","",""
"3 on scale 1-7 ","2007","no migration background","West Germany","","","",""
"3 on scale 1-7 ","2007","no migration background","East Germany","","","",""
"3 on scale 1-7 ","2007","direct migration background","West Germany","","","",""
"3 on scale 1-7 ","2007","direct migration background","East Germany","","","",""
"3 on scale 1-7 ","2007","indirect migration background","West Germany","","","",""
"3 on scale 1-7 ","2007","indirect migration background","East Germany","","","",""
"4 on scale 1-7","2007","no migration background","West Germany","","","",""
"4 on scale 1-7","2007","no migration background","East Germany","","","",""
"4 on scale 1-7","2007","direct migration background","West Germany","","","",""
"4 on scale 1-7","2007","direct migration background","East Germany","","","",""
"4 on scale 1-7","2007","indirect migration background","West Germany","","","",""
"4 on scale 1-7","2007","indirect migration background","East Germany","","","",""
"5 on scale 1-7","2007","no migration background","West Germany","","","",""
"5 on scale 1-7","2007","no migration background","East Germany","","","",""
"5 on scale 1-7","2007","direct migration background","West Germany","","","",""
"5 on scale 1-7","2007","direct migration background","East Germany","","","",""
"5 on scale 1-7","2007","indirect migration background","West Germany","","","",""
"5 on scale 1-7","2007","indirect migration background","East Germany","","","",""
"6 on scale 1-7","2007","no migration background","West Germany","","","",""
"6 on scale 1-7","2007","no migration background","East Germany","","","",""
"6 on scale 1-7","2007","direct migration background","West Germany","","","",""
"6 on scale 1-7","2007","direct migration background","East Germany","","","",""
"6 on scale 1-7","2007","indirect migration background","West Germany","","","",""
"6 on scale 1-7","2007","indirect migration background","East Germany","","","",""
"7 Strongly agree","2007","no migration background","West Germany","","","",""
