"plh0206i04","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Urban Area","12","","","","1"
"1 Strongly disagree","2005","16-34 y.","Rural Area","6","","","","1"
"1 Strongly disagree","2005","35-65 y.","Urban Area","46","0.00670559688173115","0.00489152034112538","0.00851967342233691","1"
"1 Strongly disagree","2005","35-65 y.","Rural Area","16","","","","1"
"1 Strongly disagree","2005","66 and older","Urban Area","37","0.0155865283993002","0.0107435189268063","0.0204295378717942","1"
"1 Strongly disagree","2005","66 and older","Rural Area","19","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","62","0.0102977596848535","0.00805376644030105","0.0125417529294059","2"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","37","0.0109729496275439","0.00754799236196853","0.0143979068931192","2"
"2 on scale 1-7 ","2005","66 and older","Rural Area","14","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","12","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","24","","","","2"
"2 on scale 1-7 ","2005","66 and older","Urban Area","18","","","","2"
"3 on scale 1-7 ","2005","66 and older","Urban Area","60","0.0219217810307909","0.0161967669622437","0.0276467950993382","3"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","97","0.0278254293851274","0.0224181047321551","0.0332327540380997","3"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","70","0.0215606102085133","0.0169504907775237","0.0261707296395029","3"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","169","0.0226331574351403","0.0193271847191214","0.0259391301511591","3"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","34","0.0128484090812633","0.00759140229559321","0.0181054158669334","3"
"3 on scale 1-7 ","2005","66 and older","Rural Area","30","0.0233664286166525","0.015038508553036","0.0316943486802691","3"
"4 on scale 1-7","2005","66 and older","Rural Area","100","0.0891460936515175","0.0734370381065079","0.104855149196527","4"
"4 on scale 1-7","2005","16-34 y.","Rural Area","181","0.0998135033889727","0.0858214056067638","0.113805601171182","4"
"4 on scale 1-7","2005","35-65 y.","Urban Area","669","0.0828044484899321","0.0766787488759489","0.0889301481039153","4"
"4 on scale 1-7","2005","66 and older","Urban Area","230","0.0969414700505334","0.0853733017888155","0.108509638312251","4"
