"plh0206i04","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","Urban Area","82","0.00867064319768143","0.00695047825079044","0.0103908081445724","1"
"1 Strongly disagree","2005","no migration background","Rural Area","37","0.0082116325121166","0.00598900029644153","0.0104342647277917","1"
"1 Strongly disagree","2005","direct migration background","Urban Area","11","","","","1"
"1 Strongly disagree","2005","direct migration background","Rural Area","3","","","","1"
"1 Strongly disagree","2005","indirect migration background","Urban Area","2","","","","1"
"1 Strongly disagree","2005","indirect migration background","Rural Area","1","","","","1"
"2 on scale 1-7 ","2005","direct migration background","Urban Area","19","","","","2"
"2 on scale 1-7 ","2005","no migration background","Urban Area","91","0.00997730429448615","0.00813328850045871","0.0118213200885136","2"
"2 on scale 1-7 ","2005","indirect migration background","Rural Area","1","","","","2"
"2 on scale 1-7 ","2005","no migration background","Rural Area","45","0.00845527528962547","0.00620018789593399","0.010710362683317","2"
"2 on scale 1-7 ","2005","direct migration background","Rural Area","4","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","Urban Area","7","","","","2"
"3 on scale 1-7 ","2005","indirect migration background","Urban Area","20","","","","3"
"3 on scale 1-7 ","2005","no migration background","Urban Area","252","0.0224316389962985","0.0196841274618268","0.0251791505307702","3"
"3 on scale 1-7 ","2005","direct migration background","Rural Area","7","","","","3"
"3 on scale 1-7 ","2005","direct migration background","Urban Area","54","0.0304437301855131","0.0228377446171541","0.0380497157538721","3"
"3 on scale 1-7 ","2005","no migration background","Rural Area","124","0.0187782606800026","0.0154351203275245","0.0221214010324806","3"
"3 on scale 1-7 ","2005","indirect migration background","Rural Area","3","","","","3"
"4 on scale 1-7","2005","indirect migration background","Rural Area","13","","","","4"
"4 on scale 1-7","2005","no migration background","Rural Area","539","0.0891125695955361","0.0820956712479373","0.0961294679431348","4"
"4 on scale 1-7","2005","direct migration background","Urban Area","133","0.0752760178607663","0.063595706116695","0.0869563296048377","4"
"4 on scale 1-7","2005","indirect migration background","Urban Area","58","0.0813620998650046","0.0614341695313665","0.101290030198643","4"
"4 on scale 1-7","2005","no migration background","Urban Area","1026","0.0915082498672615","0.086158591225384","0.0968579085091391","4"
"4 on scale 1-7","2005","direct migration background","Rural Area","32","0.0790652657373645","0.0526872356931832","0.105443295781546","4"
"5 on scale 1-7","2005","indirect migration background","Rural Area","29","","","","5"
"5 on scale 1-7","2005","direct migration background","Rural Area","62","0.129869647238718","0.0970086261496229","0.162730668327813","5"
"5 on scale 1-7","2005","indirect migration background","Urban Area","135","0.19067820031693","0.162043668688799","0.219312731945062","5"
"5 on scale 1-7","2005","no migration background","Urban Area","1976","0.17276948639018","0.165755220153525","0.179783752626835","5"
"5 on scale 1-7","2005","no migration background","Rural Area","1056","0.162886092253686","0.153791617370471","0.171980567136902","5"
"5 on scale 1-7","2005","direct migration background","Urban Area","297","0.15628824573822","0.140212161865124","0.172364329611316","5"
"6 on scale 1-7","2005","indirect migration background","Rural Area","27","","","","6"
"6 on scale 1-7","2005","direct migration background","Urban Area","538","0.265966531676301","0.246405512387082","0.285527550965519","6"
"6 on scale 1-7","2005","indirect migration background","Urban Area","193","0.272931894541958","0.240461046283137","0.305402742800779","6"
"6 on scale 1-7","2005","no migration background","Urban Area","3749","0.328569754539026","0.31985510966196","0.337284399416092","6"
"6 on scale 1-7","2005","direct migration background","Rural Area","120","0.277126341864079","0.233373610648883","0.320879073079275","6"
"6 on scale 1-7","2005","no migration background","Rural Area","2181","0.330257373409168","0.318674306132986","0.341840440685351","6"
"7 Strongly agree","2005","indirect migration background","Rural Area","31","0.270374070121122","0.18541962829583","0.355328511946415","7"
"7 Strongly agree","2005","indirect migration background","Urban Area","308","0.419330667686729","0.383362219593148","0.455299115780311","7"
"7 Strongly agree","2005","direct migration background","Urban Area","908","0.455959023428691","0.433909522272976","0.478008524584407","7"
"7 Strongly agree","2005","direct migration background","Rural Area","174","0.470326500651705","0.42153559137045","0.519117409932959","7"
"7 Strongly agree","2005","no migration background","Urban Area","3983","0.366072922715067","0.357134952424114","0.375010893006019","7"
"7 Strongly agree","2005","no migration background","Rural Area","2351","0.382298796259865","0.370330453011741","0.394267139507988","7"
"1 Strongly disagree","2006","no migration background","Rural Area","","","","","1"
"1 Strongly disagree","2006","direct migration background","Urban Area","","","","","1"
"1 Strongly disagree","2006","direct migration background","Rural Area","","","","","1"
"1 Strongly disagree","2006","indirect migration background","Urban Area","","","","","1"
"1 Strongly disagree","2006","indirect migration background","Rural Area","","","","","1"
"1 Strongly disagree","2006","no migration background","Urban Area","","","","","1"
"2 on scale 1-7 ","2006","no migration background","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","indirect migration background","Rural Area","","","","","2"
