"plh0206i04","year","education","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","Male","26","","",""
"1 Strongly disagree","2005","lower secondary degree","Female","45","0.0148600899088205","0.0109219252863881","0.0187982545312529"
"1 Strongly disagree","2005","secondary school degree","Male","13","","",""
"1 Strongly disagree","2005","secondary school degree","Female","25","","",""
"1 Strongly disagree","2005","college entrance qualification","Male","2","","",""
"1 Strongly disagree","2005","college entrance qualification","Female","8","","",""
"1 Strongly disagree","2005","Other degree","Male","4","","",""
"1 Strongly disagree","2005","Other degree","Female","5","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Male","3","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Female","4","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Male","23","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Female","39","0.0148856920317494","0.010944187598072","0.0188271964654268"
"2 on scale 1-7 ","2005","secondary school degree","Male","15","","",""
"2 on scale 1-7 ","2005","secondary school degree","Female","32","0.0109425373356264","0.00746909386626151","0.0144159808049913"
"2 on scale 1-7 ","2005","college entrance qualification","Male","23","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Female","22","","",""
"2 on scale 1-7 ","2005","Other degree","Male","3","","",""
"2 on scale 1-7 ","2005","Other degree","Female","1","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Male","1","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Female","2","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Male","75","0.0211827989018621","0.016377935876849","0.0259876619268751"
"3 on scale 1-7 ","2005","lower secondary degree","Female","83","0.026011310338801","0.0208305647805894","0.0311920558970126"
"3 on scale 1-7 ","2005","secondary school degree","Male","38","0.0137812421434177","0.00927486159363703","0.0182876226931983"
"3 on scale 1-7 ","2005","secondary school degree","Female","75","0.0213186507066153","0.0164959427071142","0.0261413587061163"
"3 on scale 1-7 ","2005","college entrance qualification","Male","57","0.0173499730659187","0.012438497229715","0.0222614489021224"
"3 on scale 1-7 ","2005","college entrance qualification","Female","58","0.0253977771965058","0.019194470242467","0.0316010841505447"
"3 on scale 1-7 ","2005","Other degree","Male","15","","",""
