"plh0206i04","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","1-pers.-HH","2","","",""
"1 Strongly disagree","2005","16-34 y.","(Married) couple without C. ","","","",""
"1 Strongly disagree","2005","16-34 y.","Single parent ","7","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE 16 ","2","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. GT 16 ","1","","",""
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE and GT 16","4","","",""
"1 Strongly disagree","2005","35-65 y.","1-pers.-HH","10","","",""
"1 Strongly disagree","2005","35-65 y.","(Married) couple without C. ","21","","",""
"1 Strongly disagree","2005","35-65 y.","Single parent ","4","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE 16 ","7","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. GT 16 ","13","","",""
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE and GT 16","4","","",""
"1 Strongly disagree","2005","66 and older","1-pers.-HH","17","","",""
"1 Strongly disagree","2005","66 and older","(Married) couple without C. ","32","0.017081530262605","0.0118382119663504","0.0223248485588595"
"1 Strongly disagree","2005","66 and older","Single parent ","","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2005","66 and older","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","4","","",""
"2 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","10","","",""
"2 on scale 1-7 ","2005","16-34 y.","Single parent ","4","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","13","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","12","","",""
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","5","","",""
"2 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","15","","",""
"2 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","24","","",""
"2 on scale 1-7 ","2005","35-65 y.","Single parent ","4","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","23","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","9","","",""
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","9","","",""
"2 on scale 1-7 ","2005","66 and older","1-pers.-HH","13","","",""
"2 on scale 1-7 ","2005","66 and older","(Married) couple without C. ","13","","",""
"2 on scale 1-7 ","2005","66 and older","Single parent ","","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","2","","",""
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","18","","",""
"3 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","20","","",""
"3 on scale 1-7 ","2005","16-34 y.","Single parent ","13","","",""
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","20","","",""
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","33","0.0266249673141416","0.0180022838159172","0.035247650812366"
"3 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","20","","",""
"3 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","22","","",""
"3 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","80","0.0252120251344899","0.0201742872376847","0.030249763031295"
"3 on scale 1-7 ","2005","35-65 y.","Single parent ","13","","",""
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","51","0.0217748818241362","0.0161756925860836","0.0273740710621887"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. GT 16 ","41","0.0202316156246879","0.0142637197941745","0.0261995114552013"
"3 on scale 1-7 ","2005","35-65 y.","Couple + C. LE and GT 16","26","","",""
"3 on scale 1-7 ","2005","66 and older","1-pers.-HH","21","","",""
